 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.163,0,0,0.163
2,1,0,2,0,31,1.555,0,0,1.555
3,3,1,3,3,29,0.558,1,0,0.744
4,65,35,24,72,1849,1.475,34,1,4.727
5,1,0,2,0,16,0.741,0,0,0.741
6,1,0,2,0,25,1.176,0,0,1.176
7,1,0,2,0,2,0.163,0,0,0.163
8,9,4,6,8,125,0.756,4,0,1.052
9,1,0,2,0,2,0.128,0,0,0.128
10,0,0,1,0,0,0.000,0,0,0.000
11,1,0,2,0,7,0.428,0,0,0.428
12,1,0,2,0,0,0.043,0,0,0.043
13,1,0,2,0,2,0.145,0,0,0.145
14,1,0,2,0,60,3.000,0,0,3.000
15,1,0,2,0,5,0.343,0,0,0.343
16,1,0,2,0,0,0.043,0,0,0.043
17,1,0,2,0,37,2.039,0,0,2.039
18,0,0,1,0,0,0.000,0,0,0.000
19,1,0,2,0,0,0.043,0,0,0.043
20,0,0,1,0,0,0.000,0,0,0.000
21,5,2,4,4,182,1.865,2,0,3.949
22,1,0,2,0,36,2.014,0,0,2.014
23,1,0,2,0,0,0.043,0,0,0.043
24,1,0,2,0,5,0.308,0,0,0.308
25,1,0,2,0,6,0.333,0,0,0.333
26,1,0,2,0,17,0.818,0,0,0.818
27,1,0,2,0,2,0.145,0,0,0.145
28,1,0,2,0,31,1.520,0,0,1.520
29,1,0,2,0,37,1.916,0,0,1.916
30,1,0,2,0,0,0.060,0,0,0.060
31,1,0,2,0,59,3.116,0,0,3.116
32,3,1,3,1,58,1.000,1,0,1.600
33,1,0,2,0,13,0.684,0,0,0.684
