 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.043,0,0,0.043
2,1,0,2,0,14,0.691,0,0,0.691
3,7,3,5,5,57,0.474,3,0,0.736
4,1,0,2,0,0,0.043,0,0,0.043
5,0,0,1,0,0,0.000,0,0,0.000
6,1,0,2,0,24,1.151,0,0,1.151
7,1,0,2,0,5,0.290,0,0,0.290
8,1,0,2,0,2,0.145,0,0,0.145
9,3,1,3,1,45,0.780,1,0,1.154
10,1,0,2,0,2,0.145,0,0,0.145
11,1,0,2,0,10,0.538,0,0,0.538
12,0,0,1,0,0,0.000,0,0,0.000
13,1,0,2,0,1,0.085,0,0,0.085
14,1,0,2,0,31,1.537,0,0,1.537
15,1,0,2,0,26,1.307,0,0,1.307
16,6,3,3,7,92,0.867,3,0,1.335
17,3,1,3,3,23,0.479,1,0,0.907
18,1,0,2,0,2,0.145,0,0,0.145
19,1,0,2,0,27,1.455,0,0,1.455
20,1,0,2,0,14,0.779,0,0,0.779
21,1,0,2,0,43,2.330,0,0,2.330
22,1,0,2,0,32,1.545,0,0,1.545
23,3,1,3,1,40,0.663,1,0,0.964
24,1,0,2,0,0,0.043,0,0,0.043
25,0,0,1,0,0,0.000,0,0,0.000
26,1,0,2,0,7,0.393,0,0,0.393
27,1,0,2,0,2,0.145,0,0,0.145
28,0,0,1,0,0,0.000,0,0,0.000
29,3,1,3,1,67,1.192,1,0,1.856
30,1,0,2,0,1,0.085,0,0,0.085
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,1,0.085,0,0,0.085
33,1,0,2,0,0,0.060,0,0,0.060
34,6,3,3,3,88,0.752,3,0,1.024
35,1,0,2,0,38,1.888,0,0,1.888
36,1,0,2,0,9,0.461,0,0,0.461
37,0,0,1,0,0,0.000,0,0,0.000
38,1,0,2,0,4,0.283,0,0,0.283
39,1,0,2,0,0,0.043,0,0,0.043
40,1,0,2,0,1,0.103,0,0,0.103
41,1,0,2,0,1,0.103,0,0,0.103
42,1,0,2,0,0,0.060,0,0,0.060
43,1,0,2,0,26,1.413,0,0,1.413
44,1,0,2,0,4,0.230,0,0,0.230
