 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,0,0,1,0,0,0.000,0,0,0.000
2,1,0,2,0,1,0.120,0,0,0.120
3,1,0,2,0,35,1.672,0,0,1.672
4,1,0,2,0,1,0.103,0,0,0.103
5,0,0,1,0,0,0.000,0,0,0.000
6,17,8,10,16,454,1.399,8,0,5.319
7,1,0,2,0,1,0.120,0,0,0.120
8,3,1,3,1,27,0.502,1,0,0.538
9,1,0,2,0,2,0.128,0,0,0.128
10,0,0,1,0,0,0.000,0,0,0.000
11,1,0,2,0,28,1.586,0,0,1.586
12,1,0,2,0,59,2.869,0,0,2.869
13,1,0,2,0,30,1.512,0,0,1.512
14,1,0,2,0,1,0.103,0,0,0.103
15,1,0,2,0,14,0.744,0,0,0.744
16,1,0,2,0,2,0.145,0,0,0.145
17,1,0,2,0,1,0.103,0,0,0.103
18,1,0,2,0,8,0.418,0,0,0.418
19,3,1,3,1,76,1.361,1,0,2.156
20,1,0,2,0,3,0.205,0,0,0.205
21,1,0,2,0,15,0.751,0,0,0.751
22,1,0,2,0,61,3.025,0,0,3.025
23,3,1,3,3,44,0.806,1,0,1.573
24,5,2,4,4,100,1.108,2,0,2.029
25,0,0,1,0,0,0.000,0,0,0.000
26,1,0,2,0,0,0.043,0,0,0.043
27,1,0,2,0,22,1.031,0,0,1.031
28,1,0,2,0,6,0.368,0,0,0.368
29,1,0,2,0,0,0.060,0,0,0.060
30,5,2,4,6,233,2.422,2,0,3.719
31,5,2,4,4,84,0.915,2,0,2.146
32,1,0,2,0,89,4.427,0,0,4.427
33,1,0,2,0,9,0.549,0,0,0.549
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,2,0.163,0,0,0.163
36,1,0,2,0,20,1.034,0,0,1.034
37,1,0,2,0,37,1.828,0,0,1.828
38,1,0,2,0,0,0.060,0,0,0.060
39,1,0,2,0,1,0.085,0,0,0.085
40,4,2,2,4,85,1.104,2,0,1.264
41,1,0,2,0,75,3.744,0,0,3.744
