 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0X_50_largestArea.tif,3.866,18.818,3.519,1.399,10.349,0.137,2.516,0.398,0.653,706,34
2,0X_50_largestArea.tif,2.347,10.558,3.148,0.949,34.488,0.265,3.317,0.302,0.687,643,41
3,0X_50_largestArea.tif,0.065,0.952,0.387,0.214,35.675,0.903,1.809,0.553,0.867,740,58
4,0X_50_largestArea.tif,0.639,3.882,1.538,0.529,6.207,0.533,2.908,0.344,0.796,570,62
5,0X_50_largestArea.tif,13.332,50.811,7.016,2.419,44.949,0.065,2.900,0.345,0.359,648,62
6,0X_50_largestArea.tif,0.628,3.728,1.637,0.488,36.351,0.568,3.353,0.298,0.829,480,79
7,0X_50_largestArea.tif,0.145,1.388,0.448,0.411,157.181,0.944,1.091,0.916,0.894,447,82
8,0X_50_largestArea.tif,0.803,4.697,2.016,0.507,179.984,0.458,3.975,0.252,0.800,493,110
9,0X_50_largestArea.tif,10.890,63.462,5.718,2.425,23.174,0.034,2.358,0.424,0.287,441,124
10,0X_50_largestArea.tif,0.208,1.838,0.729,0.363,89.077,0.774,2.006,0.499,0.902,455,143
11,0X_50_largestArea.tif,0.223,1.724,0.566,0.501,33.065,0.941,1.129,0.886,0.904,326,144
12,0X_50_largestArea.tif,0.076,0.977,0.344,0.281,159.460,1.000,1.226,0.816,0.884,437,171
13,0X_50_largestArea.tif,0.056,0.846,0.321,0.222,9.793,0.984,1.443,0.693,0.939,565,173
14,0X_50_largestArea.tif,2.560,12.041,2.316,1.407,55.179,0.222,1.646,0.607,0.617,479,174
15,0X_50_largestArea.tif,0.042,0.747,0.255,0.208,0.000,0.938,1.225,0.816,0.852,383,216
16,0X_50_largestArea.tif,0.132,1.353,0.495,0.339,43.459,0.907,1.459,0.685,0.901,480,247
17,0X_50_largestArea.tif,5.500,23.915,4.984,1.405,75.834,0.121,3.546,0.282,0.459,451,251
18,0X_50_largestArea.tif,8.033,44.292,4.605,2.221,114.883,0.051,2.074,0.482,0.245,299,260
19,0X_50_largestArea.tif,2.926,17.731,4.117,0.905,85.586,0.117,4.550,0.220,0.457,274,262
20,0X_50_largestArea.tif,0.208,2.255,0.811,0.327,45.206,0.514,2.483,0.403,0.764,494,271
21,0X_50_largestArea.tif,0.054,0.857,0.311,0.222,57.600,0.929,1.402,0.713,0.870,302,282
22,0X_50_largestArea.tif,0.212,1.799,0.702,0.384,31.982,0.822,1.827,0.547,0.907,502,294
23,0X_50_largestArea.tif,0.089,1.087,0.369,0.306,139.955,0.943,1.205,0.830,0.916,305,296
24,0X_50_largestArea.tif,0.147,1.388,0.452,0.412,18.351,0.956,1.097,0.912,0.895,489,313
25,0X_50_largestArea.tif,0.054,0.832,0.293,0.236,62.874,0.986,1.245,0.804,0.870,300,316
26,0X_50_largestArea.tif,0.065,1.062,0.323,0.257,66.850,0.726,1.258,0.795,0.818,300,324
27,0X_50_largestArea.tif,0.118,1.268,0.401,0.373,66.251,0.920,1.073,0.932,0.884,470,338
28,0X_50_largestArea.tif,0.555,4.450,1.695,0.417,46.179,0.353,4.065,0.246,0.721,387,345
29,0X_50_largestArea.tif,0.655,6.047,2.378,0.351,58.877,0.225,6.782,0.147,0.560,461,348
30,0X_50_largestArea.tif,0.367,3.417,0.914,0.512,86.815,0.395,1.786,0.560,0.690,325,376
31,0X_50_largestArea.tif,0.602,4.775,2.169,0.354,48.845,0.332,6.130,0.163,0.712,445,403
32,0X_50_largestArea.tif,0.043,0.832,0.326,0.169,56.290,0.789,1.927,0.519,0.800,231,408
33,0X_50_largestArea.tif,0.393,3.070,1.349,0.371,18.512,0.523,3.638,0.275,0.841,340,408
34,0X_50_largestArea.tif,1.073,6.485,3.004,0.455,74.976,0.321,6.608,0.151,0.782,406,422
35,0X_50_largestArea.tif,5.536,26.112,3.891,1.812,34.833,0.102,2.147,0.466,0.366,230,423
36,0X_50_largestArea.tif,9.424,55.428,4.621,2.597,116.124,0.039,1.780,0.562,0.245,377,459
37,0X_50_largestArea.tif,0.402,2.425,0.880,0.581,37.007,0.858,1.513,0.661,0.917,126,526
38,0X_50_largestArea.tif,1.543,8.727,2.056,0.956,50.075,0.255,2.151,0.465,0.684,191,532
39,0X_50_largestArea.tif,0.139,1.377,0.486,0.365,75.996,0.923,1.333,0.750,0.911,117,551
40,0X_50_largestArea.tif,0.047,0.832,0.336,0.178,134.660,0.854,1.889,0.529,0.825,332,551
41,0X_50_largestArea.tif,0.753,5.000,2.097,0.457,32.035,0.378,4.588,0.218,0.707,224,557
42,0X_50_largestArea.tif,0.637,4.033,1.406,0.577,74.517,0.492,2.439,0.410,0.734,257,559
43,0X_50_largestArea.tif,2.386,15.643,3.473,0.875,100.407,0.123,3.969,0.252,0.601,346,571
44,0X_50_largestArea.tif,0.264,2.309,0.855,0.393,91.829,0.623,2.174,0.460,0.820,360,582
45,0X_50_largestArea.tif,0.188,1.749,0.678,0.353,48.807,0.773,1.919,0.521,0.863,178,611
46,0X_50_largestArea.tif,0.119,1.243,0.429,0.355,57.889,0.972,1.209,0.827,0.892,106,619
47,0X_50_largestArea.tif,0.125,1.268,0.416,0.382,175.407,0.976,1.091,0.917,0.902,374,727
