 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,11,0.634,0,0,0.634
2,5,2,4,4,30,0.361,2,0,0.574
3,1,0,2,0,2,0.163,0,0,0.163
4,1,0,2,0,13,0.736,0,0,0.736
5,3,1,3,3,27,0.536,1,0,0.804
6,1,0,2,0,16,0.864,0,0,0.864
7,1,0,2,0,14,0.744,0,0,0.744
8,7,3,5,3,25,0.237,3,0,0.436
9,1,0,2,0,22,1.049,0,0,1.049
10,1,0,2,0,21,1.147,0,0,1.147
11,1,0,2,0,19,1.009,0,0,1.009
12,3,1,3,1,28,0.504,1,0,1.017
13,3,1,3,1,44,0.778,1,0,1.052
14,5,2,4,6,24,0.327,2,0,0.907
15,1,0,2,0,23,1.250,0,0,1.250
16,1,0,2,0,6,0.386,0,0,0.386
17,1,0,2,0,6,0.298,0,0,0.298
18,3,1,3,3,20,0.425,1,0,0.736
19,1,0,2,0,13,0.701,0,0,0.701
20,3,1,3,1,11,0.228,1,0,0.368
21,1,0,2,0,22,1.190,0,0,1.190
22,1,0,2,0,13,0.666,0,0,0.666
23,1,0,2,0,32,1.615,0,0,1.615
24,3,1,3,3,14,0.316,1,0,0.453
25,1,0,2,0,1,0.103,0,0,0.103
26,1,0,2,0,28,1.357,0,0,1.357
27,7,3,5,5,64,0.501,3,0,1.212
28,1,0,2,0,30,1.495,0,0,1.495
29,1,0,2,0,15,0.822,0,0,0.822
30,1,0,2,0,50,2.451,0,0,2.451
31,1,0,2,0,4,0.248,0,0,0.248
32,11,5,7,11,82,0.434,5,0,0.794
33,1,0,2,0,19,0.921,0,0,0.921
34,1,0,2,0,33,1.710,0,0,1.710
35,1,0,2,0,2,0.145,0,0,0.145
36,3,1,3,1,22,0.439,1,0,1.052
37,1,0,2,0,14,0.709,0,0,0.709
38,5,2,4,4,98,1.024,2,0,2.724
39,1,0,2,0,14,0.709,0,0,0.709
40,3,1,3,3,39,0.712,1,0,0.896
41,1,0,2,0,16,0.882,0,0,0.882
42,1,0,2,0,11,0.599,0,0,0.599
43,1,0,2,0,3,0.188,0,0,0.188
44,1,0,2,0,5,0.290,0,0,0.290
45,1,0,2,0,25,1.282,0,0,1.282
46,1,0,2,0,12,0.606,0,0,0.606
47,1,0,2,0,31,1.608,0,0,1.608
48,1,0,2,0,1,0.103,0,0,0.103
49,5,2,4,2,25,0.305,2,0,0.804
50,1,0,2,0,13,0.666,0,0,0.666
51,1,0,2,0,27,1.297,0,0,1.297
52,0,0,1,0,0,0.000,0,0,0.000
53,3,1,3,3,24,0.511,1,0,0.556
54,14,7,7,15,119,0.493,7,0,1.392
55,1,0,2,0,33,1.728,0,0,1.728
56,1,0,2,0,0,0.060,0,0,0.060
57,1,0,2,0,12,0.676,0,0,0.676
58,1,0,2,0,12,0.694,0,0,0.694
59,1,0,2,0,18,0.967,0,0,0.967
60,1,0,2,0,0,0.060,0,0,0.060
61,1,0,2,0,8,0.418,0,0,0.418
62,3,1,3,1,14,0.300,1,0,0.386
63,0,0,1,0,0,0.000,0,0,0.000
64,1,0,2,0,13,0.631,0,0,0.631
65,3,1,3,1,31,0.576,1,0,0.857
66,1,0,2,0,9,0.531,0,0,0.531
67,1,0,2,0,1,0.103,0,0,0.103
68,1,0,2,0,6,0.333,0,0,0.333
69,1,0,2,0,12,0.606,0,0,0.606
70,1,0,2,0,61,3.148,0,0,3.148
71,1,0,2,0,8,0.471,0,0,0.471
72,3,1,3,1,4,0.131,1,0,0.163
73,1,0,2,0,43,2.189,0,0,2.189
74,1,0,2,0,26,1.272,0,0,1.272
75,1,0,2,0,9,0.513,0,0,0.513
76,3,1,3,3,27,0.530,1,0,1.119
77,1,0,2,0,1,0.085,0,0,0.085
78,1,0,2,0,7,0.428,0,0,0.428
79,1,0,2,0,3,0.170,0,0,0.170
80,5,2,4,2,56,0.639,2,0,0.959
81,1,0,2,0,17,0.854,0,0,0.854
82,1,0,2,0,15,0.839,0,0,0.839
83,3,1,3,1,30,0.562,1,0,0.701
84,1,0,2,0,24,1.204,0,0,1.204
85,5,2,4,6,80,0.895,2,0,2.249
86,1,0,2,0,6,0.315,0,0,0.315
87,1,0,2,0,18,0.984,0,0,0.984
88,1,0,2,0,24,1.257,0,0,1.257
89,3,1,3,3,40,0.732,1,0,1.402
90,1,0,2,0,7,0.446,0,0,0.446
91,5,2,4,4,73,0.822,2,0,2.064
92,1,0,2,0,6,0.368,0,0,0.368
