Value
47
56
50
43
49
39
43
28
47
41
41
27
35
39
46
48
50
35
44
42
41
43
50
35
45
45
22
35
43
44
49
42
40
44
36
37
47
41
52
38
44
20
28
36
20
14
17
18
16
20
33
22
24
19
21
20
20
27
19
20
14
19
17
23
47
36
43
17
15
32
30
14
19
34
38
10
15
15
7
8
10
11
9
8
42
29
33
49
37
38
36
43
43
47
45
44
40
37
49
45
39
33
45
45
35
46
56
33
35
36
49
38
36
37
31
35
36
33
48
39
38
36
34
43
15
29
20
38
43
25
26
17
34
14
11
36
57
31
17
23
51
32
16
45
16
36
28
36
21
32
57
34
50
38
50
44
51
50
35
55
26
46
46
44
32
14
20
16
17
33
52
56
52
50
58
38
45
