 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,19,1.027,0,0,1.027
2,1,0,2,0,14,0.726,0,0,0.726
3,1,0,2,0,1,0.103,0,0,0.103
4,1,0,2,0,5,0.343,0,0,0.343
5,1,0,2,0,45,2.362,0,0,2.362
6,1,0,2,0,9,0.496,0,0,0.496
7,1,0,2,0,20,1.158,0,0,1.158
8,3,1,3,3,34,0.659,1,0,1.197
9,3,1,3,3,32,0.583,1,0,1.162
10,1,0,2,0,14,0.726,0,0,0.726
11,1,0,2,0,35,1.760,0,0,1.760
12,1,0,2,0,3,0.188,0,0,0.188
13,1,0,2,0,15,0.839,0,0,0.839
14,7,3,5,5,84,0.666,3,0,1.650
15,5,2,4,2,117,1.203,2,0,2.291
16,1,0,2,0,8,0.453,0,0,0.453
17,0,0,1,0,0,0.000,0,0,0.000
18,5,2,4,2,51,0.586,2,0,0.899
19,3,1,3,1,67,1.210,1,0,2.269
20,1,0,2,0,35,2.042,0,0,2.042
21,1,0,2,0,2,0.180,0,0,0.180
22,1,0,2,0,9,0.443,0,0,0.443
23,1,0,2,0,74,3.860,0,0,3.860
24,1,0,2,0,0,0.060,0,0,0.060
25,1,0,2,0,40,1.814,0,0,1.814
26,5,2,4,4,107,1.128,2,0,3.365
27,1,0,2,0,22,1.066,0,0,1.066
28,1,0,2,0,9,0.443,0,0,0.443
29,1,0,2,0,11,0.687,0,0,0.687
30,1,0,2,0,36,1.909,0,0,1.909
31,1,0,2,0,3,0.241,0,0,0.241
