 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,3X_55_largestArea.tif,0.127,1.388,0.516,0.313,112.179,0.826,1.648,0.607,0.875,221,312
2,3X_55_largestArea.tif,4.559,28.028,4.721,1.230,116.969,0.073,3.839,0.260,0.343,223,347
3,3X_55_largestArea.tif,0.101,1.703,0.688,0.187,118.485,0.439,3.672,0.272,0.663,247,398
4,3X_55_largestArea.tif,0.071,0.942,0.325,0.277,126.689,1.000,1.174,0.852,0.897,260,401
5,3X_55_largestArea.tif,1.379,8.574,2.593,0.677,119.866,0.236,3.831,0.261,0.491,370,477
6,3X_55_largestArea.tif,1.033,5.960,2.099,0.627,91.398,0.365,3.349,0.299,0.664,248,492
7,3X_55_largestArea.tif,0.559,4.241,1.953,0.364,175.553,0.391,5.360,0.187,0.772,316,506
8,3X_55_largestArea.tif,0.195,1.628,0.529,0.470,103.844,0.926,1.126,0.888,0.896,430,513
9,3X_55_largestArea.tif,0.291,3.101,1.412,0.263,151.084,0.381,5.374,0.186,0.776,400,518
10,3X_55_largestArea.tif,0.081,1.037,0.359,0.288,8.573,0.951,1.246,0.803,0.882,346,522
11,3X_55_largestArea.tif,0.514,3.462,1.488,0.440,51.682,0.539,3.383,0.296,0.873,218,525
12,3X_55_largestArea.tif,0.425,3.375,1.479,0.366,81.646,0.469,4.042,0.247,0.835,258,527
13,3X_55_largestArea.tif,3.875,28.079,4.015,1.229,146.907,0.062,3.267,0.306,0.291,443,543
14,3X_55_largestArea.tif,0.380,3.657,1.593,0.304,142.781,0.357,5.244,0.191,0.693,472,554
15,3X_55_largestArea.tif,0.764,5.813,2.729,0.356,128.423,0.284,7.663,0.131,0.712,447,560
16,3X_55_largestArea.tif,1.160,7.749,2.526,0.585,2.264,0.243,4.320,0.231,0.524,525,569
17,3X_55_largestArea.tif,0.925,6.790,2.912,0.404,97.347,0.252,7.203,0.139,0.638,193,577
18,3X_55_largestArea.tif,0.349,2.429,0.977,0.455,14.182,0.744,2.145,0.466,0.919,234,578
19,3X_55_largestArea.tif,0.172,1.803,0.798,0.274,173.270,0.665,2.913,0.343,0.900,527,584
20,3X_55_largestArea.tif,0.422,3.477,1.553,0.346,152.537,0.438,4.491,0.223,0.838,521,596
21,3X_55_largestArea.tif,0.579,4.197,1.750,0.421,77.649,0.413,4.155,0.241,0.726,454,612
22,3X_55_largestArea.tif,2.385,14.902,3.615,0.840,94.007,0.135,4.304,0.232,0.419,180,621
23,3X_55_largestArea.tif,3.454,20.308,3.833,1.147,122.923,0.105,3.341,0.299,0.387,217,624
24,3X_55_largestArea.tif,0.838,5.195,2.017,0.529,65.152,0.390,3.814,0.262,0.661,469,624
25,3X_55_largestArea.tif,0.742,4.738,1.981,0.477,157.918,0.415,4.155,0.241,0.777,609,632
26,3X_55_largestArea.tif,0.232,1.763,0.603,0.489,28.531,0.936,1.232,0.812,0.921,567,643
27,3X_55_largestArea.tif,0.201,1.774,0.591,0.433,121.196,0.802,1.367,0.732,0.847,518,646
28,3X_55_largestArea.tif,0.217,1.714,0.599,0.461,153.437,0.929,1.300,0.769,0.916,205,660
29,3X_55_largestArea.tif,0.789,6.639,3.127,0.321,9.184,0.225,9.738,0.103,0.755,571,672
30,3X_55_largestArea.tif,0.054,0.867,0.292,0.237,30.605,0.907,1.231,0.812,0.822,505,684
31,3X_55_largestArea.tif,1.462,8.680,3.037,0.613,24.444,0.244,4.956,0.202,0.559,471,686
32,3X_55_largestArea.tif,0.313,2.404,0.988,0.403,31.190,0.680,2.450,0.408,0.889,218,699
33,3X_55_largestArea.tif,1.312,8.639,3.054,0.547,9.466,0.221,5.586,0.179,0.561,368,720
