 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,3X_58_largestArea.tif,0.678,3.481,1.424,0.607,14.483,0.704,2.346,0.426,0.914,250,42
2,3X_58_largestArea.tif,0.957,4.423,1.518,0.803,37.964,0.615,1.892,0.529,0.847,262,56
3,3X_58_largestArea.tif,0.262,2.068,0.804,0.416,97.545,0.771,1.934,0.517,0.884,514,151
4,3X_58_largestArea.tif,0.463,3.782,1.626,0.363,110.296,0.407,4.482,0.223,0.722,319,192
5,3X_58_largestArea.tif,0.175,1.533,0.498,0.449,73.353,0.938,1.108,0.903,0.902,458,205
6,3X_58_largestArea.tif,0.125,1.268,0.426,0.373,25.975,0.976,1.143,0.875,0.902,473,215
7,3X_58_largestArea.tif,0.304,2.394,0.947,0.409,67.985,0.666,2.319,0.431,0.857,512,219
8,3X_58_largestArea.tif,0.147,1.593,0.642,0.291,125.522,0.726,2.210,0.452,0.831,270,226
9,3X_58_largestArea.tif,0.145,1.402,0.457,0.404,45.562,0.925,1.131,0.884,0.914,489,227
10,3X_58_largestArea.tif,0.157,1.618,0.584,0.343,159.745,0.755,1.701,0.588,0.849,388,236
11,3X_58_largestArea.tif,0.116,1.523,0.509,0.290,143.624,0.628,1.758,0.569,0.785,415,241
12,3X_58_largestArea.tif,1.102,4.954,1.954,0.718,108.933,0.564,2.722,0.367,0.808,457,245
13,3X_58_largestArea.tif,0.340,2.114,0.699,0.619,25.567,0.956,1.129,0.886,0.935,343,250
14,3X_58_largestArea.tif,0.241,1.884,0.636,0.482,119.855,0.852,1.319,0.758,0.899,509,256
15,3X_58_largestArea.tif,1.178,4.568,1.454,1.031,151.431,0.709,1.410,0.709,0.876,434,258
16,3X_58_largestArea.tif,0.134,1.353,0.463,0.369,48.204,0.920,1.255,0.797,0.897,393,265
17,3X_58_largestArea.tif,0.351,2.199,0.716,0.624,157.469,0.912,1.148,0.871,0.933,403,276
18,3X_58_largestArea.tif,0.984,4.369,1.886,0.665,54.244,0.648,2.837,0.352,0.916,302,280
19,3X_58_largestArea.tif,0.219,2.089,0.787,0.354,60.600,0.630,2.220,0.450,0.796,490,282
20,3X_58_largestArea.tif,0.172,1.604,0.578,0.379,153.419,0.840,1.527,0.655,0.868,522,282
21,3X_58_largestArea.tif,0.109,1.278,0.540,0.256,45.000,0.835,2.111,0.474,0.889,373,294
22,3X_58_largestArea.tif,0.454,2.440,0.776,0.745,63.490,0.959,1.042,0.959,0.944,547,298
23,3X_58_largestArea.tif,0.432,2.440,0.833,0.661,173.836,0.913,1.260,0.794,0.934,501,299
24,3X_58_largestArea.tif,0.543,2.730,0.907,0.762,135.624,0.915,1.191,0.840,0.936,398,300
25,3X_58_largestArea.tif,0.463,3.456,1.181,0.499,142.855,0.487,2.364,0.423,0.713,350,306
26,3X_58_largestArea.tif,0.063,0.892,0.293,0.275,45.003,1.000,1.066,0.938,0.875,476,308
27,3X_58_largestArea.tif,0.651,3.120,1.166,0.711,9.855,0.841,1.639,0.610,0.936,235,310
28,3X_58_largestArea.tif,0.109,1.243,0.456,0.303,34.601,0.883,1.505,0.664,0.870,450,320
29,3X_58_largestArea.tif,0.094,1.112,0.372,0.322,120.128,0.956,1.158,0.864,0.912,481,320
30,3X_58_largestArea.tif,0.110,1.218,0.393,0.357,68.652,0.935,1.101,0.908,0.865,415,322
31,3X_58_largestArea.tif,0.148,1.413,0.478,0.395,61.194,0.934,1.209,0.827,0.901,345,328
32,3X_58_largestArea.tif,0.090,1.072,0.359,0.321,0.000,0.988,1.119,0.893,0.877,426,330
33,3X_58_largestArea.tif,0.427,3.823,1.495,0.364,37.538,0.367,4.113,0.243,0.655,690,331
34,3X_58_largestArea.tif,0.134,1.317,0.429,0.397,17.238,0.969,1.080,0.926,0.925,459,332
35,3X_58_largestArea.tif,0.116,1.232,0.419,0.352,39.765,0.958,1.192,0.839,0.914,362,351
