 ,Value,Count
1,0,81472
2,1,19188
3,2,4451
4,3,3731
5,4,4391
6,5,5427
7,6,4592
8,7,4366
9,8,4005
10,9,3931
11,10,3399
12,11,3559
13,12,3161
14,13,2863
15,14,2598
16,15,2167
17,16,2103
18,17,1770
19,18,1690
20,19,1447
21,20,1333
22,21,1141
23,22,1103
24,23,1042
25,24,1032
26,25,826
27,26,867
28,27,846
29,28,824
30,29,755
31,30,786
32,31,703
33,32,707
34,33,588
35,34,604
36,35,612
37,36,630
38,37,575
39,38,517
40,39,508
41,40,520
42,41,513
43,42,483
44,43,489
45,44,436
46,45,460
47,46,434
48,47,396
49,48,394
50,49,412
51,50,370
52,51,365
53,52,350
54,53,399
55,54,307
56,55,359
57,56,320
58,57,343
59,58,310
60,59,339
61,60,312
62,61,305
63,62,302
64,63,315
65,64,291
66,65,307
67,66,317
68,67,307
69,68,308
70,69,289
71,70,266
72,71,261
73,72,278
74,73,277
75,74,281
76,75,237
77,76,267
78,77,237
79,78,251
80,79,247
81,80,254
82,81,250
83,82,271
84,83,218
85,84,249
86,85,261
87,86,228
88,87,215
89,88,200
90,89,225
91,90,217
92,91,206
93,92,203
94,93,198
95,94,207
96,95,219
97,96,205
98,97,210
99,98,189
100,99,215
101,100,198
102,101,196
103,102,183
104,103,174
105,104,188
106,105,207
107,106,156
108,107,167
109,108,176
110,109,159
111,110,135
112,111,156
113,112,149
114,113,157
115,114,163
116,115,138
117,116,161
118,117,142
119,118,136
120,119,127
121,120,142
122,121,118
123,122,128
124,123,129
125,124,131
126,125,101
127,126,125
128,127,123
129,128,130
130,129,122
131,130,126
132,131,102
133,132,111
134,133,115
135,134,116
136,135,100
137,136,117
138,137,76
139,138,110
140,139,102
141,140,98
142,141,81
143,142,102
144,143,98
145,144,83
146,145,98
147,146,102
148,147,70
149,148,78
150,149,70
151,150,67
152,151,95
153,152,86
154,153,81
155,154,49
156,155,58
157,156,64
158,157,70
159,158,58
160,159,52
161,160,49
162,161,60
163,162,58
164,163,43
165,164,39
166,165,47
167,166,50
168,167,43
169,168,41
170,169,41
171,170,43
172,171,35
173,172,38
174,173,39
175,174,34
176,175,29
177,176,28
178,177,20
179,178,31
180,179,31
181,180,31
182,181,29
183,182,27
184,183,26
185,184,22
186,185,29
187,186,22
188,187,12
189,188,26
190,189,21
191,190,20
192,191,18
193,192,15
194,193,17
195,194,26
196,195,19
197,196,13
198,197,23
199,198,19
200,199,19
201,200,15
202,201,17
203,202,10
204,203,7
205,204,14
206,205,14
207,206,11
208,207,10
209,208,14
210,209,13
211,210,7
212,211,16
213,212,7
214,213,10
215,214,4
216,215,11
217,216,9
218,217,9
219,218,5
220,219,3
221,220,8
222,221,4
223,222,0
224,223,3
225,224,5
226,225,2
227,226,3
228,227,1
229,228,0
230,229,0
231,230,1
232,231,1
233,232,0
234,233,2
235,234,0
236,235,0
237,236,2
238,237,2
239,238,0
240,239,1
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
