Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,2.444,14.621,2.151,0.216,1.000,25.856,27.225,2.493,4.888,0,3.200,26.565,3.736,1.963,26.565,3.736,1.963,1.669,1.390,0.433,75.502,-83.956,-81.665,1.201,3.858,3.211,26.199,2.835,1.200,0.179
2,32.140,189.016,28.948,0.017,-26.000,12.024,19.062,2.639,14.223,0,4.800,15.973,8.901,2.014,15.973,8.901,2.014,6.475,3.472,2.271,-79.895,6.230,-174.537,1.865,2.851,1.528,16.961,8.212,0.000,0.244
3,5.097,29.676,4.301,0.112,-3.000,22.142,24.195,2.688,6.403,0,2.800,23.246,4.513,1.654,23.246,4.513,1.654,1.963,1.555,0.877,79.252,6.274,-88.174,1.262,2.237,1.772,23.608,4.986,0.000,0.228
4,0.060,0.690,0.392,1.246,1.000,26.003,26.394,3.617,4.155,0,0.400,26.164,3.873,0.200,26.164,3.873,0.200,0.408,0.347,0.239,0.000,-90.000,165.661,1.176,1.708,1.453,26.150,3.666,0.000,0.081
5,0.793,5.241,1.022,0.494,1.000,19.356,20.578,3.812,4.741,0,2.400,19.968,4.282,1.402,19.968,4.282,1.402,1.767,0.458,0.426,-27.798,74.730,-84.492,3.860,4.144,1.073,20.040,4.252,1.200,0.147
6,6.144,36.871,5.365,0.085,-8.000,22.875,26.296,5.523,9.189,0,4.000,24.436,7.406,1.862,24.436,7.406,1.862,2.658,1.951,0.784,-41.586,-10.179,98.695,1.362,3.391,2.490,23.217,7.918,0.000,0.196
7,6.521,38.254,5.828,0.086,1.500,9.971,13.441,5.230,8.651,0,4.000,11.946,6.923,1.825,11.946,6.923,1.825,2.344,1.434,1.412,43.639,-40.043,-154.600,1.635,1.660,1.015,10.509,6.452,0.000,0.261
8,12.641,62.569,7.222,0.074,-6.000,18.231,22.386,6.305,10.216,0,4.400,20.642,8.224,1.756,20.642,8.224,1.756,2.709,1.920,1.564,41.219,-33.145,38.136,1.411,1.732,1.227,21.506,8.749,0.000,0.293
9,0.261,2.377,0.813,0.573,0.000,9.238,9.971,7.136,8.016,0,0.800,9.618,7.577,0.434,9.618,7.577,0.434,0.642,0.441,0.362,-62.873,61.111,-104.331,1.455,1.772,1.218,9.482,7.429,0.000,0.130
10,0.578,4.999,1.826,0.303,1.000,10.167,11.340,7.527,10.167,0,0.800,10.868,8.625,0.463,10.868,8.625,0.463,1.532,0.591,0.352,-72.633,-0.989,96.354,2.593,4.351,1.678,11.046,7.674,0.000,0.130
