Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
50,0.361,3.377,0.874,0.383,0.500,11.046,12.220,29.620,30.402,0.800,2.400,11.650,30.008,1.883,11.650,30.008,1.883,0.940,0.583,0.334,23.272,70.412,-88.525,1.612,2.815,1.746,11.633,29.962,1.600,0.130
51,0.589,5.419,1.908,0.246,-2.000,4.399,6.110,33.237,34.703,0.800,2.800,5.346,34.041,1.901,5.346,34.041,1.901,1.609,0.620,0.398,-30.077,-51.564,141.582,2.597,4.047,1.558,4.888,34.263,1.200,0.114
52,0.499,4.998,1.528,0.225,-4.000,33.530,34.850,40.911,41.937,0.800,2.000,34.102,41.402,1.375,34.102,41.402,1.375,0.850,0.721,0.495,-16.903,-50.891,78.503,1.179,1.715,1.454,33.775,41.058,0.800,0.081
53,0.079,1.128,0.595,0.496,0.000,24.732,25.368,8.945,9.531,1.200,1.600,25.047,9.242,1.400,25.047,9.242,1.400,0.456,0.408,0.273,35.787,2.774E-26,90.000,1.117,1.668,1.493,24.830,8.994,1.200,0.081
54,0.328,2.923,0.909,0.487,1.000,9.140,10.362,25.710,26.541,1.200,2.400,9.796,26.073,1.932,9.796,26.073,1.932,0.848,0.609,0.335,-10.679,-61.081,73.292,1.394,2.530,1.815,9.776,26.003,1.600,0.130
55,0.657,4.815,1.035,0.438,1.000,11.046,12.171,31.820,32.797,1.200,3.200,11.563,32.370,2.342,11.563,32.370,2.342,1.171,0.505,0.461,-33.917,-78.412,173.827,2.320,2.540,1.095,11.242,32.211,2.000,0.130
56,0.222,2.372,0.889,0.417,1.500,36.121,37.832,33.481,34.068,1.200,2.000,36.929,33.760,1.684,36.929,33.760,1.684,1.116,0.486,0.277,7.640,17.861,-92.933,2.295,4.031,1.756,37.196,33.726,1.200,0.081
57,0.434,3.321,0.960,0.581,1.000,7.429,8.505,33.628,34.899,1.200,2.000,7.944,34.262,1.588,7.944,34.262,1.588,0.815,0.629,0.336,52.040,10.363,-67.937,1.296,2.424,1.871,7.527,33.872,1.200,0.081
58,0.060,0.858,0.461,0.650,1.000,37.880,38.614,33.872,34.312,1.200,1.600,38.283,34.075,1.400,38.283,34.075,1.400,0.526,0.408,0.201,21.164,2.918E-26,90.000,1.289,2.615,2.029,37.929,33.921,1.200,0.081
59,0.057,0.702,0.351,1.077,1.000,32.699,33.286,35.779,36.170,1.200,1.600,32.977,35.986,1.400,32.977,35.986,1.400,0.408,0.377,0.218,74.231,-90.000,168.690,1.083,1.871,1.727,32.944,35.876,1.200,0.081
