 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,r_18_FinalTH.tif,0.188,255.000,255,255,28.100,5.946,1.969,0.799,0.300,116.668,0.610,2.664,0.375,0.800,656,131
2,r_18_FinalTH.tif,0.275,255.000,255,255,28.682,6.875,2.344,0.952,0.368,91.101,0.629,2.589,0.386,0.847,674,151
3,r_18_FinalTH.tif,0.190,255.000,255,255,19.558,7.435,1.738,0.613,0.395,108.379,0.790,1.553,0.644,0.857,457,168
4,r_18_FinalTH.tif,2.227,241.328,0,255,27.706,8.117,12.829,2.531,1.120,172.890,0.170,2.259,0.443,0.539,641,168
5,r_18_FinalTH.tif,0.210,255.000,255,255,23.167,8.022,1.863,0.723,0.369,6.009,0.760,1.959,0.511,0.899,545,184
6,r_18_FinalTH.tif,0.485,255.000,255,255,20.690,8.557,4.499,1.486,0.415,48.855,0.301,3.578,0.279,0.564,492,185
7,r_18_FinalTH.tif,1.357,255.000,255,255,24.782,8.713,8.114,2.953,0.585,1.308,0.259,5.046,0.198,0.615,591,195
8,r_18_FinalTH.tif,0.476,255.000,255,255,22.656,9.226,4.750,1.250,0.485,107.541,0.265,2.581,0.387,0.557,532,200
9,r_18_FinalTH.tif,0.230,255.000,255,255,27.482,9.041,1.749,0.643,0.455,33.926,0.944,1.412,0.708,0.917,646,206
10,r_18_FinalTH.tif,0.592,255.000,255,255,20.729,9.549,3.537,1.177,0.640,36.465,0.594,1.839,0.544,0.808,489,213
11,r_18_FinalTH.tif,0.154,255.000,255,255,29.514,9.627,1.537,0.626,0.313,2.402,0.818,2.001,0.500,0.939,689,223
12,r_18_FinalTH.tif,0.684,255.000,255,255,24.359,10.353,6.085,2.080,0.419,170.259,0.232,4.970,0.201,0.570,545,232
13,r_18_FinalTH.tif,0.318,255.000,255,255,27.244,10.280,2.209,0.830,0.488,50.644,0.820,1.700,0.588,0.917,643,233
14,r_18_FinalTH.tif,1.482,255.000,255,255,28.025,11.065,9.738,2.791,0.676,49.880,0.196,4.130,0.242,0.490,673,234
15,r_18_FinalTH.tif,1.100,255.000,255,255,21.813,11.048,6.943,2.342,0.598,29.973,0.287,3.915,0.255,0.604,530,244
16,r_18_FinalTH.tif,0.545,255.000,255,255,26.435,11.232,3.327,1.497,0.463,40.980,0.618,3.232,0.309,0.878,629,252
17,r_18_FinalTH.tif,0.684,255.000,255,255,24.792,12.020,3.981,1.717,0.507,1.104,0.542,3.385,0.295,0.926,572,277
18,r_18_FinalTH.tif,1.444,255.000,255,255,5.964,12.615,11.016,2.827,0.650,13.434,0.150,4.346,0.230,0.424,178,279
19,r_18_FinalTH.tif,0.210,255.000,255,255,5.734,12.195,2.269,0.831,0.322,10.139,0.512,2.581,0.387,0.786,134,282
20,r_18_FinalTH.tif,1.362,255.000,255,255,6.856,13.379,11.871,2.075,0.836,23.395,0.121,2.483,0.403,0.441,168,296
21,r_18_FinalTH.tif,1.145,255.000,255,255,3.351,13.947,8.626,1.291,1.129,16.114,0.193,1.143,0.875,0.545,90,308
22,r_18_FinalTH.tif,0.221,255.000,255,255,5.784,14.213,2.404,1.013,0.277,176.839,0.480,3.655,0.274,0.797,127,330
23,r_18_FinalTH.tif,0.472,255.000,255,255,4.722,14.562,2.890,0.877,0.686,163.635,0.711,1.278,0.782,0.857,103,334
