 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,r_28_FinalTH.tif,0.409,255,255,255,17.830,2.182,3.180,1.383,0.377,99.818,0.508,3.672,0.272,0.807,416,36
2,r_28_FinalTH.tif,0.990,255,255,255,18.342,3.159,7.004,2.262,0.557,67.858,0.254,4.059,0.246,0.517,444,45
3,r_28_FinalTH.tif,0.228,255,255,255,19.870,2.749,1.848,0.729,0.398,19.009,0.838,1.830,0.546,0.903,469,59
4,r_28_FinalTH.tif,1.192,255,255,255,21.156,3.444,8.060,1.332,1.140,10.668,0.231,1.168,0.856,0.531,512,64
5,r_28_FinalTH.tif,1.648,255,255,255,15.194,3.757,11.016,3.104,0.676,21.917,0.171,4.591,0.218,0.419,383,68
6,r_28_FinalTH.tif,0.896,255,255,255,19.307,3.582,6.296,1.280,0.891,12.319,0.284,1.437,0.696,0.685,455,71
7,r_28_FinalTH.tif,0.190,255,255,255,22.975,3.568,1.763,0.694,0.349,115.728,0.768,1.991,0.502,0.879,537,76
8,r_28_FinalTH.tif,2.278,255,255,255,21.770,5.160,14.796,1.851,1.567,23.049,0.131,1.181,0.847,0.440,526,84
9,r_28_FinalTH.tif,0.154,255,255,255,17.360,4.157,1.799,0.614,0.319,72.754,0.597,1.923,0.520,0.773,405,91
10,r_28_FinalTH.tif,0.165,255,255,255,16.527,4.142,1.834,0.706,0.297,31.509,0.615,2.378,0.421,0.778,390,92
11,r_28_FinalTH.tif,0.199,255,255,255,23.247,4.815,1.933,0.702,0.361,119.903,0.669,1.943,0.515,0.843,541,104
12,r_28_FinalTH.tif,0.872,255,255,255,16.574,5.412,5.520,1.670,0.665,27.368,0.360,2.512,0.398,0.698,402,114
13,r_28_FinalTH.tif,0.369,255,255,255,23.758,5.851,2.645,1.091,0.431,153.728,0.663,2.532,0.395,0.870,551,129
14,r_28_FinalTH.tif,1.992,255,255,255,10.520,7.082,11.968,2.809,0.903,167.875,0.175,3.111,0.321,0.392,198,139
15,r_28_FinalTH.tif,0.375,255,255,255,14.793,6.396,2.415,0.932,0.512,46.938,0.807,1.820,0.550,0.920,348,142
16,r_28_FinalTH.tif,0.888,255,255,255,22.560,6.787,4.985,2.013,0.562,145.360,0.449,3.584,0.279,0.758,512,144
17,r_28_FinalTH.tif,0.261,255,255,255,7.294,7.044,1.859,0.602,0.551,39.551,0.948,1.092,0.916,0.920,169,159
18,r_28_FinalTH.tif,0.385,255,255,255,22.704,7.881,2.935,1.148,0.428,113.504,0.562,2.685,0.372,0.835,529,174
19,r_28_FinalTH.tif,0.364,255,255,255,7.846,7.784,2.269,0.714,0.648,14.421,0.887,1.102,0.907,0.920,183,175
20,r_28_FinalTH.tif,0.284,255,255,255,24.415,8.002,1.969,0.642,0.563,110.872,0.921,1.140,0.878,0.924,571,181
21,r_28_FinalTH.tif,0.823,255,255,255,12.709,9.306,4.979,2.124,0.493,109.385,0.417,4.304,0.232,0.770,292,195
22,r_28_FinalTH.tif,0.168,255,255,255,10.448,9.157,1.558,0.503,0.426,76.538,0.871,1.183,0.845,0.899,245,209
23,r_28_FinalTH.tif,0.295,255,255,255,9.518,9.941,3.051,1.076,0.349,130.207,0.398,3.082,0.324,0.700,212,223
