C1,C2,C1/C2,Obj. Func,Time
0.07682823,0.00860492,8.928407237,0.613567442,3103.782774
0.04748356,0.008293,5.725739781,0.600269327,2457.048729
0.0540406,0.0083731,6.454073163,0.651166699,1371.120937
0.03555079,0.00709057,5.013812712,0.6151664,3009.956686
0.05302044,0.00982825,5.394697937,0.581001783,3050.36909
0.04486342,0.00978045,4.587050698,0.575104001,3584.608961
0.02738695,0.00977859,2.800705419,0.626928635,1548.340155
0.06073583,0.00971109,6.254275267,0.610054068,3068.787293
0.07564892,0.00848167,8.919106733,0.644034602,1747.828017
0.06832648,0.00856299,7.979278266,0.570258694,1697.238198
