C1,C2,C1/C2,Obj. Func,Time
0.00973734,0.00698472,1.394091674,0.2807035,3079.38046
0.00691807,0.00722991,0.956868066,0.288168056,4032.270933
0.01119662,0.00510216,2.194486257,0.311879334,1926.209956
0.00836419,0.00586201,1.426846764,0.338722472,1950.089391
0.0079778,0.00754739,1.057027661,0.30238417,4019.182574
0.00928709,0.00769394,1.207065561,0.320451555,4225.197637
0.01549629,0.00479329,3.232913093,0.322580766,2840.114956
0.01459047,0.00376901,3.87116776,0.311791366,3434.402158
0.01210389,0.00478612,2.52895665,0.354398724,2268.760521
0.00812567,0.00963216,0.843597905,0.294535608,3857.793159
