C1,C2,C1/C2,Obj. Func,Time
0.04864892,0.00472858,10.28827259,0.476083397,4274.805259
0.02889158,0.00913367,3.163195079,0.481174716,2974.423049
0.02971823,0.00626598,4.742790433,0.461840745,2385.582567
0.02741433,0.00743519,3.687105508,0.418262894,2974.027735
0.02598083,0.00841725,3.086617363,0.469081546,1813.739789
0.03702232,0.00724656,5.108951006,0.472107744,3067.59685
0.02802626,0.0085542,3.276315728,0.50656755,1624.149887
0.03369442,0.00542726,6.208366653,0.471922743,4246.152336
0.01428997,0.0088473,1.615178642,0.441299776,1657.10001
0.02850903,0.0074549,3.82420019,0.497069613,702.6711571
