
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
14970.3,,Surface,1,Image 1,1,Class A,1077,
15029.3,,Surface,1,Image 1,1,Class A,1078,
15240.9,,Surface,1,Image 1,1,Class A,1079,
20036.1,,Surface,1,Image 1,1,Class A,1080,
13811.6,,Surface,1,Image 1,1,Class A,1081,
14475,,Surface,1,Image 1,1,Class A,1082,
9056.06,,Surface,1,Image 1,1,Class A,1083,
14827.7,,Surface,1,Image 1,1,Class A,1084,
12018.9,,Surface,1,Image 1,1,Class A,1085,
21582.2,,Surface,1,Image 1,1,Class A,1086,
13535.5,,Surface,1,Image 1,1,Class A,1087,
10281.3,,Surface,1,Image 1,1,Class A,1088,
10459.8,,Surface,1,Image 1,1,Class A,1089,
19279.7,,Surface,1,Image 1,1,Class A,1090,
14089.4,,Surface,1,Image 1,1,Class A,1091,
18125.5,,Surface,1,Image 1,1,Class A,1092,
13928,,Surface,1,Image 1,1,Class A,1093,
13673.2,,Surface,1,Image 1,1,Class A,1094,
10625.6,,Surface,1,Image 1,1,Class A,1095,
9683.17,,Surface,1,Image 1,1,Class A,1096,
14231.5,,Surface,1,Image 1,1,Class A,1097,
15570.9,,Surface,1,Image 1,1,Class A,1098,
10492.4,,Surface,1,Image 1,1,Class A,1099,
12835,,Surface,1,Image 1,1,Class A,1100,
10125.4,,Surface,1,Image 1,1,Class A,1101,
13753.1,,Surface,1,Image 1,1,Class A,1102,
10257.8,,Surface,1,Image 1,1,Class A,1103,
10329.9,,Surface,1,Image 1,1,Class A,1104,
10082.6,,Surface,1,Image 1,1,Class A,1105,
15599.9,,Surface,1,Image 1,1,Class A,1106,
8912.58,,Surface,1,Image 1,1,Class A,1107,
12299.6,,Surface,1,Image 1,1,Class A,1108,
17988.6,,Surface,1,Image 1,1,Class A,1111,
11320.1,,Surface,1,Image 1,1,Class A,1112,
14497.4,,Surface,1,Image 1,1,Class A,1113,
