
Volume
 ==================== 
Volume,Unit,Category,Time,Set 1,ID,
0.00608234,µm^3,Surface,1,Class A,157,
0.00589044,µm^3,Surface,1,Class A,158,
0.207803,µm^3,Surface,1,Class A,159,
0.124325,µm^3,Surface,1,Class A,160,
0.000460306,µm^3,Surface,1,Class A,161,
0.263391,µm^3,Surface,1,Class A,162,
0.0209107,µm^3,Surface,1,Class A,163,
0.0244484,µm^3,Surface,1,Class A,164,
0.124176,µm^3,Surface,1,Class A,165,
0.0578581,µm^3,Surface,1,Class A,166,
0.00472405,µm^3,Surface,1,Class A,167,
0.186585,µm^3,Surface,1,Class A,168,
0.153381,µm^3,Surface,1,Class A,169,
0.00139894,µm^3,Surface,1,Class A,170,
0.175471,µm^3,Surface,1,Class A,171,
0.0290479,µm^3,Surface,1,Class A,172,
0.141841,µm^3,Surface,1,Class A,173,
0.0187832,µm^3,Surface,1,Class A,174,
0.00364878,µm^3,Surface,1,Class A,175,
0.0988404,µm^3,Surface,1,Class A,176,
0.0383883,µm^3,Surface,1,Class A,177,
0.00280126,µm^3,Surface,1,Class A,178,
0.368687,µm^3,Surface,1,Class A,179,
0.0276595,µm^3,Surface,1,Class A,180,
0.106075,µm^3,Surface,1,Class A,181,
0.00148289,µm^3,Surface,1,Class A,182,
0.00954144,µm^3,Surface,1,Class A,183,
0.0317992,µm^3,Surface,1,Class A,184,
0.246732,µm^3,Surface,1,Class A,185,
0.154862,µm^3,Surface,1,Class A,186,
0.00429815,µm^3,Surface,1,Class A,187,
0.0192965,µm^3,Surface,1,Class A,188,
0.232014,µm^3,Surface,1,Class A,189,
0.000897355,µm^3,Surface,1,Class A,190,
0.60355,µm^3,Surface,1,Class A,191,
0.049071,µm^3,Surface,1,Class A,192,
0.0153021,µm^3,Surface,1,Class A,193,
0.0878798,µm^3,Surface,1,Class A,194,
0.0285538,µm^3,Surface,1,Class A,195,
0.00284431,µm^3,Surface,1,Class A,196,
0.0616204,µm^3,Surface,1,Class A,197,
0.617535,µm^3,Surface,1,Class A,198,
0.229226,µm^3,Surface,1,Class A,199,
0.0925539,µm^3,Surface,1,Class A,200,
0.0292561,µm^3,Surface,1,Class A,201,
0.00241148,µm^3,Surface,1,Class A,202,
0.0513948,µm^3,Surface,1,Class A,203,
0.882529,µm^3,Surface,1,Class A,204,
0.0662384,µm^3,Surface,1,Class A,205,
0.412892,µm^3,Surface,1,Class A,206,
0.0748575,µm^3,Surface,1,Class A,207,
0.0717947,µm^3,Surface,1,Class A,208,
0.00090327,µm^3,Surface,1,Class A,209,
0.469681,µm^3,Surface,1,Class A,210,
0.075645,µm^3,Surface,1,Class A,211,
0.0319129,µm^3,Surface,1,Class A,212,
0.0197675,µm^3,Surface,1,Class A,213,
0.00931206,µm^3,Surface,1,Class A,214,
0.016041,µm^3,Surface,1,Class A,215,
0.00307385,µm^3,Surface,1,Class A,216,
0.00763445,µm^3,Surface,1,Class A,217,
0.00407923,µm^3,Surface,1,Class A,218,
0.141635,µm^3,Surface,1,Class A,219,
0.0356324,µm^3,Surface,1,Class A,220,
0.0965924,µm^3,Surface,1,Class A,221,
0.0420018,µm^3,Surface,1,Class A,222,
0.0347119,µm^3,Surface,1,Class A,223,
0.0599201,µm^3,Surface,1,Class A,224,
0.0121983,µm^3,Surface,1,Class A,225,
0.0397511,µm^3,Surface,1,Class A,226,
0.990992,µm^3,Surface,1,Class A,227,
0.228766,µm^3,Surface,1,Class A,228,
0.0976763,µm^3,Surface,1,Class A,229,
0.00916849,µm^3,Surface,1,Class A,230,
0.0133337,µm^3,Surface,1,Class A,231,
0.00292563,µm^3,Surface,1,Class A,232,
0.026497,µm^3,Surface,1,Class A,233,
0.0619768,µm^3,Surface,1,Class A,234,
0.386924,µm^3,Surface,1,Class A,235,
0.910722,µm^3,Surface,1,Class A,236,
0.00727014,µm^3,Surface,1,Class A,237,
0.0399619,µm^3,Surface,1,Class A,238,
0.00592342,µm^3,Surface,1,Class A,239,
1.16786,µm^3,Surface,1,Class A,240,
0.209739,µm^3,Surface,1,Class A,241,
0.174758,µm^3,Surface,1,Class A,242,
0.0570143,µm^3,Surface,1,Class A,243,
0.119889,µm^3,Surface,1,Class A,244,
0.00483279,µm^3,Surface,1,Class A,245,
0.00768738,µm^3,Surface,1,Class A,246,
0.00654065,µm^3,Surface,1,Class A,247,
0.0245919,µm^3,Surface,1,Class A,248,
0.053789,µm^3,Surface,1,Class A,249,
0.0738209,µm^3,Surface,1,Class A,250,
0.095922,µm^3,Surface,1,Class A,251,
0.0191991,µm^3,Surface,1,Class A,252,
0.0651059,µm^3,Surface,1,Class A,253,
0.098166,µm^3,Surface,1,Class A,254,
0.0904643,µm^3,Surface,1,Class A,255,
0.00541425,µm^3,Surface,1,Class A,256,
0.00403203,µm^3,Surface,1,Class A,257,
0.0970575,µm^3,Surface,1,Class A,258,
0.0833098,µm^3,Surface,1,Class A,259,
0.373448,µm^3,Surface,1,Class A,260,
0.0145517,µm^3,Surface,1,Class A,261,
0.016673,µm^3,Surface,1,Class A,262,
0.146528,µm^3,Surface,1,Class A,263,
0.0547447,µm^3,Surface,1,Class A,264,
0.216506,µm^3,Surface,1,Class A,265,
0.0906358,µm^3,Surface,1,Class A,266,
0.00811598,µm^3,Surface,1,Class A,267,
0.00893357,µm^3,Surface,1,Class A,268,
4.4494,µm^3,Surface,1,Class A,269,
0.179902,µm^3,Surface,1,Class A,270,
0.000189246,µm^3,Surface,1,Class A,271,
0.0525777,µm^3,Surface,1,Class A,272,
0.00723822,µm^3,Surface,1,Class A,273,
0.154732,µm^3,Surface,1,Class A,274,
0.0983982,µm^3,Surface,1,Class A,275,
0.195871,µm^3,Surface,1,Class A,276,
0.0156557,µm^3,Surface,1,Class A,277,
0.00334046,µm^3,Surface,1,Class A,278,
11.805,µm^3,Surface,1,Class B,279,
0.395616,µm^3,Surface,1,Class A,280,
0.809017,µm^3,Surface,1,Class A,281,
2.13844,µm^3,Surface,1,Class A,282,
1.68481,µm^3,Surface,1,Class A,283,
0.0153318,µm^3,Surface,1,Class A,284,
4.51706,µm^3,Surface,1,Class A,285,
0.00199197,µm^3,Surface,1,Class A,286,
0.00876237,µm^3,Surface,1,Class A,287,
21.5339,µm^3,Surface,1,Class B,288,
0.00522112,µm^3,Surface,1,Class A,289,
0.00308818,µm^3,Surface,1,Class A,290,
0.044955,µm^3,Surface,1,Class A,291,
