
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
11164.7,,Surface,1,Image 1,1,Class A,157,
12001.2,,Surface,1,Image 1,1,Class A,158,
13762.3,,Surface,1,Image 1,1,Class A,159,
13207.7,,Surface,1,Image 1,1,Class A,160,
9054.25,,Surface,1,Image 1,1,Class A,161,
17700.7,,Surface,1,Image 1,1,Class A,162,
10171.7,,Surface,1,Image 1,1,Class A,163,
13333.8,,Surface,1,Image 1,1,Class A,164,
18046,,Surface,1,Image 1,1,Class A,165,
11942.3,,Surface,1,Image 1,1,Class A,166,
11750.9,,Surface,1,Image 1,1,Class A,167,
13459.9,,Surface,1,Image 1,1,Class A,168,
14380.8,,Surface,1,Image 1,1,Class A,169,
10799.4,,Surface,1,Image 1,1,Class A,170,
12204.2,,Surface,1,Image 1,1,Class A,171,
10074.3,,Surface,1,Image 1,1,Class A,172,
15619,,Surface,1,Image 1,1,Class A,173,
11344,,Surface,1,Image 1,1,Class A,174,
11334.1,,Surface,1,Image 1,1,Class A,175,
13836.1,,Surface,1,Image 1,1,Class A,176,
15153.7,,Surface,1,Image 1,1,Class A,177,
10107.9,,Surface,1,Image 1,1,Class A,178,
11722.2,,Surface,1,Image 1,1,Class A,179,
11283.4,,Surface,1,Image 1,1,Class A,180,
15070.6,,Surface,1,Image 1,1,Class A,181,
14237.5,,Surface,1,Image 1,1,Class A,182,
11626.8,,Surface,1,Image 1,1,Class A,183,
10845.8,,Surface,1,Image 1,1,Class A,184,
15768.9,,Surface,1,Image 1,1,Class A,185,
17549.7,,Surface,1,Image 1,1,Class A,186,
13488.4,,Surface,1,Image 1,1,Class A,187,
11012.7,,Surface,1,Image 1,1,Class A,188,
17262.3,,Surface,1,Image 1,1,Class A,189,
14333.3,,Surface,1,Image 1,1,Class A,190,
14116.3,,Surface,1,Image 1,1,Class A,191,
13681.4,,Surface,1,Image 1,1,Class A,192,
11064,,Surface,1,Image 1,1,Class A,193,
16368.2,,Surface,1,Image 1,1,Class A,194,
11491.4,,Surface,1,Image 1,1,Class A,195,
13139,,Surface,1,Image 1,1,Class A,196,
16075,,Surface,1,Image 1,1,Class A,197,
15313.6,,Surface,1,Image 1,1,Class A,198,
18713.6,,Surface,1,Image 1,1,Class A,199,
14675.6,,Surface,1,Image 1,1,Class A,200,
12711.2,,Surface,1,Image 1,1,Class A,201,
12574.1,,Surface,1,Image 1,1,Class A,202,
15565.3,,Surface,1,Image 1,1,Class A,203,
17515.3,,Surface,1,Image 1,1,Class A,204,
14068.7,,Surface,1,Image 1,1,Class A,205,
14301.7,,Surface,1,Image 1,1,Class A,206,
16263.6,,Surface,1,Image 1,1,Class A,207,
12161.5,,Surface,1,Image 1,1,Class A,208,
12138.8,,Surface,1,Image 1,1,Class A,209,
14410.5,,Surface,1,Image 1,1,Class A,210,
13768.4,,Surface,1,Image 1,1,Class A,211,
14796.4,,Surface,1,Image 1,1,Class A,212,
12993.9,,Surface,1,Image 1,1,Class A,213,
10135.3,,Surface,1,Image 1,1,Class A,214,
13220.1,,Surface,1,Image 1,1,Class A,215,
14900.9,,Surface,1,Image 1,1,Class A,216,
12226,,Surface,1,Image 1,1,Class A,217,
12547.1,,Surface,1,Image 1,1,Class A,218,
16705.3,,Surface,1,Image 1,1,Class A,219,
11510,,Surface,1,Image 1,1,Class A,220,
17576.3,,Surface,1,Image 1,1,Class A,221,
15875.4,,Surface,1,Image 1,1,Class A,222,
13521.8,,Surface,1,Image 1,1,Class A,223,
11152.4,,Surface,1,Image 1,1,Class A,224,
15539.3,,Surface,1,Image 1,1,Class A,225,
13693.6,,Surface,1,Image 1,1,Class A,226,
15519.6,,Surface,1,Image 1,1,Class A,227,
9240.08,,Surface,1,Image 1,1,Class A,228,
17255.6,,Surface,1,Image 1,1,Class A,229,
13673.9,,Surface,1,Image 1,1,Class A,230,
12886.4,,Surface,1,Image 1,1,Class A,231,
7499.44,,Surface,1,Image 1,1,Class A,232,
14979,,Surface,1,Image 1,1,Class A,233,
12471.4,,Surface,1,Image 1,1,Class A,234,
13876,,Surface,1,Image 1,1,Class A,235,
17196.7,,Surface,1,Image 1,1,Class A,236,
11465.4,,Surface,1,Image 1,1,Class A,237,
15833.5,,Surface,1,Image 1,1,Class A,238,
14581.4,,Surface,1,Image 1,1,Class A,239,
17431.8,,Surface,1,Image 1,1,Class A,240,
16142.5,,Surface,1,Image 1,1,Class A,241,
14362.3,,Surface,1,Image 1,1,Class A,242,
13925.5,,Surface,1,Image 1,1,Class A,243,
17156.3,,Surface,1,Image 1,1,Class A,244,
12554.3,,Surface,1,Image 1,1,Class A,245,
11983.5,,Surface,1,Image 1,1,Class A,246,
13193.2,,Surface,1,Image 1,1,Class A,247,
13134.1,,Surface,1,Image 1,1,Class A,248,
14878.8,,Surface,1,Image 1,1,Class A,249,
14877,,Surface,1,Image 1,1,Class A,250,
12242.1,,Surface,1,Image 1,1,Class A,251,
13484.5,,Surface,1,Image 1,1,Class A,252,
18278.6,,Surface,1,Image 1,1,Class A,253,
13445.2,,Surface,1,Image 1,1,Class A,254,
17825.9,,Surface,1,Image 1,1,Class A,255,
11533.5,,Surface,1,Image 1,1,Class A,256,
11005.3,,Surface,1,Image 1,1,Class A,257,
14921.2,,Surface,1,Image 1,1,Class A,258,
10676.8,,Surface,1,Image 1,1,Class A,259,
19182.2,,Surface,1,Image 1,1,Class A,260,
14336.5,,Surface,1,Image 1,1,Class A,261,
12031.1,,Surface,1,Image 1,1,Class A,262,
16038.8,,Surface,1,Image 1,1,Class A,263,
17898.4,,Surface,1,Image 1,1,Class A,264,
18048.3,,Surface,1,Image 1,1,Class A,265,
13774.5,,Surface,1,Image 1,1,Class A,266,
9304.44,,Surface,1,Image 1,1,Class A,267,
13979,,Surface,1,Image 1,1,Class A,268,
16576.8,,Surface,1,Image 1,1,Class A,269,
15169.7,,Surface,1,Image 1,1,Class A,270,
11540.2,,Surface,1,Image 1,1,Class A,271,
14539.9,,Surface,1,Image 1,1,Class A,272,
9312.59,,Surface,1,Image 1,1,Class A,273,
11487.9,,Surface,1,Image 1,1,Class A,274,
10441.6,,Surface,1,Image 1,1,Class A,275,
14668.5,,Surface,1,Image 1,1,Class A,276,
11163.6,,Surface,1,Image 1,1,Class A,277,
9882.5,,Surface,1,Image 1,1,Class A,278,
17094.9,,Surface,1,Image 1,1,Class B,279,
17354.4,,Surface,1,Image 1,1,Class A,280,
18363,,Surface,1,Image 1,1,Class A,281,
17134.7,,Surface,1,Image 1,1,Class A,282,
17241.4,,Surface,1,Image 1,1,Class A,283,
10002.3,,Surface,1,Image 1,1,Class A,284,
18766.5,,Surface,1,Image 1,1,Class A,285,
9492.5,,Surface,1,Image 1,1,Class A,286,
7738.29,,Surface,1,Image 1,1,Class A,287,
17074.7,,Surface,1,Image 1,1,Class B,288,
8126.98,,Surface,1,Image 1,1,Class A,289,
7702.92,,Surface,1,Image 1,1,Class A,290,
10530.1,,Surface,1,Image 1,1,Class A,291,
