
Volume
 ==================== 
Volume,Unit,Category,Time,Set 1,ID,
0.0353926,µm^3,Surface,1,Class A,375,
0.0156032,µm^3,Surface,1,Class A,376,
0.658659,µm^3,Surface,1,Class A,377,
0.0120186,µm^3,Surface,1,Class A,378,
0.0387935,µm^3,Surface,1,Class A,379,
0.140304,µm^3,Surface,1,Class A,380,
0.0213104,µm^3,Surface,1,Class A,382,
0.021089,µm^3,Surface,1,Class A,384,
0.024836,µm^3,Surface,1,Class A,385,
0.0428239,µm^3,Surface,1,Class A,387,
0.0284431,µm^3,Surface,1,Class A,388,
0.0642916,µm^3,Surface,1,Class A,389,
1.7052,µm^3,Surface,1,Class A,390,
0.0879802,µm^3,Surface,1,Class A,393,
1.54493,µm^3,Surface,1,Class A,394,
0.203827,µm^3,Surface,1,Class A,397,
0.0476482,µm^3,Surface,1,Class A,399,
0.070028,µm^3,Surface,1,Class A,400,
0.0155093,µm^3,Surface,1,Class A,402,
3.90715e-05,µm^3,Surface,1,Class A,403,
0.259227,µm^3,Surface,1,Class A,405,
0.0348595,µm^3,Surface,1,Class A,406,
0.0829873,µm^3,Surface,1,Class A,407,
0.523425,µm^3,Surface,1,Class A,408,
0.231085,µm^3,Surface,1,Class A,409,
0.110738,µm^3,Surface,1,Class A,411,
0.0280858,µm^3,Surface,1,Class A,412,
0.739545,µm^3,Surface,1,Class A,414,
0.203233,µm^3,Surface,1,Class A,415,
0.0247615,µm^3,Surface,1,Class A,416,
1.18746,µm^3,Surface,1,Class A,417,
0.0191298,µm^3,Surface,1,Class A,418,
0.206333,µm^3,Surface,1,Class A,419,
0.0270449,µm^3,Surface,1,Class A,420,
0.0376442,µm^3,Surface,1,Class A,421,
0.0226929,µm^3,Surface,1,Class A,422,
2.38246,µm^3,Surface,1,Class A,423,
0.057199,µm^3,Surface,1,Class A,432,
