
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
27790,,Surface,1,Image 1,1,Class A,369,
25845,,Surface,1,Image 1,1,Class A,370,
14316,,Surface,1,Image 1,1,Class A,371,
57619,,Surface,1,Image 1,1,Class A,372,
16691,,Surface,1,Image 1,1,Class A,375,
11417,,Surface,1,Image 1,1,Class A,376,
27046,,Surface,1,Image 1,1,Class A,377,
14539,,Surface,1,Image 1,1,Class A,378,
16139,,Surface,1,Image 1,1,Class A,379,
17937,,Surface,1,Image 1,1,Class A,380,
14429,,Surface,1,Image 1,1,Class A,382,
21356,,Surface,1,Image 1,1,Class A,384,
17555,,Surface,1,Image 1,1,Class A,385,
17891,,Surface,1,Image 1,1,Class A,387,
19726,,Surface,1,Image 1,1,Class A,388,
21008,,Surface,1,Image 1,1,Class A,389,
41004,,Surface,1,Image 1,1,Class A,390,
18259,,Surface,1,Image 1,1,Class A,393,
30380,,Surface,1,Image 1,1,Class A,394,
21419,,Surface,1,Image 1,1,Class A,397,
19932,,Surface,1,Image 1,1,Class A,399,
18026,,Surface,1,Image 1,1,Class A,400,
16593,,Surface,1,Image 1,1,Class A,402,
11450,,Surface,1,Image 1,1,Class A,403,
25125,,Surface,1,Image 1,1,Class A,405,
14351,,Surface,1,Image 1,1,Class A,406,
26234,,Surface,1,Image 1,1,Class A,407,
28692,,Surface,1,Image 1,1,Class A,408,
29375,,Surface,1,Image 1,1,Class A,409,
32205,,Surface,1,Image 1,1,Class A,411,
16786,,Surface,1,Image 1,1,Class A,412,
26188,,Surface,1,Image 1,1,Class A,414,
23515,,Surface,1,Image 1,1,Class A,415,
16632,,Surface,1,Image 1,1,Class A,416,
35126,,Surface,1,Image 1,1,Class A,417,
14918,,Surface,1,Image 1,1,Class A,418,
19230,,Surface,1,Image 1,1,Class A,419,
16282,,Surface,1,Image 1,1,Class A,420,
18262,,Surface,1,Image 1,1,Class A,421,
13897,,Surface,1,Image 1,1,Class A,422,
37665,,Surface,1,Image 1,1,Class A,423,
22738,,Surface,1,Image 1,1,Class A,432,
