
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
15120.7,,Surface,1,Image 1,1,Class A,357,
18105.7,,Surface,1,Image 1,1,Class A,358,
11616.7,,Surface,1,Image 1,1,Class A,361,
12787.1,,Surface,1,Image 1,1,Class A,362,
13020,,Surface,1,Image 1,1,Class A,363,
13877,,Surface,1,Image 1,1,Class A,364,
20528.9,,Surface,1,Image 1,1,Class A,365,
13303.3,,Surface,1,Image 1,1,Class A,367,
16949.7,,Surface,1,Image 1,1,Class A,368,
15455.7,,Surface,1,Image 1,1,Class A,369,
15725.6,,Surface,1,Image 1,1,Class A,370,
10799.9,,Surface,1,Image 1,1,Class A,371,
22318.3,,Surface,1,Image 1,1,Class A,372,
11616.3,,Surface,1,Image 1,1,Class A,375,
9500.22,,Surface,1,Image 1,1,Class A,376,
14017.8,,Surface,1,Image 1,1,Class A,377,
11342.1,,Surface,1,Image 1,1,Class A,378,
12205.2,,Surface,1,Image 1,1,Class A,379,
12008.3,,Surface,1,Image 1,1,Class A,380,
10683.5,,Surface,1,Image 1,1,Class A,382,
16402.8,,Surface,1,Image 1,1,Class A,384,
15291.1,,Surface,1,Image 1,1,Class A,385,
13937.8,,Surface,1,Image 1,1,Class A,387,
12340.6,,Surface,1,Image 1,1,Class A,388,
14021.8,,Surface,1,Image 1,1,Class A,389,
18274.1,,Surface,1,Image 1,1,Class A,390,
12539.5,,Surface,1,Image 1,1,Class A,393,
17313.9,,Surface,1,Image 1,1,Class A,394,
14315.7,,Surface,1,Image 1,1,Class A,397,
13044.1,,Surface,1,Image 1,1,Class A,399,
13559.4,,Surface,1,Image 1,1,Class A,400,
13194.2,,Surface,1,Image 1,1,Class A,402,
10741.9,,Surface,1,Image 1,1,Class A,403,
16159,,Surface,1,Image 1,1,Class A,405,
10883.4,,Surface,1,Image 1,1,Class A,406,
16111.1,,Surface,1,Image 1,1,Class A,407,
15185.7,,Surface,1,Image 1,1,Class A,408,
14154.8,,Surface,1,Image 1,1,Class A,409,
20113,,Surface,1,Image 1,1,Class A,411,
13282.5,,Surface,1,Image 1,1,Class A,412,
13993,,Surface,1,Image 1,1,Class A,414,
13650.6,,Surface,1,Image 1,1,Class A,415,
12659.4,,Surface,1,Image 1,1,Class A,416,
16939.8,,Surface,1,Image 1,1,Class A,417,
10765.9,,Surface,1,Image 1,1,Class A,418,
14303.5,,Surface,1,Image 1,1,Class A,419,
12563.9,,Surface,1,Image 1,1,Class A,420,
12635.6,,Surface,1,Image 1,1,Class A,421,
10770.4,,Surface,1,Image 1,1,Class A,422,
16141.6,,Surface,1,Image 1,1,Class A,423,
13159.7,,Surface,1,Image 1,1,Class A,432,
