
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
16379,,Surface,1,Image 1,1,Class A,246,
14579,,Surface,1,Image 1,1,Class A,247,
28942,,Surface,1,Image 1,1,Class A,248,
16399,,Surface,1,Image 1,1,Class A,249,
11359,,Surface,1,Image 1,1,Class A,250,
28789,,Surface,1,Image 1,1,Class A,251,
12009,,Surface,1,Image 1,1,Class A,252,
14633,,Surface,1,Image 1,1,Class A,253,
34320,,Surface,1,Image 1,1,Class A,254,
19539,,Surface,1,Image 1,1,Class A,259,
13559,,Surface,1,Image 1,1,Class A,260,
15386,,Surface,1,Image 1,1,Class A,261,
24378,,Surface,1,Image 1,1,Class A,262,
23217,,Surface,1,Image 1,1,Class A,263,
14127,,Surface,1,Image 1,1,Class A,264,
23541,,Surface,1,Image 1,1,Class A,266,
12084,,Surface,1,Image 1,1,Class A,267,
35221,,Surface,1,Image 1,1,Class A,268,
47944,,Surface,1,Image 1,1,Class A,269,
15909,,Surface,1,Image 1,1,Class A,270,
11057,,Surface,1,Image 1,1,Class A,271,
29006,,Surface,1,Image 1,1,Class A,272,
32824,,Surface,1,Image 1,1,Class A,273,
8763,,Surface,1,Image 1,1,Class A,274,
14844,,Surface,1,Image 1,1,Class A,279,
15143,,Surface,1,Image 1,1,Class A,280,
24068,,Surface,1,Image 1,1,Class A,281,
13884,,Surface,1,Image 1,1,Class A,283,
13580,,Surface,1,Image 1,1,Class A,284,
44267,,Surface,1,Image 1,1,Class A,285,
30808,,Surface,1,Image 1,1,Class A,286,
9028,,Surface,1,Image 1,1,Class A,287,
12094,,Surface,1,Image 1,1,Class A,288,
18204,,Surface,1,Image 1,1,Class A,289,
35022,,Surface,1,Image 1,1,Class A,290,
13818,,Surface,1,Image 1,1,Class A,292,
29158,,Surface,1,Image 1,1,Class A,293,
26798,,Surface,1,Image 1,1,Class A,298,
12456,,Surface,1,Image 1,1,Class A,299,
10590,,Surface,1,Image 1,1,Class A,300,
10608,,Surface,1,Image 1,1,Class A,301,
13619,,Surface,1,Image 1,1,Class A,302,
14876,,Surface,1,Image 1,1,Class A,305,
17840,,Surface,1,Image 1,1,Class A,312,
21584,,Surface,1,Image 1,1,Class A,313,
42085,,Surface,1,Image 1,1,Class A,315,
21960,,Surface,1,Image 1,1,Class A,317,
13375,,Surface,1,Image 1,1,Class A,318,
10236,,Surface,1,Image 1,1,Class A,322,
15939,,Surface,1,Image 1,1,Class A,323,
21355,,Surface,1,Image 1,1,Class A,324,
20029,,Surface,1,Image 1,1,Class A,331,
16874,,Surface,1,Image 1,1,Class A,332,
17763,,Surface,1,Image 1,1,Class A,337,
15063,,Surface,1,Image 1,1,Class A,338,
26222,,Surface,1,Image 1,1,Class A,340,
16660,,Surface,1,Image 1,1,Class A,342,
22155,,Surface,1,Image 1,1,Class A,348,
8308,,Surface,1,Image 1,1,Class A,350,
18319,,Surface,1,Image 1,1,Class A,351,
26162,,Surface,1,Image 1,1,Class A,358,
42105,,Surface,1,Image 1,1,Class A,361,
48506,,Surface,1,Image 1,1,Class A,364,
19035,,Surface,1,Image 1,1,Class A,369,
21493,,Surface,1,Image 1,1,Class A,372,
12838,,Surface,1,Image 1,1,Class A,373,
12504,,Surface,1,Image 1,1,Class A,374,
35351,,Surface,1,Image 1,1,Class A,377,
23460,,Surface,1,Image 1,1,Class A,378,
11579,,Surface,1,Image 1,1,Class A,379,
16924,,Surface,1,Image 1,1,Class A,381,
20518,,Surface,1,Image 1,1,Class A,382,
32600,,Surface,1,Image 1,1,Class A,383,
42842,,Surface,1,Image 1,1,Class A,384,
9237,,Surface,1,Image 1,1,Class A,389,
16109,,Surface,1,Image 1,1,Class A,390,
14389,,Surface,1,Image 1,1,Class A,391,
14366,,Surface,1,Image 1,1,Class A,392,
24296,,Surface,1,Image 1,1,Class A,393,
15152,,Surface,1,Image 1,1,Class A,394,
16522,,Surface,1,Image 1,1,Class A,396,
23441,,Surface,1,Image 1,1,Class A,398,
27167,,Surface,1,Image 1,1,Class A,399,
45145,,Surface,1,Image 1,1,Class A,400,
28874,,Surface,1,Image 1,1,Class A,401,
14907,,Surface,1,Image 1,1,Class A,404,
23400,,Surface,1,Image 1,1,Class A,406,
40941,,Surface,1,Image 1,1,Class A,408,
13577,,Surface,1,Image 1,1,Class A,410,
17809,,Surface,1,Image 1,1,Class A,411,
22793,,Surface,1,Image 1,1,Class A,412,
35845,,Surface,1,Image 1,1,Class A,415,
14772,,Surface,1,Image 1,1,Class A,416,
21933,,Surface,1,Image 1,1,Class A,417,
24382,,Surface,1,Image 1,1,Class A,418,
55774,,Surface,1,Image 1,1,Class A,419,
14904,,Surface,1,Image 1,1,Class A,420,
45659,,Surface,1,Image 1,1,Class A,421,
19516,,Surface,1,Image 1,1,Class A,422,
23576,,Surface,1,Image 1,1,Class A,423,
18393,,Surface,1,Image 1,1,Class A,424,
18077,,Surface,1,Image 1,1,Class A,425,
17339,,Surface,1,Image 1,1,Class A,426,
28327,,Surface,1,Image 1,1,Class A,427,
29497,,Surface,1,Image 1,1,Class A,428,
19728,,Surface,1,Image 1,1,Class A,429,
37682,,Surface,1,Image 1,1,Class A,430,
13089,,Surface,1,Image 1,1,Class A,431,
51091,,Surface,1,Image 1,1,Class A,432,
16851,,Surface,1,Image 1,1,Class A,433,
17121,,Surface,1,Image 1,1,Class A,434,
45210,,Surface,1,Image 1,1,Class A,435,
26655,,Surface,1,Image 1,1,Class A,436,
14788,,Surface,1,Image 1,1,Class A,437,
35300,,Surface,1,Image 1,1,Class A,438,
14478,,Surface,1,Image 1,1,Class A,439,
31810,,Surface,1,Image 1,1,Class A,440,
13698,,Surface,1,Image 1,1,Class A,441,
29503,,Surface,1,Image 1,1,Class A,442,
39663,,Surface,1,Image 1,1,Class A,443,
14968,,Surface,1,Image 1,1,Class A,448,
41574,,Surface,1,Image 1,1,Class A,449,
20208,,Surface,1,Image 1,1,Class A,451,
14657,,Surface,1,Image 1,1,Class A,452,
17707,,Surface,1,Image 1,1,Class A,453,
