
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
5835,,Surface,1,Image 1,1,Class A,369,
8268,,Surface,1,Image 1,1,Class A,370,
7046,,Surface,1,Image 1,1,Class A,371,
1388,,Surface,1,Image 1,1,Class A,372,
6050,,Surface,1,Image 1,1,Class A,375,
7009,,Surface,1,Image 1,1,Class A,376,
5610,,Surface,1,Image 1,1,Class A,377,
8005,,Surface,1,Image 1,1,Class A,378,
7319,,Surface,1,Image 1,1,Class A,379,
4830,,Surface,1,Image 1,1,Class A,380,
7463,,Surface,1,Image 1,1,Class A,382,
10614,,Surface,1,Image 1,1,Class A,384,
13229,,Surface,1,Image 1,1,Class A,385,
7135,,Surface,1,Image 1,1,Class A,387,
4525,,Surface,1,Image 1,1,Class A,388,
8542,,Surface,1,Image 1,1,Class A,389,
2878,,Surface,1,Image 1,1,Class A,390,
7684,,Surface,1,Image 1,1,Class A,393,
5530,,Surface,1,Image 1,1,Class A,394,
6367,,Surface,1,Image 1,1,Class A,397,
6211,,Surface,1,Image 1,1,Class A,399,
7660,,Surface,1,Image 1,1,Class A,400,
9008,,Surface,1,Image 1,1,Class A,402,
9843,,Surface,1,Image 1,1,Class A,403,
7837,,Surface,1,Image 1,1,Class A,405,
5709,,Surface,1,Image 1,1,Class A,406,
6822,,Surface,1,Image 1,1,Class A,407,
6561,,Surface,1,Image 1,1,Class A,408,
3894,,Surface,1,Image 1,1,Class A,409,
9345,,Surface,1,Image 1,1,Class A,411,
8706,,Surface,1,Image 1,1,Class A,412,
5027,,Surface,1,Image 1,1,Class A,414,
3151,,Surface,1,Image 1,1,Class A,415,
6770,,Surface,1,Image 1,1,Class A,416,
1808,,Surface,1,Image 1,1,Class A,417,
6753,,Surface,1,Image 1,1,Class A,418,
9033,,Surface,1,Image 1,1,Class A,419,
9542,,Surface,1,Image 1,1,Class A,420,
8515,,Surface,1,Image 1,1,Class A,421,
7732,,Surface,1,Image 1,1,Class A,422,
3321,,Surface,1,Image 1,1,Class A,423,
3953,,Surface,1,Image 1,1,Class A,432,
