
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
8695,,Surface,1,Image 1,1,Class A,246,
6445,,Surface,1,Image 1,1,Class A,247,
3621,,Surface,1,Image 1,1,Class A,248,
7760,,Surface,1,Image 1,1,Class A,249,
7323,,Surface,1,Image 1,1,Class A,250,
0,,Surface,1,Image 1,1,Class A,251,
7286,,Surface,1,Image 1,1,Class A,252,
6962,,Surface,1,Image 1,1,Class A,253,
485,,Surface,1,Image 1,1,Class A,254,
0,,Surface,1,Image 1,1,Class A,259,
6724,,Surface,1,Image 1,1,Class A,260,
6199,,Surface,1,Image 1,1,Class A,261,
4443,,Surface,1,Image 1,1,Class A,262,
2641,,Surface,1,Image 1,1,Class A,263,
8172,,Surface,1,Image 1,1,Class A,264,
3090,,Surface,1,Image 1,1,Class A,266,
7156,,Surface,1,Image 1,1,Class A,267,
2789,,Surface,1,Image 1,1,Class A,268,
0,,Surface,1,Image 1,1,Class A,269,
9762,,Surface,1,Image 1,1,Class A,270,
9265,,Surface,1,Image 1,1,Class A,271,
3531,,Surface,1,Image 1,1,Class A,272,
3109,,Surface,1,Image 1,1,Class A,273,
6025,,Surface,1,Image 1,1,Class A,274,
3042,,Surface,1,Image 1,1,Class A,279,
4854,,Surface,1,Image 1,1,Class A,280,
4189,,Surface,1,Image 1,1,Class A,281,
4290,,Surface,1,Image 1,1,Class A,283,
3564,,Surface,1,Image 1,1,Class A,284,
0,,Surface,1,Image 1,1,Class A,285,
633,,Surface,1,Image 1,1,Class A,286,
7730,,Surface,1,Image 1,1,Class A,287,
2683,,Surface,1,Image 1,1,Class A,288,
4428,,Surface,1,Image 1,1,Class A,289,
2637,,Surface,1,Image 1,1,Class A,290,
4572,,Surface,1,Image 1,1,Class A,292,
2658,,Surface,1,Image 1,1,Class A,293,
3308,,Surface,1,Image 1,1,Class A,298,
5908,,Surface,1,Image 1,1,Class A,299,
