
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
6954,,Surface,1,Image 1,1,Class A,157,
8631,,Surface,1,Image 1,1,Class A,158,
5650,,Surface,1,Image 1,1,Class A,159,
2822,,Surface,1,Image 1,1,Class A,160,
7636,,Surface,1,Image 1,1,Class A,161,
2671,,Surface,1,Image 1,1,Class A,162,
4416,,Surface,1,Image 1,1,Class A,163,
7779,,Surface,1,Image 1,1,Class A,164,
2079,,Surface,1,Image 1,1,Class A,165,
5549,,Surface,1,Image 1,1,Class A,166,
8449,,Surface,1,Image 1,1,Class A,167,
2894,,Surface,1,Image 1,1,Class A,168,
2510,,Surface,1,Image 1,1,Class A,169,
8480,,Surface,1,Image 1,1,Class A,170,
1803,,Surface,1,Image 1,1,Class A,171,
4762,,Surface,1,Image 1,1,Class A,172,
1095,,Surface,1,Image 1,1,Class A,173,
5067,,Surface,1,Image 1,1,Class A,174,
7921,,Surface,1,Image 1,1,Class A,175,
5356,,Surface,1,Image 1,1,Class A,176,
3670,,Surface,1,Image 1,1,Class A,177,
7557,,Surface,1,Image 1,1,Class A,178,
0,,Surface,1,Image 1,1,Class A,179,
4890,,Surface,1,Image 1,1,Class A,180,
7033,,Surface,1,Image 1,1,Class A,181,
13289,,Surface,1,Image 1,1,Class A,182,
7646,,Surface,1,Image 1,1,Class A,183,
3613,,Surface,1,Image 1,1,Class A,184,
2879,,Surface,1,Image 1,1,Class A,185,
7271,,Surface,1,Image 1,1,Class A,186,
9882,,Surface,1,Image 1,1,Class A,187,
5557,,Surface,1,Image 1,1,Class A,188,
4136,,Surface,1,Image 1,1,Class A,189,
13035,,Surface,1,Image 1,1,Class A,190,
1726,,Surface,1,Image 1,1,Class A,191,
3773,,Surface,1,Image 1,1,Class A,192,
7108,,Surface,1,Image 1,1,Class A,193,
5917,,Surface,1,Image 1,1,Class A,194,
4615,,Surface,1,Image 1,1,Class A,195,
9966,,Surface,1,Image 1,1,Class A,196,
3916,,Surface,1,Image 1,1,Class A,197,
1618,,Surface,1,Image 1,1,Class A,198,
0,,Surface,1,Image 1,1,Class A,199,
3251,,Surface,1,Image 1,1,Class A,200,
7866,,Surface,1,Image 1,1,Class A,201,
10974,,Surface,1,Image 1,1,Class A,202,
9540,,Surface,1,Image 1,1,Class A,203,
459,,Surface,1,Image 1,1,Class A,204,
3893,,Surface,1,Image 1,1,Class A,205,
0,,Surface,1,Image 1,1,Class A,206,
6241,,Surface,1,Image 1,1,Class A,207,
991,,Surface,1,Image 1,1,Class A,208,
10932,,Surface,1,Image 1,1,Class A,209,
3402,,Surface,1,Image 1,1,Class A,210,
2647,,Surface,1,Image 1,1,Class A,211,
8813,,Surface,1,Image 1,1,Class A,212,
7309,,Surface,1,Image 1,1,Class A,213,
7377,,Surface,1,Image 1,1,Class A,214,
6294,,Surface,1,Image 1,1,Class A,215,
9043,,Surface,1,Image 1,1,Class A,216,
8826,,Surface,1,Image 1,1,Class A,217,
10190,,Surface,1,Image 1,1,Class A,218,
5186,,Surface,1,Image 1,1,Class A,219,
5763,,Surface,1,Image 1,1,Class A,220,
5438,,Surface,1,Image 1,1,Class A,221,
6939,,Surface,1,Image 1,1,Class A,222,
6406,,Surface,1,Image 1,1,Class A,223,
2707,,Surface,1,Image 1,1,Class A,224,
7719,,Surface,1,Image 1,1,Class A,225,
7760,,Surface,1,Image 1,1,Class A,226,
1541,,Surface,1,Image 1,1,Class A,227,
8971,,Surface,1,Image 1,1,Class A,228,
5502,,Surface,1,Image 1,1,Class A,229,
11478,,Surface,1,Image 1,1,Class A,230,
4229,,Surface,1,Image 1,1,Class A,231,
5571,,Surface,1,Image 1,1,Class A,232,
10645,,Surface,1,Image 1,1,Class A,233,
6281,,Surface,1,Image 1,1,Class A,234,
11247,,Surface,1,Image 1,1,Class A,235,
0,,Surface,1,Image 1,1,Class A,236,
9231,,Surface,1,Image 1,1,Class A,237,
4587,,Surface,1,Image 1,1,Class A,238,
9346,,Surface,1,Image 1,1,Class A,239,
3728,,Surface,1,Image 1,1,Class A,240,
4943,,Surface,1,Image 1,1,Class A,241,
5718,,Surface,1,Image 1,1,Class A,242,
8918,,Surface,1,Image 1,1,Class A,243,
5186,,Surface,1,Image 1,1,Class A,244,
9177,,Surface,1,Image 1,1,Class A,245,
9630,,Surface,1,Image 1,1,Class A,246,
7675,,Surface,1,Image 1,1,Class A,247,
9134,,Surface,1,Image 1,1,Class A,248,
8006,,Surface,1,Image 1,1,Class A,249,
6376,,Surface,1,Image 1,1,Class A,250,
7956,,Surface,1,Image 1,1,Class A,251,
8189,,Surface,1,Image 1,1,Class A,252,
1184,,Surface,1,Image 1,1,Class A,253,
4777,,Surface,1,Image 1,1,Class A,254,
5512,,Surface,1,Image 1,1,Class A,255,
7896,,Surface,1,Image 1,1,Class A,256,
8383,,Surface,1,Image 1,1,Class A,257,
8174,,Surface,1,Image 1,1,Class A,258,
4733,,Surface,1,Image 1,1,Class A,259,
3695,,Surface,1,Image 1,1,Class A,260,
7909,,Surface,1,Image 1,1,Class A,261,
8959,,Surface,1,Image 1,1,Class A,262,
7448,,Surface,1,Image 1,1,Class A,263,
3173,,Surface,1,Image 1,1,Class A,264,
4749,,Surface,1,Image 1,1,Class A,265,
5014,,Surface,1,Image 1,1,Class A,266,
3659,,Surface,1,Image 1,1,Class A,267,
6940,,Surface,1,Image 1,1,Class A,268,
1950,,Surface,1,Image 1,1,Class A,269,
2590,,Surface,1,Image 1,1,Class A,270,
8862,,Surface,1,Image 1,1,Class A,271,
4389,,Surface,1,Image 1,1,Class A,272,
