
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,Set 1,ID,
0.492424,,Surface,1,Class A,1237,
0.428778,,Surface,1,Class A,1238,
0.774561,,Surface,1,Class A,1239,
0.888477,,Surface,1,Class A,1240,
0.457496,,Surface,1,Class A,1241,
0.312941,,Surface,1,Class A,1242,
0.837177,,Surface,1,Class A,1243,
0.766856,,Surface,1,Class A,1244,
0.724208,,Surface,1,Class A,1245,
0.855484,,Surface,1,Class A,1246,
0.942625,,Surface,1,Class A,1247,
0.717219,,Surface,1,Class A,1248,
0.541833,,Surface,1,Class A,1249,
0.861902,,Surface,1,Class A,1250,
0.791388,,Surface,1,Class A,1251,
0.960556,,Surface,1,Class A,1252,
0.939768,,Surface,1,Class A,1253,
0.873432,,Surface,1,Class A,1254,
0.927668,,Surface,1,Class A,1255,
0.673122,,Surface,1,Class A,1256,
0.672579,,Surface,1,Class A,1257,
0.766324,,Surface,1,Class A,1258,
0.896623,,Surface,1,Class A,1259,
0.282589,,Surface,1,Class B,1260,
0.463869,,Surface,1,Class A,1261,
0.833819,,Surface,1,Class A,1262,
0.893813,,Surface,1,Class A,1263,
0.964088,,Surface,1,Class A,1264,
0.966887,,Surface,1,Class A,1265,
0.866725,,Surface,1,Class A,1266,
0.852675,,Surface,1,Class A,1267,
0.897919,,Surface,1,Class A,1268,
0.621274,,Surface,1,Class A,1269,
0.915554,,Surface,1,Class A,1270,
0.588899,,Surface,1,Class A,1271,
0.923693,,Surface,1,Class A,1272,
0.797658,,Surface,1,Class A,1273,
0.919036,,Surface,1,Class A,1274,
0.911293,,Surface,1,Class A,1275,
0.67877,,Surface,1,Class A,1276,
0.948881,,Surface,1,Class A,1277,
0.685608,,Surface,1,Class A,1278,
0.937507,,Surface,1,Class A,1279,
0.740426,,Surface,1,Class A,1280,
0.876727,,Surface,1,Class A,1281,
0.706361,,Surface,1,Class A,1282,
0.900027,,Surface,1,Class A,1283,
0.909633,,Surface,1,Class A,1284,
0.947815,,Surface,1,Class A,1285,
0.926079,,Surface,1,Class A,1286,
0.889262,,Surface,1,Class A,1287,
0.777517,,Surface,1,Class A,1288,
0.922716,,Surface,1,Class A,1289,
0.918788,,Surface,1,Class A,1290,
0.87456,,Surface,1,Class A,1291,
0.938361,,Surface,1,Class A,1292,
0.947351,,Surface,1,Class A,1293,
0.632812,,Surface,1,Class A,1294,
0.925008,,Surface,1,Class A,1295,
0.764481,,Surface,1,Class A,1296,
0.699164,,Surface,1,Class A,1297,
0.737973,,Surface,1,Class A,1298,
0.66088,,Surface,1,Class A,1299,
0.977528,,Surface,1,Class A,1300,
0.83981,,Surface,1,Class A,1301,
0.399776,,Surface,1,Class A,1302,
