
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,Set 1,ID,
0.773238,,Surface,1,Class A,246,
0.930099,,Surface,1,Class A,247,
0.913906,,Surface,1,Class A,248,
0.650045,,Surface,1,Class A,249,
0.879344,,Surface,1,Class A,250,
0.585115,,Surface,1,Class A,251,
0.875859,,Surface,1,Class A,252,
0.821143,,Surface,1,Class A,253,
0.94702,,Surface,1,Class A,254,
0.913336,,Surface,1,Class A,259,
0.852167,,Surface,1,Class A,260,
0.882888,,Surface,1,Class A,261,
0.665807,,Surface,1,Class A,262,
0.835696,,Surface,1,Class A,263,
0.874414,,Surface,1,Class A,264,
0.946879,,Surface,1,Class A,266,
0.860577,,Surface,1,Class A,267,
0.75104,,Surface,1,Class A,268,
0.735059,,Surface,1,Class A,269,
0.888763,,Surface,1,Class A,270,
0.658735,,Surface,1,Class A,271,
0.742271,,Surface,1,Class A,272,
0.979464,,Surface,1,Class A,273,
0.545483,,Surface,1,Class A,274,
0.727729,,Surface,1,Class A,279,
0.952546,,Surface,1,Class A,280,
0.956158,,Surface,1,Class A,281,
0.720542,,Surface,1,Class A,283,
0.842708,,Surface,1,Class A,284,
0.530873,,Surface,1,Class A,285,
0.613236,,Surface,1,Class A,286,
0.540345,,Surface,1,Class A,287,
0.846126,,Surface,1,Class A,288,
0.71844,,Surface,1,Class A,289,
0.622668,,Surface,1,Class A,290,
0.821086,,Surface,1,Class A,292,
0.960817,,Surface,1,Class A,293,
0.739765,,Surface,1,Class A,298,
0.850811,,Surface,1,Class A,299,
0.878977,,Surface,1,Class A,300,
0.727097,,Surface,1,Class A,301,
0.91534,,Surface,1,Class A,302,
0.889299,,Surface,1,Class A,305,
0.969721,,Surface,1,Class A,312,
0.947003,,Surface,1,Class A,313,
0.620724,,Surface,1,Class A,315,
0.614061,,Surface,1,Class A,317,
0.765142,,Surface,1,Class A,318,
0.83477,,Surface,1,Class A,322,
0.89243,,Surface,1,Class A,323,
0.957204,,Surface,1,Class A,324,
0.925668,,Surface,1,Class A,331,
0.948234,,Surface,1,Class A,332,
0.96305,,Surface,1,Class A,337,
0.918117,,Surface,1,Class A,338,
0.480024,,Surface,1,Class A,340,
0.930354,,Surface,1,Class A,342,
0.678177,,Surface,1,Class A,348,
0.459822,,Surface,1,Class A,350,
0.906544,,Surface,1,Class A,351,
0.976261,,Surface,1,Class A,358,
0.967082,,Surface,1,Class A,361,
0.382623,,Surface,1,Class A,364,
0.836741,,Surface,1,Class A,369,
0.952692,,Surface,1,Class A,372,
0.808071,,Surface,1,Class A,373,
0.699794,,Surface,1,Class A,374,
0.963482,,Surface,1,Class A,377,
0.963161,,Surface,1,Class A,378,
0.883925,,Surface,1,Class A,379,
0.903135,,Surface,1,Class A,381,
0.828851,,Surface,1,Class A,382,
0.97613,,Surface,1,Class A,383,
0.829603,,Surface,1,Class A,384,
0.661171,,Surface,1,Class A,389,
0.952222,,Surface,1,Class A,390,
0.912107,,Surface,1,Class A,391,
0.820409,,Surface,1,Class A,392,
0.958357,,Surface,1,Class A,393,
0.933053,,Surface,1,Class A,394,
0.733704,,Surface,1,Class A,396,
0.964673,,Surface,1,Class A,398,
0.788179,,Surface,1,Class A,399,
0.378037,,Surface,1,Class A,400,
0.716641,,Surface,1,Class A,401,
0.947604,,Surface,1,Class A,404,
0.88878,,Surface,1,Class A,406,
0.937822,,Surface,1,Class A,408,
0.858942,,Surface,1,Class A,410,
0.870659,,Surface,1,Class A,411,
0.956068,,Surface,1,Class A,412,
0.96779,,Surface,1,Class A,415,
0.93358,,Surface,1,Class A,416,
0.951199,,Surface,1,Class A,417,
0.778617,,Surface,1,Class A,418,
0.934582,,Surface,1,Class A,419,
0.793081,,Surface,1,Class A,420,
0.765909,,Surface,1,Class A,421,
0.948194,,Surface,1,Class A,422,
0.677028,,Surface,1,Class A,423,
0.944694,,Surface,1,Class A,424,
0.738098,,Surface,1,Class A,425,
0.892473,,Surface,1,Class A,426,
0.962448,,Surface,1,Class A,427,
0.952633,,Surface,1,Class A,428,
0.764159,,Surface,1,Class A,429,
0.717207,,Surface,1,Class A,430,
0.843313,,Surface,1,Class A,431,
0.410763,,Surface,1,Class A,432,
0.946301,,Surface,1,Class A,433,
0.928004,,Surface,1,Class A,434,
0.795317,,Surface,1,Class A,435,
0.880697,,Surface,1,Class A,436,
0.938569,,Surface,1,Class A,437,
0.820986,,Surface,1,Class A,438,
0.830622,,Surface,1,Class A,439,
0.487674,,Surface,1,Class A,440,
0.84762,,Surface,1,Class A,441,
0.779502,,Surface,1,Class A,442,
0.626257,,Surface,1,Class A,443,
0.848007,,Surface,1,Class A,448,
0.689006,,Surface,1,Class A,449,
0.925748,,Surface,1,Class A,451,
0.913571,,Surface,1,Class A,452,
0.886801,,Surface,1,Class A,453,
0.195215,,Surface,1,Class B,460,
