
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
13562,,Surface,1,Image 1,1,Class A,157,
14348,,Surface,1,Image 1,1,Class A,158,
18573,,Surface,1,Image 1,1,Class A,159,
23463,,Surface,1,Image 1,1,Class A,160,
10138,,Surface,1,Image 1,1,Class A,161,
34481,,Surface,1,Image 1,1,Class A,162,
13754,,Surface,1,Image 1,1,Class A,163,
19477,,Surface,1,Image 1,1,Class A,164,
37376,,Surface,1,Image 1,1,Class A,165,
18839,,Surface,1,Image 1,1,Class A,166,
13321,,Surface,1,Image 1,1,Class A,167,
24952,,Surface,1,Image 1,1,Class A,168,
26103,,Surface,1,Image 1,1,Class A,169,
12534,,Surface,1,Image 1,1,Class A,170,
21767,,Surface,1,Image 1,1,Class A,171,
13167,,Surface,1,Image 1,1,Class A,172,
33548,,Surface,1,Image 1,1,Class A,173,
17875,,Surface,1,Image 1,1,Class A,174,
14366,,Surface,1,Image 1,1,Class A,175,
20728,,Surface,1,Image 1,1,Class A,176,
22455,,Surface,1,Image 1,1,Class A,177,
11702,,Surface,1,Image 1,1,Class A,178,
23277,,Surface,1,Image 1,1,Class A,179,
16582,,Surface,1,Image 1,1,Class A,180,
24437,,Surface,1,Image 1,1,Class A,181,
15119,,Surface,1,Image 1,1,Class A,182,
14386,,Surface,1,Image 1,1,Class A,183,
16072,,Surface,1,Image 1,1,Class A,184,
29051,,Surface,1,Image 1,1,Class A,185,
35985,,Surface,1,Image 1,1,Class A,186,
16021,,Surface,1,Image 1,1,Class A,187,
15519,,Surface,1,Image 1,1,Class A,188,
32640,,Surface,1,Image 1,1,Class A,189,
15446,,Surface,1,Image 1,1,Class A,190,
33129,,Surface,1,Image 1,1,Class A,191,
24080,,Surface,1,Image 1,1,Class A,192,
13338,,Surface,1,Image 1,1,Class A,193,
24442,,Surface,1,Image 1,1,Class A,194,
14784,,Surface,1,Image 1,1,Class A,195,
15359,,Surface,1,Image 1,1,Class A,196,
25709,,Surface,1,Image 1,1,Class A,197,
47761,,Surface,1,Image 1,1,Class A,198,
31138,,Surface,1,Image 1,1,Class A,199,
22653,,Surface,1,Image 1,1,Class A,200,
16523,,Surface,1,Image 1,1,Class A,201,
13816,,Surface,1,Image 1,1,Class A,202,
19924,,Surface,1,Image 1,1,Class A,203,
52962,,Surface,1,Image 1,1,Class A,204,
21359,,Surface,1,Image 1,1,Class A,205,
29219,,Surface,1,Image 1,1,Class A,206,
29070,,Surface,1,Image 1,1,Class A,207,
