Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,199.758,1382.989,198.440,0.002,-282.500,17.156,33.677,3.812,26.199,0,4.800,26.145,13.838,2.496,26.145,13.838,2.496,12.399,7.103,2.721,64.871,1.544,0.290,1.746,4.557,2.610,28.594,8.065,4.400,0.277
2,0.184,2.236,0.625,0.344,0.500,18.231,18.867,6.843,7.625,0,2.000,18.500,7.266,1.232,18.500,7.266,1.232,1.218,0.291,0.255,-55.425,73.129,74.151,4.183,4.782,1.143,18.476,7.332,1.200,0.130
3,11.559,80.266,12.118,0.029,-5.000,16.472,19.893,9.189,16.325,0,4.800,18.165,12.973,2.350,18.165,12.973,2.350,4.330,2.746,1.054,75.184,-12.101,85.425,1.577,4.108,2.605,17.938,12.268,4.400,0.196
4,78.786,511.812,65.156,0.005,-79.000,2.835,17.792,9.531,28.740,0,4.800,10.705,17.784,2.248,10.705,17.784,2.248,12.513,3.600,2.671,-48.989,-2.221,-163.275,3.476,4.684,1.348,7.723,18.574,0.000,0.310
5,0.233,2.452,0.652,0.417,0.500,14.028,14.859,16.179,16.814,0,1.600,14.406,16.476,0.951,14.406,16.476,0.951,1.108,0.382,0.272,-40.229,72.847,-115.044,2.896,4.075,1.407,14.370,16.423,0.800,0.130
6,2.316,15.706,1.722,0.157,3.000,14.810,16.130,16.667,18.769,0,3.600,15.453,17.804,1.484,15.453,17.804,1.484,2.010,0.996,0.525,13.501,-81.503,5.543,2.019,3.827,1.896,15.690,17.449,0.000,0.196
7,0.727,6.622,1.252,0.206,2.000,16.179,17.449,16.912,18.183,0,2.400,16.777,17.385,1.551,16.777,17.385,1.551,1.323,1.002,0.330,56.173,-86.885,-8.519,1.321,4.015,3.039,17.010,17.010,0.800,0.130
8,1.573,10.724,1.763,0.227,1.000,36.756,38.662,16.521,18.671,0,2.400,37.643,17.653,1.182,37.643,17.653,1.182,1.721,1.151,0.385,45.402,43.205,-93.299,1.496,4.476,2.992,37.343,17.352,0.000,0.147
9,0.278,3.205,1.022,0.266,1.000,17.694,18.720,17.303,18.769,0,0.800,18.207,17.956,0.408,18.207,17.956,0.408,1.003,0.594,0.223,-60.725,8.790,86.070,1.689,4.501,2.665,18.183,17.889,0.000,0.130
10,2.121,13.703,1.680,0.198,2.000,11.780,13.784,17.743,19.649,0,2.400,12.905,18.791,0.981,12.905,18.791,0.981,1.612,1.080,0.614,-42.234,-44.121,68.863,1.493,2.625,1.759,12.806,19.307,0.000,0.212
11,1.125,8.327,1.819,0.248,1.000,34.655,35.828,18.818,20.578,0,2.800,35.213,19.614,1.549,35.213,19.614,1.549,1.751,0.799,0.453,64.884,83.906,-73.137,2.193,3.862,1.761,35.290,19.698,0.000,0.147
12,23.181,164.419,27.782,0.014,-31.500,10.216,19.893,15.788,24.488,0,4.800,16.043,20.738,2.312,16.043,20.738,2.312,5.892,2.896,2.392,-13.566,-13.233,165.688,2.034,2.463,1.211,12.659,21.457,1.200,0.228
13,8.074,59.805,9.260,0.034,-6.000,20.969,24.243,18.476,23.266,0,4.800,22.694,20.834,2.197,22.694,20.834,2.197,3.122,1.775,1.616,-72.892,-49.697,-48.785,1.759,1.932,1.099,23.706,21.066,0.000,0.196
