Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,32.855,215.861,28.756,0.012,-28.500,4.350,17.058,0.733,9.091,0.000,4.800,9.593,4.637,2.318,9.593,4.637,2.318,7.186,3.882,2.824,-16.254,1.619,168.803,1.851,2.545,1.375,6.696,5.034,1.600,0.228
2,0.348,3.570,0.696,0.301,1.000,5.816,6.990,3.617,4.204,0.000,2.000,6.313,3.944,1.096,6.313,3.944,1.096,1.136,0.582,0.238,-15.529,78.462,-88.187,1.954,4.781,2.447,6.305,3.910,0.800,0.130
3,0.238,2.222,0.829,0.584,0.000,9.287,10.313,5.572,6.256,0.000,1.200,9.779,5.933,0.425,9.779,5.933,0.425,0.821,0.408,0.327,-11.970,-57.609,120.268,2.010,2.509,1.248,9.629,5.768,0.000,0.130
4,1.156,8.993,2.034,0.208,-1.000,8.847,11.682,7.087,9.287,0.000,1.200,10.462,8.109,0.460,10.462,8.109,0.460,1.969,0.761,0.519,37.681,-3.254,-59.880,2.589,3.792,1.465,8.945,7.185,0.000,0.130
5,0.209,2.006,0.548,0.614,-0.500,15.397,15.934,7.332,7.918,0.000,1.200,15.681,7.628,0.553,15.681,7.628,0.553,0.852,0.323,0.295,15.232,-87.961,111.205,2.635,2.887,1.096,15.592,7.576,0.000,0.179
6,2.560,20.351,4.076,0.088,-1.000,12.073,15.348,7.576,10.069,0.000,2.400,13.519,8.958,0.781,13.519,8.958,0.781,1.878,1.401,0.976,-53.626,14.513,-149.272,1.341,1.925,1.436,13.344,9.776,0.000,0.228
7,65.864,434.882,56.886,0.006,-62.000,2.933,21.360,8.260,22.191,0.000,4.800,11.416,16.486,2.112,11.416,16.486,2.112,12.511,6.128,2.699,18.667,-0.481,-0.156,2.041,4.635,2.270,6.452,17.010,0.000,0.261
8,4.109,32.789,6.385,0.054,-4.500,11.877,16.765,10.655,14.517,0.000,2.800,14.320,13.017,0.895,14.320,13.017,0.895,2.686,1.493,1.428,-25.841,2.657,-162.957,1.799,1.880,1.045,16.276,10.851,0.000,0.179
9,0.180,1.853,0.665,0.574,1.500,8.309,9.385,11.780,12.464,0.000,0.800,8.851,12.145,0.296,8.851,12.145,0.296,0.656,0.557,0.243,-25.687,-6.977,88.312,1.177,2.704,2.298,8.847,12.073,0.000,0.130
10,1.063,6.784,1.143,0.409,0.000,11.193,12.562,14.175,15.348,0.000,2.400,11.837,14.791,0.958,11.837,14.791,0.958,1.361,0.655,0.441,7.314,-67.226,136.573,2.077,3.087,1.486,11.731,14.859,0.000,0.212
11,0.176,1.809,0.818,0.591,1.000,8.945,9.971,15.054,15.739,0.000,0.800,9.423,15.400,0.250,9.423,15.400,0.250,0.671,0.457,0.326,-20.778,-27.705,72.997,1.469,2.060,1.402,9.629,15.103,0.000,0.081
12,0.531,4.115,0.877,0.458,1.000,19.551,20.578,16.863,17.694,0.000,2.000,20.117,17.275,1.356,20.117,17.275,1.356,1.180,0.543,0.360,-5.430,77.589,-104.543,2.172,3.281,1.510,20.089,17.156,1.200,0.130
13,0.171,1.538,0.477,0.910,1.000,13.441,14.175,17.498,17.987,0.000,0.800,13.804,17.730,0.361,13.804,17.730,0.361,0.608,0.393,0.284,-2.385,-77.057,98.264,1.549,2.141,1.382,13.686,17.596,0.000,0.130
14,0.091,0.941,0.523,1.118,1.000,8.260,8.700,18.525,19.258,0.000,0.400,8.450,18.908,0.200,8.450,18.908,0.200,0.462,0.408,0.257,-100.111,-0.000,90.000,1.132,1.800,1.590,8.358,18.574,0.000,0.081
15,0.500,6.123,1.785,0.123,1.000,7.869,10.069,19.502,20.578,0.000,2.000,9.110,20.235,1.304,9.110,20.235,1.304,1.362,1.012,0.347,-18.837,-23.058,96.383,1.345,3.921,2.915,8.603,20.333,0.000,0.081
16,0.328,3.308,0.796,0.336,1.500,18.329,19.747,20.382,21.164,0.000,1.600,19.067,20.798,0.701,19.067,20.798,0.701,1.175,0.529,0.256,23.003,48.992,-92.651,2.221,4.588,2.065,19.258,20.822,0.000,0.130
17,0.084,1.059,0.531,0.674,1.000,11.975,12.659,21.555,21.995,0.000,0.800,12.319,21.771,0.368,12.319,21.771,0.368,0.687,0.318,0.252,-13.871,56.905,-92.327,2.160,2.725,1.261,12.513,21.604,0.000,0.081
18,0.199,2.274,0.518,0.380,1.000,21.604,22.533,21.653,21.995,0.400,2.000,22.103,21.821,1.060,22.103,21.821,1.060,0.866,0.533,0.206,-10.237,80.783,-99.866,1.624,4.209,2.592,21.897,21.800,0.800,0.130
19,1.114,10.531,1.699,0.120,1.000,11.095,13.539,16.570,17.938,1.200,4.800,12.118,17.300,3.196,12.118,17.300,3.196,1.872,1.379,0.257,52.539,70.065,-56.374,1.358,7.291,5.368,11.731,17.352,2.000,0.130
20,1.651,15.789,3.569,0.078,1.000,7.185,9.287,13.735,16.423,1.600,4.800,8.125,15.282,3.822,8.125,15.282,3.822,2.067,1.582,0.586,68.509,30.367,-61.764,1.306,3.526,2.699,8.798,16.179,3.200,0.147
21,0.080,0.934,0.365,0.896,1.000,13.148,13.588,4.399,4.839,2.000,2.800,13.372,4.614,2.290,13.372,4.614,2.290,0.554,0.292,0.253,21.534,-88.211,108.857,1.894,2.192,1.157,13.197,4.448,2.000,0.081
22,0.616,4.799,0.954,0.389,1.500,8.847,9.727,6.892,8.016,2.400,4.800,9.298,7.466,4.069,9.298,7.466,4.069,1.184,0.658,0.316,41.706,83.553,-102.903,1.800,3.748,2.082,9.385,7.576,4.400,0.228
23,1.156,7.866,1.098,0.311,4.000,9.629,10.949,8.456,9.629,2.400,4.800,10.239,9.066,3.905,10.239,9.066,3.905,1.301,0.661,0.480,-33.251,78.484,-109.372,1.968,2.708,1.376,10.020,9.091,4.400,0.244
24,0.336,3.405,0.780,0.324,1.500,6.745,7.283,13.735,14.615,2.400,4.800,7.003,14.166,3.832,7.003,14.166,3.832,1.277,0.424,0.309,55.432,85.411,-42.227,3.008,4.138,1.376,6.941,14.175,3.600,0.130
25,0.850,7.599,1.824,0.186,1.000,8.700,9.629,4.301,6.647,3.200,4.800,9.082,5.453,4.075,9.082,5.453,4.075,1.560,0.854,0.428,87.546,-19.241,-93.705,1.827,3.643,1.994,9.091,6.061,4.400,0.147
26,0.136,1.961,0.738,0.276,1.500,9.482,9.873,4.595,5.425,3.200,4.800,9.686,5.088,3.873,9.686,5.088,3.873,1.049,0.375,0.221,-72.235,-77.005,103.796,2.801,4.750,1.696,9.629,5.034,3.600,0.114
27,0.353,3.550,0.823,0.314,1.500,11.633,12.366,7.820,8.896,3.600,4.800,12.055,8.351,4.347,12.055,8.351,4.347,0.822,0.574,0.335,-80.141,67.299,-106.485,1.432,2.453,1.713,12.073,8.309,4.400,0.163
28,0.304,2.975,1.021,0.397,1.500,9.287,11.095,10.753,11.437,3.600,4.400,10.056,11.197,4.133,10.056,11.197,4.133,1.242,0.527,0.331,3.297,-1.848,95.593,2.356,3.758,1.595,9.531,11.095,3.600,0.081
29,0.240,3.186,1.347,0.201,0.500,14.370,15.250,11.584,12.708,3.600,4.800,14.814,12.155,4.495,14.814,12.155,4.495,0.808,0.608,0.512,74.977,26.471,114.177,1.329,1.579,1.188,14.663,11.682,4.400,0.114
30,0.096,1.267,0.585,0.508,1.000,17.107,17.938,10.802,11.535,4.000,4.800,17.507,11.102,4.552,17.507,11.102,4.552,0.602,0.502,0.224,-37.704,-5.081,-84.430,1.199,2.690,2.244,17.401,11.046,4.000,0.081
31,0.069,0.937,0.412,0.650,1.000,7.772,8.114,11.291,11.780,4.000,4.800,7.941,11.536,4.456,7.941,11.536,4.456,0.605,0.267,0.232,-72.750,77.013,77.645,2.266,2.611,1.152,7.918,11.437,4.400,0.114
32,0.078,1.079,0.440,0.554,1.000,8.847,9.189,12.708,13.295,4.000,4.800,9.011,13.033,4.415,9.011,13.033,4.415,0.606,0.326,0.212,-80.992,-85.363,-80.611,1.860,2.853,1.534,8.994,13.002,4.400,0.114
33,0.093,1.099,0.384,0.733,1.000,17.303,17.840,14.566,15.006,4.000,4.800,17.567,14.774,4.406,17.567,14.774,4.406,0.614,0.338,0.217,-62.731,-78.883,133.530,1.815,2.828,1.558,17.596,14.712,4.400,0.130
34,0.090,1.041,0.501,0.809,1.000,15.006,15.836,13.148,13.686,4.400,4.800,15.480,13.374,4.600,15.480,13.374,4.600,0.573,0.408,0.233,26.487,-5.972E-26,90.000,1.403,2.455,1.750,15.152,13.197,4.400,0.081
35,0.054,0.795,0.474,0.645,1.500,8.896,9.385,14.615,15.152,4.400,4.800,9.138,14.906,4.600,9.138,14.906,4.600,0.408,0.388,0.216,79.913,-90.000,146.618,1.052,1.889,1.795,9.140,14.810,4.400,0.081
255,0.797,28.381,19.567,0.003,80.000,6.256,22.582,3.470,21.653,0.000,4.800,12.286,12.479,2.540,12.286,12.479,2.540,12.008,7.660,3.600,62.152,6.593,-1.855,1.568,3.335,2.128,9.824,5.425,0.000,0.065
