Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
84,0.219,2.341,0.689,0.422,1.000,18.916,19.649,40.422,41.253,3.200,4.800,19.344,40.767,3.821,19.344,40.767,3.821,0.831,0.381,0.355,55.457,-73.566,63.526,2.183,2.338,1.071,19.258,40.618,3.200,0.081
85,0.061,0.891,0.508,0.598,1.000,35.583,36.072,11.242,11.731,3.600,4.000,35.799,11.470,3.800,35.799,11.470,3.800,0.408,0.341,0.303,-90.049,-90.000,-90.477,1.198,1.346,1.124,35.681,11.291,3.600,0.081
86,0.289,2.677,0.721,0.491,0.500,29.082,29.718,12.317,13.148,3.600,4.800,29.383,12.748,4.195,29.383,12.748,4.195,0.857,0.448,0.289,65.516,-78.155,90.302,1.911,2.962,1.550,29.376,12.708,4.400,0.179
87,0.126,1.638,0.789,0.410,1.000,13.246,13.784,31.722,32.406,3.600,4.800,13.507,32.082,4.227,13.507,32.082,4.227,0.961,0.436,0.215,-5.771,-86.597,149.779,2.202,4.475,2.033,13.295,31.917,3.600,0.081
88,0.085,1.147,0.615,0.542,0.500,26.639,27.323,38.809,39.347,3.600,4.000,27.008,39.125,3.800,27.008,39.125,3.800,0.426,0.408,0.285,-29.717,8.283E-27,90.000,1.042,1.494,1.433,27.030,39.005,3.600,0.081
89,0.151,1.922,0.757,0.363,1.000,29.913,30.940,14.663,15.348,4,4.800,30.419,15.037,4.359,30.419,15.037,4.359,0.761,0.517,0.237,-30.425,-33.775,100.851,1.473,3.209,2.178,30.255,15.054,4.400,0.114
90,0.096,1.695,0.994,0.212,0.500,22.435,23.217,16.521,17.449,4,4.400,22.863,17.037,4.200,22.863,17.037,4.200,0.631,0.408,0.277,-50.026,-0.000,90.000,1.545,2.273,1.471,23.070,16.863,4.000,0.081
91,0.071,0.826,0.444,1.004,1.000,18.329,18.818,17.694,18.183,4,4.400,18.569,17.939,4.200,18.569,17.939,4.200,0.408,0.319,0.292,0.000,-90.000,-70.734,1.281,1.399,1.092,18.427,17.792,4.000,0.081
92,0.087,1.044,0.445,0.752,1.000,25.954,26.345,35.632,36.219,4,4.800,26.164,35.927,4.451,26.164,35.927,4.451,0.617,0.313,0.240,62.448,72.688,-52.840,1.967,2.568,1.306,26.150,35.925,4.400,0.098
93,0.161,2.148,1.144,0.294,-1.500,18.867,19.796,13.881,15.054,4.400,4.800,19.304,14.493,4.600,19.304,14.493,4.600,0.820,0.408,0.268,-52.011,2.603E-26,90.000,2.009,3.058,1.522,19.551,14.126,4.400,0.081
94,0.060,0.874,0.476,0.614,1.000,22.386,23.168,15.543,16.081,4.400,4.800,22.795,15.821,4.600,22.795,15.821,4.600,0.566,0.408,0.190,30.866,3.928E-27,90.000,1.386,2.974,2.146,22.484,15.592,4.400,0.081
95,0.054,0.700,0.373,0.977,1.000,16.912,17.449,16.716,17.156,4.400,4.800,17.184,16.941,4.600,17.184,16.941,4.600,0.408,0.387,0.215,-96.327,-90.000,-21.859,1.056,1.903,1.801,17.205,16.814,4.400,0.081
96,0.217,2.222,0.954,0.485,1.500,15.103,16.863,17.352,17.987,4.400,4.800,16.096,17.652,4.600,16.096,17.652,4.600,1.126,0.408,0.298,-2.139,3.679E-26,90.000,2.757,3.779,1.371,16.619,17.401,4.400,0.081
97,0.106,1.380,0.678,0.484,0.500,22.973,24.048,17.449,17.987,4.400,4.800,23.418,17.683,4.600,23.418,17.683,4.600,0.643,0.408,0.262,-22.573,6.717E-26,90.000,1.575,2.453,1.557,23.266,17.547,4.400,0.081
98,0.074,0.858,0.452,0.971,1.500,14.370,14.908,23.168,23.608,4.400,4.800,14.649,23.400,4.600,14.649,23.400,4.600,0.408,0.351,0.277,89.253,-90.000,177.886,1.163,1.473,1.267,14.517,23.266,4.400,0.081
255,2.638,92.776,62.789,9.859E-4,202.000,1.857,43.697,0.000,47.363,0,4.800,23.368,26.805,1.838,23.368,26.805,1.838,27.707,19.325,2.937,-48.228,-0.784,177.448,1.434,9.433,6.579,19.698,20.284,0.000,0.065
