Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,0.095,1.478,0.978,0.314,0.500,6.990,7.625,1.857,3.079,0,0.400,7.301,2.459,0.200,7.301,2.459,0.200,0.890,0.408,0.214,-72.087,-0.000,90.000,2.179,4.163,1.910,7.527,1.955,0.000,0.081
2,0.585,6.993,1.712,0.113,0.000,7.625,10.460,2.346,3.470,0,2.000,8.924,3.017,0.891,8.924,3.017,0.891,1.951,0.834,0.356,13.591,30.647,-78.921,2.339,5.473,2.341,9.629,3.177,0.000,0.130
3,313.196,2622.439,527.120,6.151E-4,-557.500,4.839,36.072,2.982,40.275,0,4.800,19.156,20.533,2.184,19.156,20.533,2.184,20.721,14.878,2.808,41.333,0.270,-0.779,1.393,7.380,5.299,11.780,18.720,0.000,0.261
4,0.289,2.644,0.834,0.509,1.000,21.604,22.826,3.666,4.692,0,0.800,22.243,4.170,0.400,22.243,4.170,0.400,0.853,0.584,0.251,38.871,-16.731,80.735,1.460,3.401,2.330,21.897,3.910,0.000,0.130
5,0.054,0.770,0.495,0.710,0.000,9.433,9.678,4.106,4.741,0,0.400,9.555,4.442,0.200,9.555,4.442,0.200,0.408,0.402,0.207,0.000,-90.000,179.936,1.015,1.974,1.945,9.482,4.301,0.000,0.081
6,0.212,2.077,0.720,0.568,1.000,14.175,15.103,4.888,5.719,0,0.800,14.660,5.302,0.328,14.660,5.302,0.328,0.679,0.522,0.270,42.658,-38.032,80.461,1.301,2.512,1.931,14.566,5.230,0.000,0.130
7,1.337,13.364,3.671,0.085,-1.000,21.018,23.559,4.350,6.647,0,3.200,22.196,5.568,1.347,22.196,5.568,1.347,2.092,1.233,0.616,44.643,44.891,-66.226,1.697,3.397,2.002,21.995,5.621,0.000,0.130
8,0.349,3.553,0.926,0.307,1.000,16.130,17.840,5.523,6.452,0,1.200,17.019,6.027,0.394,17.019,6.027,0.394,1.181,0.627,0.226,24.750,-0.234,89.035,1.884,5.216,2.768,17.352,6.159,0.000,0.130
9,0.297,3.208,0.890,0.303,1.000,26.296,27.518,6.501,7.527,0,1.200,26.969,7.012,0.522,26.969,7.012,0.522,0.815,0.798,0.244,-140.718,-27.851,89.989,1.022,3.335,3.264,27.176,7.136,0.000,0.130
10,0.320,3.741,1.888,0.221,0.000,30.402,31.038,10.069,12.513,0,0.800,30.724,11.196,0.285,30.724,11.196,0.285,1.688,0.544,0.325,89.003,3.077,-82.390,3.102,5.195,1.675,30.549,10.313,0.000,0.130
