Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,5.989,40.005,6.969,0.063,-9.500,13.050,17.303,1.760,4.008,0.000,4.400,14.825,2.930,2.016,14.825,2.930,2.016,2.525,2.042,0.771,14.755,24.765,-87.571,1.237,3.276,2.649,13.735,2.688,2.000,0.228
2,2.976,19.607,3.326,0.133,-1.000,21.262,23.852,2.542,5.328,0.000,3.600,22.402,3.917,1.726,22.402,3.917,1.726,2.266,1.229,0.824,-66.837,52.783,-125.668,1.843,2.751,1.492,22.239,3.568,0.000,0.212
3,2.508,16.592,2.477,0.156,-1.000,4.350,6.941,3.910,5.621,0.000,3.600,5.599,4.700,1.771,5.599,4.700,1.771,2.158,1.101,0.469,-1.525,-61.618,46.735,1.960,4.600,2.347,5.083,4.546,0.000,0.130
4,154.456,920.968,107.193,0.003,-182.500,3.959,23.559,3.861,29.864,0.000,4.800,11.873,19.801,2.220,11.873,19.801,2.220,18.210,7.659,2.542,60.292,0.891,-4.403,2.378,7.165,3.013,6.501,12.317,0.000,0.293
5,0.921,9.059,2.682,0.129,-4.000,28.789,30.647,8.114,10.607,0.000,2.000,29.727,9.330,0.796,29.727,9.330,0.796,1.500,1.070,0.363,49.078,-3.971,-73.106,1.402,4.129,2.946,28.936,8.896,0.000,0.081
6,1.509,12.267,1.790,0.140,4.000,26.443,27.860,10.118,12.220,0.000,3.200,27.326,10.997,1.806,27.326,10.997,1.806,2.009,0.957,0.454,-54.702,64.750,59.959,2.099,4.421,2.106,27.469,10.460,0.000,0.212
7,0.141,1.632,0.502,0.521,1.000,30.255,30.940,13.930,14.419,0.000,1.200,30.585,14.144,0.659,30.585,14.144,0.659,0.907,0.354,0.241,40.164,-77.212,32.844,2.560,3.762,1.470,30.402,14.077,0.000,0.114
8,0.131,1.671,0.553,0.416,1.000,7.772,8.163,14.175,14.761,0.000,1.600,7.961,14.475,0.784,7.961,14.475,0.784,1.099,0.316,0.206,-27.313,87.375,38.285,3.483,5.332,1.531,7.967,14.468,0.000,0.114
9,2.172,15.680,3.024,0.138,0.000,2.346,4.643,13.979,16.374,0.000,3.200,3.301,15.177,1.505,3.301,15.177,1.505,1.853,1.159,0.724,51.814,-56.380,73.497,1.599,2.560,1.602,3.373,14.908,0.000,0.179
10,0.632,5.643,1.715,0.251,0.000,32.259,33.335,14.077,15.348,0.000,2.400,32.717,14.811,1.302,32.717,14.811,1.302,1.590,0.668,0.401,-48.425,-84.303,-168.198,2.379,3.961,1.665,32.602,14.761,0.000,0.130
11,0.333,2.867,0.703,0.531,1.000,6.941,7.625,15.299,16.081,0.000,1.600,7.256,15.702,0.730,7.256,15.702,0.730,1.042,0.408,0.327,-17.592,-79.828,-179.896,2.553,3.188,1.249,7.185,15.592,0.000,0.163
12,0.422,4.294,1.612,0.255,0.500,13.246,14.223,16.472,17.498,0.000,2.000,13.773,16.978,1.000,13.773,16.978,1.000,1.210,0.518,0.461,11.714,82.134,0.456,2.335,2.623,1.123,13.930,16.716,0.000,0.081
13,1.521,10.190,1.857,0.247,1.000,7.576,9.238,16.716,18.867,0.000,3.200,8.262,17.807,1.594,8.262,17.807,1.594,2.305,0.763,0.356,48.537,-56.366,-118.513,3.019,6.468,2.142,7.820,17.107,0.000,0.196
14,4.622,25.792,2.087,0.141,-1.000,9.189,11.193,15.983,17.889,0.000,4.800,9.957,17.006,2.868,9.957,17.006,2.868,2.501,0.951,0.794,88.525,81.581,-51.304,2.631,3.149,1.197,9.873,16.765,4.400,0.326
15,8.577,46.823,6.819,0.081,-0.500,10.362,15.201,17.792,21.506,0.000,4.800,12.363,19.798,2.738,12.363,19.798,2.738,3.559,2.510,0.830,-17.080,-64.005,157.389,1.418,4.289,3.025,11.535,20.089,0.000,0.277
