 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,o_07_FinalTH.tif,1.210,0,0,0,22.409,5.211,9.408,2.430,0.634,130.806,0.172,3.831,0.261,0.525,507,93
2,o_07_FinalTH.tif,0.371,0,0,0,17.839,5.249,2.369,0.900,0.525,21.446,0.830,1.714,0.583,0.923,421,116
3,o_07_FinalTH.tif,0.175,0,0,0,22.749,6.291,1.784,0.777,0.288,124.108,0.693,2.702,0.370,0.858,530,140
4,o_07_FinalTH.tif,0.118,0,0,0,22.596,6.826,1.303,0.480,0.312,146.263,0.871,1.540,0.649,0.867,527,156
5,o_07_FinalTH.tif,0.212,0,0,0,21.764,7.014,1.738,0.598,0.451,16.775,0.880,1.325,0.755,0.900,510,159
6,o_07_FinalTH.tif,0.413,0,0,0,12.939,7.614,3.135,1.358,0.387,90.648,0.528,3.512,0.285,0.867,303,165
7,o_07_FinalTH.tif,0.056,0,0,0,10.195,7.212,0.857,0.328,0.218,3.846,0.960,1.502,0.666,0.899,238,167
8,o_07_FinalTH.tif,0.418,0,0,0,13.955,8.270,2.759,1.169,0.455,87.379,0.690,2.569,0.389,0.920,327,181
9,o_07_FinalTH.tif,0.139,0,0,0,11.295,8.271,1.353,0.516,0.344,152.007,0.957,1.499,0.667,0.928,261,190
10,o_07_FinalTH.tif,0.546,0,0,0,21.851,9.419,4.444,2.051,0.339,62.026,0.348,6.047,0.165,0.730,522,202
11,o_07_FinalTH.tif,0.333,0,0,0,12.889,9.064,2.790,1.059,0.400,29.529,0.537,2.644,0.378,0.771,306,205
12,o_07_FinalTH.tif,0.235,0,0,0,14.201,9.326,2.114,0.879,0.341,23.575,0.661,2.581,0.387,0.884,334,214
13,o_07_FinalTH.tif,0.237,0,0,0,14.308,9.857,1.919,0.741,0.407,34.198,0.809,1.819,0.550,0.882,337,225
14,o_07_FinalTH.tif,0.507,0,0,0,13.015,10.679,4.114,1.878,0.343,40.230,0.376,5.470,0.183,0.679,316,236
15,o_07_FinalTH.tif,0.147,0,0,0,22.018,10.285,1.508,0.616,0.303,48.607,0.810,2.031,0.492,0.895,518,236
16,o_07_FinalTH.tif,0.903,0,0,0,14.704,11.316,6.695,3.151,0.365,15.491,0.253,8.640,0.116,0.714,361,256
17,o_07_FinalTH.tif,0.170,0,0,0,20.412,11.595,1.533,0.588,0.368,40.634,0.909,1.595,0.627,0.917,480,267
18,o_07_FinalTH.tif,0.179,0,0,0,11.035,12.042,2.174,0.848,0.269,68.729,0.476,3.154,0.317,0.776,262,272
19,o_07_FinalTH.tif,0.242,0,0,0,19.533,12.113,1.884,0.690,0.447,146.777,0.859,1.544,0.648,0.902,455,278
20,o_07_FinalTH.tif,0.232,0,0,0,15.127,12.314,1.848,0.667,0.442,71.167,0.852,1.507,0.664,0.911,357,281
21,o_07_FinalTH.tif,0.521,0,0,0,11.232,12.792,3.848,1.651,0.402,54.066,0.442,4.110,0.243,0.738,270,283
22,o_07_FinalTH.tif,0.235,0,0,0,15.897,12.483,2.079,0.861,0.348,68.474,0.684,2.474,0.404,0.887,375,284
23,o_07_FinalTH.tif,0.190,0,0,0,13.028,12.665,1.593,0.564,0.429,21.146,0.941,1.313,0.762,0.909,307,292
24,o_07_FinalTH.tif,0.175,0,0,0,13.815,12.701,1.618,0.604,0.370,34.859,0.842,1.633,0.612,0.894,329,293
25,o_07_FinalTH.tif,0.546,0,0,0,18.415,13.151,4.603,0.978,0.711,11.798,0.324,1.375,0.727,0.586,425,297
26,o_07_FinalTH.tif,0.255,0,0,0,14.572,13.044,1.873,0.680,0.478,98.298,0.913,1.424,0.702,0.931,340,299
27,o_07_FinalTH.tif,0.841,0,0,0,15.713,14.442,7.549,1.772,0.604,79.455,0.186,2.932,0.341,0.484,368,310
28,o_07_FinalTH.tif,0.194,0,0,0,15.083,13.944,1.618,0.540,0.456,97.850,0.929,1.183,0.845,0.911,351,322
29,o_07_FinalTH.tif,0.309,0,0,0,14.409,14.249,2.089,0.770,0.511,119.772,0.891,1.507,0.664,0.924,336,326
30,o_07_FinalTH.tif,0.172,0,0,0,12.845,14.768,1.583,0.579,0.378,77.271,0.862,1.534,0.652,0.918,303,340
31,o_07_FinalTH.tif,0.373,0,0,0,17.333,15.117,3.041,1.337,0.355,56.326,0.506,3.770,0.265,0.789,412,343
32,o_07_FinalTH.tif,0.644,0,0,0,14.485,15.637,4.238,1.910,0.429,120.954,0.451,4.448,0.225,0.793,331,350
33,o_07_FinalTH.tif,0.279,0,0,0,10.936,15.470,2.334,0.904,0.392,98.903,0.643,2.306,0.434,0.844,254,353
34,o_07_FinalTH.tif,0.479,0,0,0,15.152,17.312,4.149,1.965,0.311,55.276,0.350,6.328,0.158,0.718,365,389
35,o_07_FinalTH.tif,0.384,0,0,0,10.224,17.173,2.676,1.145,0.426,49.145,0.673,2.686,0.372,0.872,245,393
36,o_07_FinalTH.tif,0.085,0,0,0,14.815,16.949,1.218,0.517,0.209,123.625,0.721,2.470,0.405,0.825,345,393
37,o_07_FinalTH.tif,0.067,0,0,0,11.101,17.016,1.027,0.411,0.207,67.558,0.798,1.984,0.504,0.860,260,396
38,o_07_FinalTH.tif,0.295,0,0,0,12.294,17.311,2.074,0.796,0.472,45.001,0.861,1.686,0.593,0.913,291,399
39,o_07_FinalTH.tif,0.114,0,0,0,10.943,17.680,1.353,0.509,0.285,80.460,0.783,1.785,0.560,0.851,257,409
40,o_07_FinalTH.tif,1.561,0,0,0,8.558,19.674,11.014,4.205,0.473,63.593,0.162,8.895,0.112,0.509,219,418
41,o_07_FinalTH.tif,0.376,0,0,0,12.555,19.022,2.890,1.211,0.396,80.847,0.566,3.060,0.327,0.832,297,434
42,o_07_FinalTH.tif,0.185,0,0,0,11.589,19.219,1.593,0.584,0.402,106.973,0.914,1.452,0.689,0.911,271,445
43,o_07_FinalTH.tif,0.128,0,0,0,13.100,19.117,1.317,0.459,0.356,38.927,0.930,1.289,0.776,0.916,306,445
44,o_07_FinalTH.tif,0.177,0,0,0,12.026,20.009,1.593,0.587,0.385,57.449,0.878,1.526,0.655,0.899,283,464
45,o_07_FinalTH.tif,0.177,0,0,0,9.468,20.308,1.749,0.694,0.326,34.192,0.729,2.131,0.469,0.867,227,471
46,o_07_FinalTH.tif,0.199,0,0,0,12.600,20.465,1.979,0.813,0.312,31.481,0.639,2.607,0.384,0.840,302,474
47,o_07_FinalTH.tif,0.944,0,0,0,5.871,21.459,7.495,2.792,0.431,51.097,0.211,6.484,0.154,0.500,161,476
48,o_07_FinalTH.tif,0.608,0,0,0,8.529,21.232,4.678,1.373,0.564,54.570,0.349,2.436,0.411,0.574,206,486
49,o_07_FinalTH.tif,0.250,0,0,0,6.599,21.458,2.054,0.838,0.379,18.926,0.744,2.208,0.453,0.893,155,499
50,o_07_FinalTH.tif,0.092,0,0,0,8.869,21.757,1.112,0.403,0.292,78.019,0.938,1.380,0.724,0.911,207,507
51,o_07_FinalTH.tif,0.469,0,0,0,6.568,22.033,3.676,1.539,0.388,11.396,0.436,3.970,0.252,0.725,164,510
