 ,Value,Count
1,0,243368
2,1,38298
3,2,15831
4,3,9821
5,4,6638
6,5,4513
7,6,3419
8,7,3015
9,8,2707
10,9,2189
11,10,1760
12,11,1583
13,12,1374
14,13,1220
15,14,1190
16,15,1045
17,16,1022
18,17,930
19,18,909
20,19,830
21,20,790
22,21,707
23,22,691
24,23,655
25,24,596
26,25,581
27,26,584
28,27,556
29,28,542
30,29,525
31,30,471
32,31,462
33,32,474
34,33,469
35,34,421
36,35,426
37,36,407
38,37,429
39,38,393
40,39,379
41,40,374
42,41,383
43,42,360
44,43,415
45,44,345
46,45,358
47,46,349
48,47,323
49,48,331
50,49,335
51,50,334
52,51,305
53,52,308
54,53,315
55,54,291
56,55,345
57,56,317
58,57,292
59,58,280
60,59,248
61,60,262
62,61,255
63,62,272
64,63,245
65,64,251
66,65,261
67,66,258
68,67,209
69,68,220
70,69,233
71,70,276
72,71,228
73,72,253
74,73,216
75,74,244
76,75,227
77,76,214
78,77,208
79,78,194
80,79,212
81,80,222
82,81,213
83,82,186
84,83,196
85,84,175
86,85,190
87,86,143
88,87,165
89,88,150
90,89,134
91,90,171
92,91,142
93,92,159
94,93,132
95,94,140
96,95,139
97,96,135
98,97,153
99,98,151
100,99,137
101,100,126
102,101,139
103,102,135
104,103,126
105,104,115
106,105,127
107,106,135
108,107,118
109,108,102
110,109,132
111,110,130
112,111,99
113,112,95
114,113,96
115,114,103
116,115,91
117,116,93
118,117,104
119,118,95
120,119,84
121,120,82
122,121,78
123,122,78
124,123,73
125,124,68
126,125,72
127,126,68
128,127,65
129,128,50
130,129,60
131,130,57
132,131,64
133,132,71
134,133,67
135,134,36
136,135,50
137,136,48
138,137,37
139,138,36
140,139,27
141,140,41
142,141,42
143,142,34
144,143,31
145,144,46
146,145,29
147,146,30
148,147,41
149,148,28
150,149,25
151,150,10
152,151,29
153,152,29
154,153,24
155,154,23
156,155,13
157,156,22
158,157,30
159,158,14
160,159,22
161,160,16
162,161,12
163,162,11
164,163,18
165,164,14
166,165,13
167,166,8
168,167,17
169,168,14
170,169,4
171,170,8
172,171,15
173,172,15
174,173,11
175,174,8
176,175,5
177,176,5
178,177,8
179,178,7
180,179,7
181,180,12
182,181,5
183,182,3
184,183,3
185,184,3
186,185,3
187,186,1
188,187,2
189,188,1
190,189,2
191,190,1
192,191,5
193,192,2
194,193,0
195,194,3
196,195,3
197,196,1
198,197,1
199,198,2
200,199,0
201,200,2
202,201,2
203,202,0
204,203,0
205,204,0
206,205,0
207,206,0
208,207,0
209,208,0
210,209,0
211,210,0
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
