 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,14,0.744,0,0,0.744
2,1,0,2,0,3,0.188,0,0,0.188
3,3,1,3,3,125,2.113,1,0,4.172
4,1,0,2,0,71,3.450,0,0,3.450
5,1,0,2,0,51,2.423,0,0,2.423
6,1,0,2,0,0,0.043,0,0,0.043
7,1,0,2,0,27,1.332,0,0,1.332
8,13,7,5,15,236,0.991,7,0,2.175
9,1,0,2,0,2,0.128,0,0,0.128
10,1,0,2,0,0,0.043,0,0,0.043
11,1,0,2,0,20,1.158,0,0,1.158
12,1,0,2,0,3,0.223,0,0,0.223
13,1,0,2,0,6,0.315,0,0,0.315
14,1,0,2,0,2,0.128,0,0,0.128
15,1,0,2,0,1,0.085,0,0,0.085
16,13,7,5,17,200,0.860,7,0,2.362
17,0,0,1,0,0,0.000,0,0,0.000
18,1,0,2,0,10,0.521,0,0,0.521
19,1,0,2,0,23,1.144,0,0,1.144
20,1,0,2,0,26,1.395,0,0,1.395
21,1,0,2,0,25,1.423,0,0,1.423
22,7,4,2,8,119,0.928,4,0,2.058
23,50,29,12,56,947,1.011,28,1,6.487
24,1,0,2,0,8,0.418,0,0,0.418
25,3,1,3,1,50,0.892,1,0,1.600
26,1,0,2,0,3,0.188,0,0,0.188
27,3,1,3,1,89,1.569,1,0,2.451
28,1,0,2,0,0,0.060,0,0,0.060
29,6,3,3,7,136,1.264,3,0,2.104
30,36,20,12,34,781,1.150,20,0,3.779
31,1,0,2,0,4,0.266,0,0,0.266
32,1,0,2,0,10,0.486,0,0,0.486
33,1,0,2,0,1,0.085,0,0,0.085
34,1,0,2,0,10,0.591,0,0,0.591
35,1,0,2,0,2,0.163,0,0,0.163
36,1,0,2,0,12,0.694,0,0,0.694
