Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,108.515,758.323,128.798,0.003,-132.000,6.305,31.917,3.275,19.209,0,4.800,21.028,10.105,1.859,21.028,10.105,1.859,13.703,7.212,2.438,20.455,1.443,0.049,1.900,5.620,2.958,21.848,7.576,0,0.261
2,4.064,31.055,5.717,0.062,-6.500,27.469,29.131,8.749,12.562,0,3.600,28.289,10.850,1.713,28.289,10.850,1.713,2.226,1.884,0.705,-83.503,18.581,-102.882,1.181,3.156,2.672,27.860,11.633,0,0.228
3,0.438,3.327,0.815,0.588,1.000,16.619,17.498,12.708,13.588,0,1.600,17.009,13.185,0.838,17.009,13.185,0.838,1.108,0.450,0.343,10.907,-75.003,168.857,2.462,3.233,1.313,16.863,13.148,0,0.179
4,2.155,14.941,2.438,0.157,0.000,12.757,15.445,12.953,15.739,0,2.000,14.360,14.449,0.844,14.360,14.449,0.844,1.847,1.102,0.450,47.672,-5.481,84.409,1.675,4.103,2.449,15.152,15.103,0,0.196
5,1.780,14.653,2.840,0.114,0.000,5.230,6.403,12.073,14.908,0,4.000,5.782,13.489,1.887,5.782,13.489,1.887,2.882,0.973,0.439,86.812,62.881,93.123,2.964,6.561,2.214,5.768,13.832,0,0.179
6,0.179,1.927,0.513,0.504,1.000,18.329,19.062,13.441,13.881,0,1.200,18.673,13.641,0.529,18.673,13.641,0.529,0.823,0.414,0.243,-43.626,-87.145,133.251,1.987,3.388,1.705,18.476,13.588,0,0.130
7,0.197,2.037,0.555,0.518,1.000,12.122,12.806,13.832,14.321,0,1.600,12.412,14.083,0.732,12.412,14.083,0.732,0.997,0.322,0.286,11.832,-79.679,55.563,3.095,3.484,1.126,12.366,14.028,0,0.163
8,0.859,6.527,1.108,0.300,3.000,8.407,9.385,13.539,15.299,0,1.600,8.860,14.553,0.762,8.860,14.553,0.762,1.218,0.740,0.393,-67.339,-48.101,-83.435,1.647,3.097,1.881,8.554,15.006,0,0.163
9,0.356,4.233,1.500,0.189,0.500,29.327,30.109,14.566,16.472,0,2.000,29.739,15.435,0.967,29.739,15.435,0.967,1.616,0.441,0.388,-80.208,44.741,107.266,3.663,4.169,1.138,29.816,14.859,0,0.114
10,0.179,1.702,0.449,0.732,1.000,13.197,13.686,14.663,15.201,0,1.200,13.453,14.930,0.581,13.453,14.930,0.581,0.849,0.313,0.261,26.330,-85.808,-170.398,2.711,3.249,1.198,13.441,14.859,0,0.179
11,1.668,9.782,1.194,0.336,0.000,4.790,6.452,15.494,16.961,0,2.000,5.522,16.226,0.750,5.522,16.226,0.750,1.054,0.893,0.668,-29.591,-69.430,119.256,1.181,1.579,1.337,5.474,16.374,0,0.196
