 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,1X_16_largestArea.tif,0.118,1.413,0.590,0.254,165.757,0.740,2.322,0.431,0.861,141,77
2,1X_16_largestArea.tif,4.178,18.829,3.028,1.756,144.975,0.148,1.724,0.580,0.511,122,82
3,1X_16_largestArea.tif,22.319,60.769,7.339,3.872,133.809,0.076,1.895,0.528,0.516,142,147
4,1X_16_largestArea.tif,0.188,1.593,0.578,0.415,39.903,0.932,1.393,0.718,0.912,230,160
5,1X_16_largestArea.tif,0.063,0.967,0.376,0.214,102.133,0.851,1.756,0.569,0.909,89,179
6,1X_16_largestArea.tif,0.228,1.799,0.633,0.458,73.740,0.886,1.381,0.724,0.906,78,181
7,1X_16_largestArea.tif,6.821,33.427,6.374,1.363,79.389,0.077,4.678,0.214,0.497,127,226
8,1X_16_largestArea.tif,0.210,1.738,0.571,0.468,31.838,0.873,1.220,0.820,0.903,275,237
9,1X_16_largestArea.tif,0.170,1.543,0.540,0.401,177.133,0.897,1.347,0.742,0.887,76,251
10,1X_16_largestArea.tif,0.121,1.268,0.415,0.372,22.432,0.948,1.117,0.895,0.893,241,283
11,1X_16_largestArea.tif,0.982,5.385,1.823,0.686,156.445,0.426,2.656,0.376,0.754,137,289
12,1X_16_largestArea.tif,0.119,1.533,0.554,0.275,17.329,0.638,2.016,0.496,0.825,279,291
13,1X_16_largestArea.tif,0.128,1.363,0.484,0.338,42.776,0.869,1.430,0.699,0.861,194,316
14,1X_16_largestArea.tif,2.220,13.014,2.208,1.280,69.248,0.165,1.725,0.580,0.571,263,321
15,1X_16_largestArea.tif,10.629,35.550,6.866,1.971,84.772,0.106,3.484,0.287,0.541,267,359
16,1X_16_largestArea.tif,0.271,3.792,1.435,0.241,109.337,0.237,5.959,0.168,0.586,125,385
17,1X_16_largestArea.tif,0.239,3.487,1.134,0.268,136.381,0.247,4.227,0.237,0.540,147,428
18,1X_16_largestArea.tif,0.271,2.610,1.013,0.341,161.640,0.501,2.969,0.337,0.792,185,457
19,1X_16_largestArea.tif,0.650,3.106,1.079,0.767,36.246,0.846,1.407,0.711,0.921,162,463
20,1X_16_largestArea.tif,0.754,4.945,1.837,0.523,121.193,0.388,3.512,0.285,0.783,209,490
