 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,1X_36_largestArea.tif,0.125,1.292,0.425,0.374,85.566,0.939,1.135,0.881,0.896,323,51
2,1X_36_largestArea.tif,0.682,5.861,2.062,0.421,24.754,0.250,4.894,0.204,0.537,226,65
3,1X_36_largestArea.tif,0.148,1.413,0.474,0.398,153.133,0.934,1.190,0.840,0.896,282,75
4,1X_36_largestArea.tif,0.384,2.985,1.225,0.399,163.624,0.541,3.073,0.325,0.752,295,80
5,1X_36_largestArea.tif,0.192,1.633,0.562,0.434,119.163,0.904,1.294,0.773,0.922,335,88
6,1X_36_largestArea.tif,0.201,2.058,0.930,0.275,175.314,0.596,3.386,0.295,0.881,374,91
7,1X_36_largestArea.tif,0.105,1.207,0.448,0.298,163.734,0.905,1.505,0.664,0.885,144,92
8,1X_36_largestArea.tif,0.172,1.728,0.669,0.327,161.486,0.723,2.045,0.489,0.837,292,94
9,1X_36_largestArea.tif,0.116,1.243,0.414,0.357,29.120,0.942,1.160,0.862,0.877,336,107
10,1X_36_largestArea.tif,0.318,2.620,0.953,0.426,146.461,0.583,2.238,0.447,0.775,304,108
11,1X_36_largestArea.tif,1.048,8.667,1.579,0.845,135.628,0.175,1.870,0.535,0.474,295,121
12,1X_36_largestArea.tif,0.478,4.834,1.407,0.432,95.917,0.257,3.257,0.307,0.485,421,124
13,1X_36_largestArea.tif,0.384,3.321,1.332,0.367,137.783,0.437,3.631,0.275,0.688,118,126
14,1X_36_largestArea.tif,0.123,1.292,0.477,0.329,18.332,0.926,1.451,0.689,0.913,447,133
15,1X_36_largestArea.tif,0.431,4.137,1.239,0.442,3.491,0.316,2.801,0.357,0.575,424,139
16,1X_36_largestArea.tif,0.101,1.193,0.435,0.296,143.606,0.895,1.470,0.680,0.855,442,148
17,1X_36_largestArea.tif,0.065,0.942,0.333,0.249,50.968,0.923,1.339,0.747,0.867,119,159
18,1X_36_largestArea.tif,0.364,3.070,1.301,0.356,160.428,0.485,3.657,0.273,0.736,446,160
19,1X_36_largestArea.tif,0.223,1.848,0.744,0.381,159.806,0.818,1.954,0.512,0.908,507,163
20,1X_36_largestArea.tif,0.729,5.315,1.663,0.558,95.679,0.324,2.981,0.335,0.657,410,168
21,1X_36_largestArea.tif,0.154,1.543,0.539,0.363,144.813,0.811,1.486,0.673,0.859,436,168
22,1X_36_largestArea.tif,1.379,11.315,1.705,1.029,25.633,0.135,1.657,0.603,0.420,127,173
23,1X_36_largestArea.tif,0.340,2.815,1.027,0.422,96.017,0.539,2.435,0.411,0.775,379,177
