Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,0.072,0.912,0.437,0.766,1.000,27.176,27.518,5.328,5.914,0.000,0.800,27.336,5.584,0.547,27.336,5.584,0.547,0.510,0.362,0.224,-76.980,84.325,-91.924,1.409,2.273,1.613,27.323,5.523,0.000,0.098
2,4.730,33.722,5.420,0.066,5.000,26.394,29.718,5.377,10.655,0.000,3.600,27.929,8.046,1.821,27.929,8.046,1.821,3.223,1.608,0.765,59.570,9.502,-88.651,2.005,4.214,2.102,27.225,7.723,0.800,0.147
3,0.777,5.098,0.798,0.515,3.000,13.246,14.810,10.802,11.780,0.000,1.600,13.907,11.292,0.656,13.907,11.292,0.656,0.921,0.699,0.434,0.198,56.227,-67.553,1.317,2.123,1.612,13.735,11.193,0.000,0.179
4,1.320,9.943,2.324,0.200,1.000,16.863,18.036,11.046,13.344,0.000,2.400,17.441,12.431,1.206,17.441,12.431,1.206,1.495,1.205,0.487,-82.346,37.416,-90.662,1.241,3.067,2.472,17.352,13.050,0.000,0.163
5,319.834,2007.913,322.161,0.001,-383.500,3.226,32.259,11.144,51.811,0.000,4.800,17.413,30.047,1.984,17.413,30.047,1.984,22.540,9.483,2.292,-55.777,-0.362,179.082,2.377,9.835,4.138,25.368,20.724,0.000,0.293
6,1.600,8.917,0.941,0.408,3.000,18.329,19.600,15.641,17.058,0.000,2.000,18.961,16.383,0.906,18.961,16.383,0.906,1.175,0.845,0.550,27.069,-86.624,6.392,1.390,2.136,1.537,18.720,16.472,0.000,0.228
7,0.172,1.578,0.511,0.852,1.000,5.719,6.354,25.074,25.710,0.000,0.800,6.009,25.407,0.431,6.009,25.407,0.431,0.622,0.354,0.316,48.543,-72.132,74.884,1.757,1.967,1.120,5.865,25.319,0.000,0.130
8,0.070,0.908,0.518,0.735,0.500,20.333,20.822,27.616,28.203,0.000,0.400,20.561,27.889,0.200,20.561,27.889,0.200,0.408,0.349,0.289,0.000,-90.000,-175.089,1.169,1.413,1.209,20.431,27.714,0.000,0.081
9,0.520,3.605,0.918,0.652,1.000,11.193,12.611,28.691,29.571,0.000,0.800,11.805,29.135,0.382,11.805,29.135,0.382,0.871,0.604,0.408,0.337,3.710,-95.005,1.442,2.135,1.480,11.535,28.936,0.000,0.130
10,0.091,1.102,0.461,0.696,1.000,16.179,16.814,30.304,30.744,0.000,0.800,16.516,30.528,0.318,16.516,30.528,0.318,0.618,0.316,0.262,0.339,65.254,-83.426,1.955,2.357,1.206,16.472,30.402,0.000,0.081
