Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,286.559,1935.146,356.047,0.001,-587.000,4.008,31.429,1.515,20.920,0,4.800,16.349,9.978,2.456,16.349,9.978,2.456,15.155,9.108,2.769,-8.145,0.193,177.636,1.664,5.473,3.289,10.362,4.399,0,0.261
2,0.394,3.335,1.116,0.473,0.000,16.521,17.792,2.933,4.155,0,1.200,17.283,3.502,0.483,17.283,3.502,0.483,0.930,0.551,0.413,52.155,40.180,-7.889,1.686,2.254,1.337,17.303,3.568,0,0.114
3,0.085,1.287,0.595,0.384,1.000,27.274,27.812,5.083,5.914,0,0.800,27.522,5.523,0.357,27.522,5.523,0.357,0.688,0.423,0.195,64.778,51.358,-82.645,1.628,3.526,2.165,27.469,5.572,0,0.081
4,0.063,0.713,0.378,1.240,1.000,16.619,17.107,5.279,5.768,0,0.400,16.874,5.493,0.200,16.874,5.493,0.200,0.408,0.357,0.245,0.000,-90.000,-41.458,1.145,1.670,1.459,16.716,5.328,0,0.081
5,0.057,0.650,0.345,1.353,1.000,17.205,17.645,5.523,5.963,0,0.400,17.436,5.743,0.200,17.436,5.743,0.200,0.408,0.286,0.272,0.000,-90.000,-60.688,1.428,1.503,1.052,17.303,5.621,0,0.081
6,0.085,1.177,0.729,0.501,0.500,8.945,9.385,5.768,6.647,0,0.400,9.172,6.169,0.200,9.172,6.169,0.200,0.486,0.408,0.261,-89.755,-0.000,90.000,1.190,1.862,1.565,9.238,5.865,0,0.081
7,0.121,1.468,0.542,0.526,1.000,20.627,21.164,5.963,6.647,0,1.200,20.942,6.265,0.565,20.942,6.265,0.565,0.922,0.293,0.243,-54.727,-73.083,114.690,3.147,3.790,1.204,20.920,6.256,0,0.098
8,0.137,1.724,0.943,0.412,0.000,3.666,4.595,6.550,7.625,0,0.400,4.175,7.110,0.200,4.175,7.110,0.200,0.818,0.408,0.257,-48.535,-0.000,90.000,2.003,3.186,1.591,4.448,6.647,0,0.081
9,0.064,0.700,0.346,1.351,1.000,16.765,17.254,6.941,7.332,0,0.400,16.995,7.143,0.200,16.995,7.143,0.200,0.408,0.322,0.265,0.000,-90.000,-78.401,1.269,1.540,1.213,16.863,6.990,0,0.081
10,0.142,1.377,0.462,0.879,1.000,13.197,13.930,7.772,8.260,0,0.800,13.494,7.990,0.485,13.494,7.990,0.485,0.600,0.402,0.276,9.598,-68.472,65.102,1.490,2.174,1.459,13.393,7.869,0,0.130
11,0.252,2.065,0.746,0.817,1.000,21.457,22.239,7.576,8.554,0,0.800,21.801,8.089,0.517,21.801,8.089,0.517,0.599,0.493,0.386,55.701,-43.998,95.845,1.215,1.553,1.278,21.653,7.869,0,0.130
12,1.262,9.870,2.449,0.187,-2.000,13.588,15.445,8.114,9.873,0,2.800,14.469,9.081,1.116,14.469,9.081,1.116,1.468,0.830,0.690,9.421,-59.426,134.118,1.769,2.127,1.202,14.126,9.336,0,0.130
13,6.440,46.482,11.012,0.047,-9.000,1.173,6.794,5.377,9.433,0,4.800,3.979,7.810,2.362,3.979,7.810,2.362,4.045,1.463,1.189,-34.183,-41.004,113.715,2.764,3.401,1.231,2.346,8.456,0,0.130
14,0.443,3.561,0.933,0.493,1.000,19.698,20.578,8.651,9.776,0,1.600,20.200,9.224,1.003,20.200,9.224,1.003,1.097,0.476,0.439,-85.038,69.178,93.101,2.303,2.500,1.086,20.089,8.700,0,0.081
15,0.382,3.361,1.159,0.435,0.500,24.830,26.052,9.091,9.971,0,1.200,25.396,9.545,0.640,25.396,9.545,0.640,0.875,0.651,0.393,38.727,63.442,-63.327,1.344,2.229,1.659,25.465,9.580,0,0.098
16,0.064,0.704,0.359,1.329,1.000,23.266,23.755,9.433,9.873,0,0.400,23.519,9.660,0.200,23.519,9.660,0.200,0.408,0.342,0.250,0.000,-90.000,-57.779,1.194,1.630,1.365,23.315,9.531,0,0.081
17,0.245,2.756,0.723,0.323,1.000,26.785,28.056,9.727,10.362,0,1.200,27.457,10.051,0.645,27.457,10.051,0.645,0.965,0.508,0.257,-2.039,-57.697,63.596,1.900,3.748,1.972,27.469,9.873,0,0.114
18,0.073,0.756,0.367,1.381,1.000,23.559,24.097,10.020,10.460,0,0.400,23.831,10.273,0.200,23.831,10.273,0.200,0.408,0.333,0.286,0.000,-90.000,-91.075,1.227,1.425,1.162,23.804,10.069,0,0.081
19,0.236,3.223,1.534,0.188,-4.000,24.292,25.368,10.118,11.389,0,0.800,24.751,10.734,0.351,24.751,10.734,0.351,0.912,0.624,0.300,-53.822,9.130,-113.453,1.462,3.038,2.078,25.123,10.313,0,0.081
20,0.088,1.020,0.568,0.823,1.500,31.917,32.357,12.611,13.344,0,0.400,32.140,13.016,0.200,32.140,13.016,0.200,0.457,0.408,0.260,-103.607,-0.000,90.000,1.119,1.757,1.571,32.064,12.659,0,0.081
21,0.360,3.929,2.044,0.242,1.000,16.423,17.498,12.855,14.810,0,0.800,16.876,13.819,0.355,16.876,13.819,0.355,1.178,0.654,0.362,-67.808,-12.629,-130.135,1.801,3.256,1.808,16.765,13.050,0,0.081
22,0.143,1.737,0.743,0.444,1.500,26.883,27.616,14.468,15.299,0,1.200,27.276,14.871,0.581,27.276,14.871,0.581,0.794,0.404,0.306,58.358,63.325,8.020,1.966,2.590,1.317,27.323,15.006,0,0.081
23,0.250,2.233,0.837,0.637,1.000,23.999,25.074,14.468,15.494,0,0.800,24.518,15.074,0.553,24.518,15.074,0.553,0.746,0.495,0.365,39.066,7.808,-85.021,1.507,2.046,1.358,24.635,15.103,0,0.130
24,0.853,7.090,1.854,0.231,-1.000,29.327,30.842,15.690,16.912,0,2.000,30.073,16.432,1.071,30.073,16.432,1.071,1.269,0.796,0.479,-40.008,-77.109,151.270,1.594,2.650,1.663,30.255,16.570,0,0.147
25,0.088,1.025,0.545,0.811,1.000,25.661,26.345,5.816,6.305,0.400,0.800,26.008,6.084,0.600,26.008,6.084,0.600,0.454,0.408,0.274,9.196,5.942E-27,90.000,1.113,1.659,1.490,25.856,5.914,0.400,0.081
26,0.762,6.278,1.666,0.265,1.000,31.966,33.384,12.757,13.979,0.400,2.800,32.687,13.502,1.723,32.687,13.502,1.723,1.446,0.609,0.501,-64.132,-76.016,161.120,2.372,2.888,1.217,32.748,13.539,1.200,0.147
27,1.109,8.116,2.044,0.260,0.000,17.840,20.480,2.395,4.008,0.800,3.200,19.120,3.163,1.937,19.120,3.163,1.937,2.022,0.621,0.550,-26.375,-44.703,130.860,3.255,3.678,1.130,19.453,2.835,2.400,0.114
28,0.115,1.544,0.877,0.404,1.000,16.276,17.107,4.888,5.914,0.800,1.200,16.707,5.485,1.000,16.707,5.485,1.000,0.722,0.408,0.330,55.018,-7.634E-27,90.000,1.770,2.188,1.236,16.570,4.937,0.800,0.081
29,0.150,1.656,0.847,0.560,-1.000,9.433,10.118,6.501,7.381,0.800,1.200,9.736,6.916,1.000,9.736,6.916,1.000,0.524,0.408,0.374,-79.263,8.263E-26,90.000,1.285,1.402,1.091,9.678,6.599,0.800,0.081
30,0.093,0.995,0.453,0.988,1.000,4.497,5.279,13.539,14.028,0.800,1.200,4.885,13.793,1.000,4.885,13.793,1.000,0.443,0.408,0.271,-3.029,-8.271E-27,90.000,1.085,1.636,1.508,4.790,13.637,0.800,0.081
31,0.608,5.341,2.023,0.274,-3.500,8.358,9.238,18.231,19.893,0.800,2.400,8.794,19.187,1.715,8.794,19.187,1.715,1.039,0.813,0.419,56.742,65.479,128.767,1.277,2.478,1.940,8.896,19.258,0.800,0.081
32,0.126,1.259,0.597,0.901,-0.500,3.715,4.350,20.675,21.360,0.800,1.200,4.045,21.018,1.000,4.045,21.018,1.000,0.434,0.408,0.350,53.023,3.080E-26,90.000,1.063,1.241,1.167,3.861,20.773,0.800,0.081
33,0.138,1.266,0.536,1.056,1.000,15.836,16.765,2.493,3.030,1.200,1.600,16.309,2.776,1.400,16.309,2.776,1.400,0.576,0.408,0.293,11.569,-9.676E-27,90.000,1.410,1.968,1.396,16.032,2.542,1.200,0.081
34,0.110,1.275,0.545,0.660,1.000,26.296,27.078,12.171,12.659,1.200,2.000,26.669,12.443,1.494,26.669,12.443,1.494,0.637,0.368,0.284,1.747,-53.770,75.177,1.733,2.248,1.297,26.492,12.268,1.200,0.081
35,0.138,1.343,0.597,0.885,-0.500,5.425,6.208,13.979,14.566,1.200,1.600,5.802,14.278,1.400,5.802,14.278,1.400,0.463,0.408,0.352,-3.322,2.302E-26,90.000,1.135,1.317,1.160,5.621,14.077,1.200,0.081
36,0.072,0.847,0.439,0.957,1.000,15.934,16.423,21.213,21.702,1.200,1.600,16.193,21.473,1.400,16.193,21.473,1.400,0.408,0.319,0.295,-87.479,-90.000,40.195,1.281,1.384,1.080,16.081,21.311,1.200,0.081
37,0.065,0.780,0.406,1.005,1.500,23.999,24.488,8.749,9.189,1.600,2.000,24.257,8.991,1.800,24.257,8.991,1.800,0.408,0.326,0.270,86.403,-90.000,165.439,1.253,1.513,1.207,24.097,8.896,1.600,0.081
38,0.272,3.300,1.657,0.233,-7.500,4.399,5.328,14.908,16.276,1.600,2.400,4.814,15.630,2.069,4.814,15.630,2.069,0.950,0.443,0.400,-71.845,28.517,43.939,2.146,2.373,1.106,4.937,14.957,1.600,0.081
39,0.829,6.210,1.462,0.325,0.000,22.142,23.559,2.395,3.421,2,4.800,22.945,2.826,3.704,22.945,2.826,3.704,1.750,0.656,0.446,80.838,-84.764,-1.641,2.668,3.922,1.470,22.973,2.737,4.400,0.179
40,0.152,1.799,0.615,0.448,1.000,5.474,6.354,14.908,15.397,2,2.800,5.945,15.172,2.281,5.945,15.172,2.281,0.548,0.498,0.288,-0.622,-72.628,76.541,1.101,1.902,1.727,5.865,14.957,2,0.081
41,0.125,1.403,0.658,0.642,0.000,12.708,13.490,19.796,20.480,2,2.800,13.045,20.126,2.576,13.045,20.126,2.576,0.503,0.434,0.322,34.486,41.549,107.810,1.159,1.563,1.349,12.806,19.844,2.400,0.081
42,0.088,1.052,0.428,0.751,1.000,15.885,16.374,7.772,8.260,2.400,3.200,16.153,7.991,2.917,16.153,7.991,2.917,0.552,0.334,0.255,-57.598,80.544,168.135,1.653,2.166,1.310,16.179,7.918,2.400,0.081
43,0.459,4.864,1.596,0.207,1.000,15.152,16.325,8.065,9.433,2.400,4.800,15.624,8.626,3.914,15.624,8.626,3.914,1.499,0.523,0.473,69.218,-65.799,-26.007,2.869,3.169,1.105,15.494,8.358,3.200,0.130
44,0.418,4.967,2.264,0.161,-1.500,30.060,31.820,8.651,10.167,2.400,3.600,30.953,9.567,2.926,30.953,9.567,2.926,1.191,0.683,0.449,-47.635,24.972,-150.771,1.744,2.655,1.522,30.940,8.700,2.400,0.081
45,0.057,0.826,0.453,0.660,1.000,4.790,5.474,16.472,16.814,2.400,2.800,5.144,16.635,2.600,5.144,16.635,2.600,0.413,0.408,0.223,14.024,1.642E-26,90.000,1.011,1.853,1.833,4.937,16.521,2.400,0.081
46,0.107,1.110,0.527,0.948,1.000,15.983,16.716,17.987,18.525,2.400,2.800,16.337,18.283,2.600,16.337,18.283,2.600,0.435,0.408,0.315,11.528,5.640E-26,90.000,1.065,1.378,1.294,16.130,18.036,2.400,0.081
47,0.778,5.846,1.164,0.343,1.000,22.631,24.341,17.987,19.258,2.400,4.400,23.486,18.576,3.553,23.486,18.576,3.553,1.522,0.658,0.309,-27.837,-55.249,84.360,2.315,4.935,2.132,23.364,18.525,3.200,0.130
48,0.185,2.509,1.347,0.246,1.000,9.042,9.873,18.867,19.942,2.400,3.600,9.426,19.368,2.753,9.426,19.368,2.753,0.721,0.561,0.321,-30.421,-51.430,-37.367,1.286,2.244,1.745,9.287,19.014,2.400,0.081
49,0.153,2.098,0.741,0.287,1.000,7.625,8.309,3.373,4.155,2.800,3.600,7.939,3.705,3.217,7.939,3.705,3.217,0.610,0.410,0.344,10.884,80.088,-5.028,1.487,1.776,1.194,7.723,3.568,2.800,0.081
50,0.139,1.826,1.044,0.356,-0.500,5.914,6.647,8.065,9.042,2.800,3.200,6.243,8.612,3.000,6.243,8.612,3.000,0.551,0.408,0.369,-80.858,2.695E-26,90.000,1.350,1.495,1.107,6.110,8.260,2.800,0.081
51,0.377,3.286,1.227,0.454,1.000,26.101,27.274,8.065,9.385,2.800,3.600,26.686,8.784,3.325,26.686,8.784,3.325,0.784,0.589,0.419,49.970,-12.737,-48.449,1.329,1.870,1.407,26.394,8.554,2.800,0.081
52,0.090,1.023,0.523,0.852,-0.500,19.893,20.382,10.264,10.851,2.800,3.200,20.150,10.567,3.000,20.150,10.567,3.000,0.408,0.376,0.305,94.245,-90.000,115.622,1.087,1.337,1.230,19.991,10.362,2.800,0.081
53,0.151,1.506,0.693,0.755,-0.500,20.187,21.018,11.584,12.171,2.800,3.200,20.577,11.879,3.000,20.577,11.879,3.000,0.488,0.408,0.367,1.295,-2.134E-25,90.000,1.196,1.332,1.114,20.382,11.633,2.800,0.081
54,0.085,1.067,0.501,0.674,1.000,13.930,14.859,16.472,16.863,2.800,3.200,14.335,16.722,3.000,14.335,16.722,3.000,0.576,0.408,0.236,7.283,2.794E-26,90.000,1.410,2.443,1.732,14.126,16.570,2.800,0.081
55,0.091,1.300,0.744,0.425,0.500,15.299,15.934,17.596,18.280,2.800,3.200,15.584,17.868,3.000,15.584,17.868,3.000,0.408,0.405,0.372,92.419,-90.000,113.666,1.009,1.097,1.088,15.397,17.645,2.800,0.081
