Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,108.498,757.728,128.030,0.003,-126.500,6.647,32.259,0.733,16.570,0,4.800,21.376,7.473,1.860,21.376,7.473,1.860,13.702,7.212,2.439,20.413,1.435,0.020,1.900,5.619,2.958,22.191,4.937,0,0.261
2,4.068,31.060,5.708,0.062,-6.000,27.812,29.473,6.110,9.922,0,3.600,28.631,8.208,1.713,28.631,8.208,1.713,2.227,1.886,0.704,-83.396,17.979,-102.816,1.181,3.165,2.680,28.203,8.994,0,0.228
3,0.441,3.348,0.815,0.588,1.000,16.961,17.840,10.069,10.998,0,1.600,17.350,10.545,0.835,17.350,10.545,0.835,1.105,0.451,0.342,10.910,-75.015,169.187,2.447,3.228,1.319,17.205,10.509,0,0.179
4,2.156,14.936,2.438,0.158,0.000,13.099,15.788,10.313,13.099,0,2.000,14.702,11.809,0.845,14.702,11.809,0.845,1.847,1.102,0.450,47.661,-5.462,84.446,1.676,4.104,2.449,15.494,12.464,0,0.196
5,1.801,14.632,2.820,0.117,0.000,5.572,6.745,9.433,12.268,0,4.000,6.126,10.852,1.883,6.126,10.852,1.883,2.877,0.977,0.440,86.758,62.873,93.037,2.945,6.540,2.221,6.110,11.193,0,0.179
6,0.175,1.888,0.503,0.514,1.000,18.671,19.405,10.802,11.242,0,1.200,19.010,11.001,0.528,19.010,11.001,0.528,0.819,0.408,0.244,-45.798,-87.472,134.966,2.005,3.362,1.677,18.818,10.949,0,0.130
7,0.197,2.037,0.555,0.518,1.000,12.464,13.148,11.193,11.682,0,1.600,12.754,11.443,0.732,12.754,11.443,0.732,0.997,0.322,0.286,11.832,-79.679,55.563,3.095,3.484,1.126,12.708,11.389,0,0.163
8,0.869,6.534,1.091,0.306,3.000,8.749,9.727,10.900,12.659,0,1.600,9.202,11.914,0.765,9.202,11.914,0.765,1.213,0.739,0.394,-67.424,-48.160,-83.223,1.642,3.077,1.873,8.896,12.366,0,0.163
9,0.352,4.246,1.498,0.183,0.500,29.669,30.451,11.926,13.832,0,2.000,30.084,12.790,0.959,30.084,12.790,0.959,1.602,0.442,0.389,-80.482,44.713,107.473,3.621,4.122,1.138,30.011,12.024,0,0.081
10,0.177,1.684,0.447,0.741,1.000,13.588,14.028,12.024,12.562,0,1.200,13.798,12.291,0.585,13.798,12.291,0.585,0.847,0.314,0.258,29.986,-86.106,-164.955,2.702,3.278,1.213,13.784,12.220,0,0.179
11,1.675,9.829,1.172,0.334,0.000,5.132,6.794,12.855,14.321,0,2.000,5.866,13.586,0.754,5.866,13.586,0.754,1.062,0.891,0.667,-28.591,-69.508,118.394,1.191,1.592,1.337,5.816,13.735,0,0.196
12,79.839,535.051,84.301,0.005,-72.000,3.764,29.913,12.415,25.123,0,4.800,15.053,20.234,2.118,15.053,20.234,2.118,17.884,6.253,2.557,-6.451,1.423,-179.900,2.860,6.993,2.445,28.203,15.054,0,0.244
13,0.206,1.835,0.450,0.780,1.000,12.562,13.295,13.881,14.321,0,1.200,12.939,14.097,0.526,12.939,14.097,0.526,0.812,0.353,0.275,-1.289,-76.127,75.424,2.299,2.953,1.284,12.953,14.077,0,0.147
