 ,Value,Count
1,0,102122
2,1,20879
3,2,10258
4,3,7147
5,4,5240
6,5,4157
7,6,3394
8,7,2979
9,8,2312
10,9,2067
11,10,1799
12,11,1614
13,12,1410
14,13,1254
15,14,1155
16,15,993
17,16,937
18,17,933
19,18,853
20,19,815
21,20,763
22,21,710
23,22,660
24,23,670
25,24,569
26,25,556
27,26,561
28,27,532
29,28,487
30,29,462
31,30,482
32,31,450
33,32,437
34,33,393
35,34,412
36,35,426
37,36,374
38,37,364
39,38,321
40,39,339
41,40,355
42,41,332
43,42,311
44,43,300
45,44,335
46,45,303
47,46,300
48,47,271
49,48,280
50,49,259
51,50,258
52,51,228
53,52,258
54,53,263
55,54,232
56,55,224
57,56,251
58,57,216
59,58,229
60,59,226
61,60,220
62,61,189
63,62,193
64,63,204
65,64,171
66,65,176
67,66,165
68,67,162
69,68,149
70,69,166
71,70,162
72,71,159
73,72,154
74,73,152
75,74,145
76,75,159
77,76,143
78,77,147
79,78,117
80,79,118
81,80,117
82,81,139
83,82,106
84,83,102
85,84,109
86,85,106
87,86,89
88,87,90
89,88,100
90,89,104
91,90,86
92,91,75
93,92,76
94,93,77
95,94,77
96,95,72
97,96,65
98,97,72
99,98,65
100,99,69
101,100,59
102,101,70
103,102,79
104,103,54
105,104,67
106,105,65
107,106,53
108,107,54
109,108,46
110,109,51
111,110,42
112,111,45
113,112,45
114,113,32
115,114,44
116,115,30
117,116,31
118,117,34
119,118,28
120,119,27
121,120,23
122,121,18
123,122,16
124,123,15
125,124,27
126,125,13
127,126,16
128,127,17
129,128,19
130,129,12
131,130,15
132,131,7
133,132,5
134,133,11
135,134,7
136,135,9
137,136,12
138,137,11
139,138,12
140,139,10
141,140,11
142,141,15
143,142,9
144,143,5
145,144,7
146,145,5
147,146,9
148,147,10
149,148,5
150,149,10
151,150,5
152,151,5
153,152,3
154,153,6
155,154,6
156,155,6
157,156,8
158,157,6
159,158,4
160,159,12
161,160,6
162,161,2
163,162,2
164,163,7
165,164,2
166,165,7
167,166,4
168,167,4
169,168,5
170,169,4
171,170,3
172,171,3
173,172,1
174,173,4
175,174,1
176,175,2
177,176,5
178,177,1
179,178,3
180,179,4
181,180,1
182,181,3
183,182,1
184,183,2
185,184,0
186,185,1
187,186,0
188,187,0
189,188,0
190,189,0
191,190,0
192,191,0
193,192,0
194,193,0
195,194,0
196,195,0
197,196,0
198,197,0
199,198,0
200,199,0
201,200,0
202,201,0
203,202,0
204,203,0
205,204,0
206,205,0
207,206,0
208,207,0
209,208,0
210,209,0
211,210,0
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
