 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.043,0,0,0.043
2,1,0,2,0,23,1.179,0,0,1.179
3,1,0,2,0,12,0.606,0,0,0.606
4,1,0,2,0,8,0.471,0,0,0.471
5,1,0,2,0,7,0.393,0,0,0.393
6,0,0,1,0,0,0.000,0,0,0.000
7,1,0,2,0,2,0.128,0,0,0.128
8,1,0,2,0,0,0.043,0,0,0.043
9,1,0,2,0,8,0.489,0,0,0.489
10,1,0,2,0,6,0.368,0,0,0.368
11,1,0,2,0,4,0.230,0,0,0.230
12,1,0,2,0,3,0.223,0,0,0.223
13,1,0,2,0,26,1.325,0,0,1.325
14,3,1,3,1,10,0.208,1,0,0.315
15,1,0,2,0,1,0.103,0,0,0.103
