Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,0.508,4.774,0.994,0.269,0.000,27.518,28.594,1.222,2.102,0,2.000,28.053,1.710,1.155,28.053,1.710,1.155,1.191,0.638,0.338,-65.728,73.681,-159.025,1.866,3.526,1.889,27.714,1.760,1.200,0.130
2,0.086,1.020,0.416,0.789,1.000,26.199,26.736,2.248,2.737,0,0.800,26.462,2.522,0.271,26.462,2.522,0.271,0.538,0.334,0.259,-82.082,80.986,161.163,1.608,2.078,1.292,26.394,2.591,0.000,0.114
3,215.375,1719.393,285.923,0.001,-403.000,3.764,35.046,1.955,22.288,0,4.800,19.149,12.876,2.183,19.149,12.876,2.183,19.261,9.117,2.907,-18.482,0.523,-179.457,2.113,6.625,3.136,15.494,17.254,0.000,0.277
4,2.127,19.827,3.168,0.066,0.000,26.932,31.038,2.102,4.497,0,3.600,29.150,3.229,1.760,29.150,3.229,1.760,3.064,1.427,0.622,22.353,26.695,-92.888,2.148,4.923,2.292,30.744,4.106,0.000,0.163
5,1.350,12.486,3.627,0.106,1.000,19.111,22.093,4.252,7.087,0,1.200,20.704,5.680,0.450,20.704,5.680,0.450,2.345,0.845,0.699,-43.676,-3.536,-173.630,2.775,3.355,1.209,21.457,4.448,0.000,0.179
6,0.108,1.641,1.008,0.298,1.000,34.801,35.339,4.252,5.621,0,0.400,35.078,4.955,0.200,35.078,4.955,0.200,0.944,0.408,0.214,-74.786,-0.000,90.000,2.311,4.404,1.905,35.143,4.301,0.000,0.081
7,1.060,9.555,1.730,0.146,1.000,12.073,14.419,4.155,5.279,0,4.800,12.957,4.764,2.394,12.957,4.764,2.394,2.346,0.935,0.254,-18.066,-69.787,84.381,2.509,9.231,3.679,12.708,4.790,2.000,0.179
8,1.700,15.504,3.604,0.088,-0.500,14.028,18.965,4.546,6.403,0,2.000,16.508,5.294,0.736,16.508,5.294,0.736,2.510,1.296,0.480,-16.588,2.007,110.854,1.936,5.226,2.699,18.769,4.643,0.000,0.130
9,2.470,21.820,5.849,0.066,-4.000,13.490,18.769,6.452,9.531,0,1.600,16.227,7.586,0.549,16.227,7.586,0.549,3.251,1.186,0.860,10.548,0.032,9.912,2.742,3.779,1.378,17.694,7.820,0.000,0.147
10,1.934,17.036,2.661,0.086,1.500,10.118,12.611,6.599,8.651,0,4.000,11.270,7.474,1.196,11.270,7.474,1.196,2.319,1.412,0.643,-47.067,-75.356,94.506,1.642,3.604,2.195,10.753,7.625,0.000,0.179
11,0.451,5.015,1.571,0.182,2.000,24.439,25.954,6.892,8.309,0,2.400,25.245,7.634,0.695,25.245,7.634,0.695,1.611,0.798,0.332,-40.984,-52.635,88.513,2.020,4.853,2.402,24.928,7.918,0.000,0.130
12,3.282,25.647,5.037,0.072,-4.000,12.513,15.494,8.212,11.291,0,2.000,14.084,9.882,0.688,14.084,9.882,0.688,1.886,1.369,1.030,56.496,2.143,0.268,1.378,1.831,1.329,13.050,9.482,0.000,0.163
13,0.117,1.164,0.394,0.975,1.000,35.485,36.023,8.700,9.140,0,0.800,35.761,8.912,0.374,35.761,8.912,0.374,0.605,0.305,0.265,-4.537,84.591,-80.930,1.985,2.280,1.149,35.730,8.798,0.000,0.130
14,0.205,2.406,0.936,0.340,1.000,15.299,16.032,9.042,10.020,0,1.600,15.759,9.456,0.540,15.759,9.456,0.540,1.033,0.376,0.309,73.000,-65.853,-74.646,2.750,3.339,1.214,15.739,9.385,0.000,0.130
15,5.169,29.841,3.392,0.114,4.500,18.329,22.582,9.140,11.633,0,3.200,20.287,10.388,1.597,20.287,10.388,1.597,2.421,1.667,0.625,-29.269,-30.986,81.985,1.453,3.873,2.666,19.258,10.851,0.000,0.244
16,0.313,2.637,0.673,0.606,1.000,16.961,17.743,9.873,10.558,0,1.600,17.340,10.194,0.735,17.340,10.194,0.735,0.935,0.396,0.346,27.778,-82.576,83.590,2.364,2.702,1.143,17.205,10.069,0.000,0.179
17,0.279,2.473,0.609,0.582,1.000,15.934,16.863,10.020,10.607,0,1.600,16.293,10.293,0.682,16.293,10.293,0.682,0.948,0.435,0.275,17.255,-75.744,87.232,2.180,3.448,1.581,16.130,10.216,0.000,0.179
18,0.377,4.295,1.665,0.202,2.000,11.291,13.002,10.411,11.340,0,0.800,12.161,10.918,0.298,12.161,10.918,0.298,1.020,0.568,0.484,7.593,-2.998,70.823,1.796,2.109,1.174,11.926,10.704,0.000,0.130
19,0.115,1.608,0.554,0.358,1.000,21.018,21.457,10.558,11.242,0,1.600,21.246,10.897,0.790,21.246,10.897,0.790,0.881,0.377,0.201,80.014,-73.888,69.512,2.337,4.381,1.875,21.164,10.753,0.400,0.081
20,0.057,0.764,0.272,0.834,1.000,25.172,25.514,10.607,10.900,0,0.800,25.353,10.748,0.400,25.353,10.748,0.400,0.608,0.245,0.206,82.648,-85.069,12.512,2.484,2.943,1.185,25.319,10.704,0.000,0.130
21,0.190,1.858,0.618,0.638,-1.500,16.863,17.498,10.851,11.535,0,0.800,17.194,11.226,0.347,17.194,11.226,0.347,0.603,0.390,0.337,32.024,-77.850,5.349,1.548,1.789,1.156,17.156,11.193,0.000,0.130
22,0.438,5.135,1.629,0.160,0.000,17.205,18.720,11.828,13.539,0,2.000,17.864,12.507,1.109,17.864,12.507,1.109,1.273,1.016,0.293,-25.736,-40.123,64.904,1.253,4.340,3.464,17.498,12.317,0.000,0.130
23,0.488,4.484,1.113,0.299,0.000,19.111,20.382,12.366,13.197,0,2.000,19.697,12.807,0.922,19.697,12.807,0.922,1.268,0.464,0.400,-16.912,-68.443,133.730,2.736,3.173,1.160,19.453,12.806,0.000,0.179
