 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
91,1.598,255,255,255,9.949,1.655,1.229,69.638,0.203,1.347,0.743,0.604,239,866
92,0.414,255,255,255,4.008,1.356,0.389,120.592,0.324,3.486,0.287,0.658,428,869
93,1.751,241.302,0,255,8.842,1.639,1.360,65.473,0.282,1.205,0.830,0.606,346,875
94,0.574,255,255,255,3.767,1.003,0.728,45.011,0.508,1.379,0.725,0.793,593,875
95,0.259,255,255,255,2.500,0.860,0.383,133.889,0.520,2.243,0.446,0.775,305,879
96,0.384,255,255,255,2.369,0.820,0.596,100.799,0.859,1.375,0.727,0.942,541,879
97,0.528,255,255,255,4.419,1.145,0.587,77.280,0.340,1.949,0.513,0.728,492,892
98,0.248,255,255,255,2.139,0.682,0.463,9.022,0.681,1.475,0.678,0.828,173,896
99,0.203,255,255,255,2.004,0.588,0.439,92.099,0.634,1.340,0.746,0.836,557,903
100,0.373,255,255,255,3.647,0.849,0.559,32.192,0.352,1.518,0.659,0.626,455,911
101,0.599,255,255,255,3.321,1.083,0.704,108.421,0.682,1.538,0.650,0.845,169,920
102,0.590,255,255,255,3.236,1.228,0.612,31.841,0.708,2.007,0.498,0.896,286,949
103,1.252,255,255,255,8.526,2.610,0.611,109.376,0.216,4.272,0.234,0.655,433,965
104,0.306,255,255,255,2.535,0.813,0.479,122.665,0.598,1.700,0.588,0.807,341,973
105,0.438,255,255,255,4.323,1.289,0.432,41.656,0.294,2.980,0.336,0.621,412,979
106,0.219,255,255,255,2.514,0.979,0.285,95.501,0.435,3.442,0.291,0.727,354,984
107,1.218,255,255,255,8.381,1.395,1.111,153.261,0.218,1.256,0.796,0.620,332,994
108,1.210,255,255,255,8.281,2.566,0.601,97.425,0.222,4.274,0.234,0.678,298,1043
109,1.361,255,255,255,6.777,2.123,0.816,18.936,0.372,2.603,0.384,0.717,207,1092
110,0.798,255,255,255,3.877,1.197,0.849,101.976,0.667,1.410,0.709,0.878,338,1115
