 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0X_51_largestArea.tif,2.755,13.661,2.456,1.429,143.673,0.186,1.719,0.582,0.529,105,15
2,0X_51_largestArea.tif,0.481,3.987,1.248,0.491,19.956,0.380,2.541,0.394,0.682,122,61
3,0X_51_largestArea.tif,1.142,8.004,2.929,0.496,156.340,0.224,5.901,0.169,0.554,180,71
4,0X_51_largestArea.tif,0.233,1.884,0.723,0.411,134.568,0.827,1.760,0.568,0.905,113,81
5,0X_51_largestArea.tif,0.022,0.506,0.188,0.147,147.933,1.000,1.281,0.780,0.857,232,90
6,0X_51_largestArea.tif,0.087,1.062,0.345,0.320,149.405,0.967,1.079,0.927,0.881,134,91
7,0X_51_largestArea.tif,1.721,10.093,2.443,0.897,0.346,0.212,2.724,0.367,0.516,265,109
8,0X_51_largestArea.tif,2.868,18.598,2.930,1.246,128.082,0.104,2.351,0.425,0.437,345,110
9,0X_51_largestArea.tif,0.718,3.961,1.791,0.511,95.389,0.575,3.508,0.285,0.893,381,124
10,0X_51_largestArea.tif,0.051,0.797,0.270,0.239,0.000,1.000,1.131,0.884,0.875,317,135
11,0X_51_largestArea.tif,0.505,3.151,1.279,0.502,29.708,0.639,2.546,0.393,0.827,319,146
12,0X_51_largestArea.tif,0.434,4.524,2.012,0.275,146.747,0.267,7.325,0.137,0.725,264,154
13,0X_51_largestArea.tif,0.103,1.523,0.634,0.207,172.524,0.559,3.057,0.327,0.797,331,161
14,0X_51_largestArea.tif,0.031,0.591,0.222,0.176,74.828,1.000,1.263,0.792,0.919,450,164
15,0X_51_largestArea.tif,0.139,2.079,0.835,0.212,100.266,0.405,3.931,0.254,0.681,409,166
16,0X_51_largestArea.tif,0.968,5.288,2.272,0.542,95.442,0.435,4.188,0.239,0.829,433,173
17,0X_51_largestArea.tif,0.172,1.788,0.731,0.299,158.768,0.675,2.443,0.409,0.868,275,176
18,0X_51_largestArea.tif,0.054,0.842,0.322,0.215,138.578,0.962,1.499,0.667,0.833,322,177
19,0X_51_largestArea.tif,0.834,5.991,1.460,0.727,149.100,0.292,2.008,0.498,0.581,383,191
20,0X_51_largestArea.tif,0.101,1.158,0.364,0.354,107.053,0.950,1.030,0.971,0.868,409,191
21,0X_51_largestArea.tif,0.060,0.892,0.314,0.242,66.581,0.943,1.294,0.773,0.846,493,193
22,0X_51_largestArea.tif,0.134,1.533,0.626,0.272,22.138,0.716,2.299,0.435,0.846,350,197
23,0X_51_largestArea.tif,0.228,2.203,0.948,0.306,81.370,0.590,3.097,0.323,0.857,469,198
24,0X_51_largestArea.tif,0.063,0.942,0.348,0.232,103.687,0.897,1.504,0.665,0.875,364,212
25,0X_51_largestArea.tif,0.139,1.548,0.610,0.291,23.172,0.731,2.098,0.477,0.870,461,220
26,0X_51_largestArea.tif,0.154,1.707,0.768,0.255,92.000,0.663,3.008,0.332,0.924,348,223
27,0X_51_largestArea.tif,1.143,8.030,2.160,0.674,64.730,0.223,3.204,0.312,0.442,367,224
28,0X_51_largestArea.tif,0.067,1.037,0.342,0.249,115.310,0.782,1.374,0.728,0.822,545,236
29,0X_51_largestArea.tif,0.138,1.328,0.483,0.363,136.203,0.980,1.331,0.751,0.916,493,238
30,0X_51_largestArea.tif,0.143,1.848,0.696,0.261,81.642,0.526,2.662,0.376,0.778,383,239
31,0X_51_largestArea.tif,0.168,1.969,0.843,0.254,25.029,0.546,3.318,0.301,0.816,404,257
32,0X_51_largestArea.tif,0.101,1.147,0.386,0.335,77.276,0.967,1.152,0.868,0.896,565,261
33,0X_51_largestArea.tif,2.743,18.836,2.290,1.525,145.950,0.097,1.501,0.666,0.304,296,265
34,0X_51_largestArea.tif,0.279,2.599,1.070,0.331,3.590,0.518,3.229,0.310,0.792,482,266
35,0X_51_largestArea.tif,1.310,8.255,2.785,0.599,132.185,0.242,4.649,0.215,0.563,496,272
36,0X_51_largestArea.tif,0.308,3.066,1.387,0.282,146.822,0.411,4.909,0.204,0.764,559,277
37,0X_51_largestArea.tif,3.105,14.399,3.450,1.146,123.321,0.188,3.011,0.332,0.581,597,278
38,0X_51_largestArea.tif,0.047,0.782,0.266,0.226,150.350,0.967,1.178,0.849,0.812,486,285
39,0X_51_largestArea.tif,0.141,1.753,0.744,0.242,9.794,0.577,3.080,0.325,0.825,405,286
40,0X_51_largestArea.tif,0.387,3.257,1.439,0.343,36.248,0.459,4.200,0.238,0.834,421,293
41,0X_51_largestArea.tif,0.185,1.573,0.557,0.422,64.693,0.938,1.318,0.759,0.944,490,295
42,0X_51_largestArea.tif,0.080,1.002,0.335,0.302,162.809,0.996,1.108,0.903,0.898,395,297
43,0X_51_largestArea.tif,0.148,1.413,0.447,0.423,14.995,0.934,1.057,0.946,0.906,472,306
44,0X_51_largestArea.tif,1.172,8.647,1.440,1.037,157.154,0.197,1.389,0.720,0.581,497,308
45,0X_51_largestArea.tif,3.854,24.859,2.968,1.653,121.142,0.078,1.795,0.557,0.244,562,317
46,0X_51_largestArea.tif,1.228,7.168,1.559,1.003,47.773,0.300,1.553,0.644,0.666,441,327
47,0X_51_largestArea.tif,0.081,1.037,0.355,0.292,81.452,0.951,1.214,0.824,0.865,467,333
48,0X_51_largestArea.tif,0.072,1.147,0.483,0.191,111.748,0.691,2.529,0.395,0.842,349,343
49,0X_51_largestArea.tif,0.161,1.558,0.597,0.343,103.306,0.834,1.740,0.575,0.881,513,351
50,0X_51_largestArea.tif,0.300,2.801,1.177,0.325,39.425,0.481,3.622,0.276,0.763,462,352
51,0X_51_largestArea.tif,0.049,0.761,0.274,0.227,167.508,1.000,1.210,0.826,0.947,592,355
52,0X_51_largestArea.tif,0.557,3.417,1.381,0.514,123.553,0.600,2.686,0.372,0.822,324,357
53,0X_51_largestArea.tif,0.166,1.508,0.517,0.410,168.685,0.920,1.263,0.792,0.893,397,360
