 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0X_03_largestArea.tif,0.382,3.601,1.174,0.414,102.706,0.370,2.834,0.353,0.604,138,44
2,0X_03_largestArea.tif,1.342,10.014,1.846,0.926,133.585,0.168,1.993,0.502,0.546,160,49
3,0X_03_largestArea.tif,0.206,1.778,0.692,0.379,97.538,0.820,1.825,0.548,0.919,85,65
4,0X_03_largestArea.tif,0.100,1.257,0.504,0.252,100.320,0.791,2.001,0.500,0.909,55,86
5,0X_03_largestArea.tif,0.170,2.129,0.947,0.229,104.467,0.472,4.143,0.241,0.780,203,107
6,0X_03_largestArea.tif,0.201,2.139,0.898,0.285,73.210,0.552,3.156,0.317,0.813,225,111
7,0X_03_largestArea.tif,0.087,1.147,0.437,0.253,87.536,0.829,1.725,0.580,0.889,235,113
8,0X_03_largestArea.tif,0.123,1.317,0.511,0.306,95.773,0.891,1.669,0.599,0.925,77,120
9,0X_03_largestArea.tif,0.033,0.651,0.211,0.196,45.000,0.965,1.076,0.930,0.857,67,122
10,0X_03_largestArea.tif,1.109,9.520,1.309,1.078,75.721,0.154,1.214,0.824,0.401,233,127
11,0X_03_largestArea.tif,0.116,1.207,0.397,0.372,158.842,0.998,1.067,0.937,0.914,66,132
12,0X_03_largestArea.tif,0.054,0.832,0.293,0.236,117.126,0.986,1.245,0.804,0.870,216,135
13,0X_03_largestArea.tif,0.237,2.313,1.050,0.287,92.002,0.557,3.652,0.274,0.900,70,144
14,0X_03_largestArea.tif,0.078,1.062,0.405,0.244,60.243,0.867,1.658,0.603,0.869,263,144
15,0X_03_largestArea.tif,0.331,2.765,0.701,0.601,145.633,0.544,1.167,0.857,0.812,269,175
16,0X_03_largestArea.tif,2.144,17.358,1.996,1.368,109.743,0.089,1.459,0.686,0.400,295,185
17,0X_03_largestArea.tif,0.071,1.062,0.408,0.220,162.209,0.786,1.850,0.541,0.867,265,211
18,0X_03_largestArea.tif,0.425,4.199,1.417,0.382,64.249,0.303,3.710,0.270,0.578,293,232
19,0X_03_largestArea.tif,0.237,3.487,1.257,0.240,47.816,0.245,5.234,0.191,0.508,224,233
20,0X_03_largestArea.tif,0.051,0.917,0.383,0.168,61.220,0.757,2.273,0.440,0.812,343,233
21,0X_03_largestArea.tif,0.123,1.398,0.573,0.273,36.615,0.791,2.097,0.477,0.872,257,245
22,0X_03_largestArea.tif,0.199,2.620,1.215,0.209,58.581,0.364,5.824,0.172,0.707,341,251
23,0X_03_largestArea.tif,0.147,1.533,0.617,0.302,58.310,0.784,2.040,0.490,0.895,241,256
24,0X_03_largestArea.tif,0.101,1.147,0.429,0.300,171.054,0.967,1.429,0.700,0.911,259,258
25,0X_03_largestArea.tif,0.098,1.137,0.368,0.338,67.046,0.950,1.089,0.918,0.923,178,265
26,0X_03_largestArea.tif,0.702,5.956,2.164,0.413,158.572,0.249,5.239,0.191,0.539,140,267
27,0X_03_largestArea.tif,0.208,2.159,0.873,0.303,42.055,0.561,2.876,0.348,0.754,199,267
28,0X_03_largestArea.tif,0.150,1.413,0.464,0.412,76.796,0.946,1.126,0.888,0.902,215,273
29,0X_03_largestArea.tif,0.161,1.473,0.549,0.374,105.065,0.933,1.469,0.681,0.913,253,282
30,0X_03_largestArea.tif,1.350,9.082,1.690,1.017,35.920,0.206,1.662,0.602,0.555,209,286
31,0X_03_largestArea.tif,0.181,1.759,0.725,0.318,42.466,0.735,2.284,0.438,0.844,283,293
32,0X_03_largestArea.tif,0.268,2.384,1.021,0.334,89.689,0.592,3.060,0.327,0.878,248,297
33,0X_03_largestArea.tif,0.572,3.848,1.292,0.563,15.512,0.485,2.293,0.436,0.752,178,298
34,0X_03_largestArea.tif,1.328,10.713,1.622,1.042,120.764,0.145,1.556,0.643,0.420,146,300
35,0X_03_largestArea.tif,0.069,0.952,0.312,0.280,162.447,0.953,1.115,0.896,0.844,111,306
36,0X_03_largestArea.tif,0.371,2.786,1.209,0.391,47.158,0.601,3.096,0.323,0.818,200,323
37,0X_03_largestArea.tif,0.105,1.243,0.465,0.287,33.132,0.854,1.616,0.619,0.879,164,324
38,0X_03_largestArea.tif,0.118,1.342,0.514,0.291,85.960,0.820,1.763,0.567,0.897,251,329
39,0X_03_largestArea.tif,0.103,1.182,0.398,0.330,45.000,0.927,1.205,0.830,0.877,237,330
40,0X_03_largestArea.tif,0.049,0.882,0.384,0.162,173.552,0.790,2.374,0.421,0.871,188,355
41,0X_03_largestArea.tif,0.063,0.867,0.293,0.275,134.997,1.000,1.066,0.938,0.875,161,368
