 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,6X_15_largestArea.tif,3.128,22.285,3.990,0.998,81.253,0.079,3.997,0.250,0.441,125,65
2,6X_15_largestArea.tif,1.900,13.872,2.244,1.078,66.483,0.124,2.081,0.480,0.567,93,73
3,6X_15_largestArea.tif,0.138,1.653,0.709,0.247,156.363,0.632,2.872,0.348,0.822,167,134
4,6X_15_largestArea.tif,0.346,3.631,1.594,0.276,96.710,0.329,5.775,0.173,0.715,66,136
5,6X_15_largestArea.tif,0.280,2.079,0.813,0.439,19.577,0.816,1.853,0.540,0.914,150,136
6,6X_15_largestArea.tif,0.156,1.508,0.540,0.367,122.354,0.860,1.470,0.680,0.873,80,141
7,6X_15_largestArea.tif,0.360,3.375,1.549,0.296,73.370,0.397,5.234,0.191,0.791,104,148
8,6X_15_largestArea.tif,0.072,0.952,0.332,0.278,169.843,1.000,1.196,0.836,0.870,175,148
9,6X_15_largestArea.tif,0.154,1.473,0.526,0.372,82.211,0.891,1.415,0.707,0.890,68,182
10,6X_15_largestArea.tif,1.104,9.444,3.339,0.421,86.724,0.156,7.933,0.126,0.575,96,193
11,6X_15_largestArea.tif,2.419,18.083,3.719,0.828,91.880,0.093,4.490,0.223,0.291,121,197
12,6X_15_largestArea.tif,0.090,1.268,0.518,0.223,72.123,0.708,2.326,0.430,0.833,74,201
13,6X_15_largestArea.tif,7.056,32.929,3.813,2.356,77.520,0.082,1.618,0.618,0.467,169,281
14,6X_15_largestArea.tif,0.233,1.884,0.740,0.402,54.716,0.827,1.842,0.543,0.918,233,288
15,6X_15_largestArea.tif,0.166,1.558,0.596,0.356,37.934,0.862,1.674,0.597,0.911,95,293
16,6X_15_largestArea.tif,0.483,2.610,0.892,0.689,121.873,0.891,1.294,0.773,0.930,112,297
17,6X_15_largestArea.tif,0.270,2.074,0.860,0.399,143.779,0.787,2.156,0.464,0.900,94,309
18,6X_15_largestArea.tif,0.127,1.753,0.754,0.214,103.885,0.518,3.530,0.283,0.773,236,309
19,6X_15_largestArea.tif,0.215,1.848,0.749,0.366,115.916,0.792,2.044,0.489,0.915,148,316
20,6X_15_largestArea.tif,0.241,1.834,0.591,0.519,98.346,0.899,1.139,0.878,0.902,122,322
21,6X_15_largestArea.tif,0.147,1.944,0.780,0.239,25.248,0.487,3.264,0.306,0.681,92,330
22,6X_15_largestArea.tif,0.233,1.933,0.741,0.401,86.554,0.785,1.847,0.541,0.878,162,340
23,6X_15_largestArea.tif,1.129,5.630,2.214,0.649,86.877,0.448,3.410,0.293,0.747,142,345
24,6X_15_largestArea.tif,0.215,1.774,0.583,0.470,53.173,0.860,1.241,0.806,0.895,177,414
