 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,19,10,5,21,121,1.166,8,1,3.955
2,9,4,6,4,70,0.988,4,0,3.155
3,740,387,162,963,4688,1.095,291,57,5.953
4,1,0,2,0,0,0.069,0,0,0.069
5,8,4,4,8,40,0.839,4,0,1.393
6,1,0,2,0,12,0.818,0,0,0.818
7,7,3,5,5,60,0.910,3,0,2.714
8,5,2,4,4,9,0.684,2,0,0.881
9,719,379,175,1258,4644,1.114,295,60,5.139
10,3,1,3,3,21,0.965,1,0,1.171
11,31,15,15,24,164,1.060,13,2,3.264
12,1,0,2,0,6,0.383,0,0,0.383
13,1,0,2,0,4,0.642,0,0,0.642
14,1,0,2,0,20,1.310,0,0,1.310
15,0,0,1,0,0,0.000,0,0,0.000
16,3,1,3,1,5,0.269,1,0,0.570
17,3,1,3,1,19,0.412,1,0,0.550
18,6,3,3,5,36,0.700,3,0,1.097
19,1,0,2,0,8,0.878,0,0,0.878
20,1,0,2,0,1,0.118,0,0,0.118
21,1,0,2,0,2,0.167,0,0,0.167
22,3,1,3,1,25,0.760,1,0,1.001
23,1,0,2,0,12,0.990,0,0,0.990
24,1,0,2,0,3,0.196,0,0,0.196
25,3,1,3,1,63,2.259,1,0,4.832
26,6,3,3,5,34,0.581,3,0,1.091
27,1,0,2,0,2,0.147,0,0,0.147
28,1,0,2,0,8,1.212,0,0,1.212
29,3,1,3,1,16,0.608,1,0,0.927
30,1,0,2,0,12,1.172,0,0,1.172
31,1,0,2,0,1,0.118,0,0,0.118
32,1,0,2,0,3,0.593,0,0,0.593
33,1,0,2,0,9,0.610,0,0,0.610
34,1,0,2,0,5,0.374,0,0,0.374
35,1,0,2,0,13,0.826,0,0,0.826
36,1,0,2,0,16,0.892,0,0,0.892
37,1,0,2,0,2,0.147,0,0,0.147
38,1,0,2,0,40,2.766,0,0,2.766
39,3,1,3,1,20,0.687,1,0,0.999
40,1,0,2,0,11,0.647,0,0,0.647
