Value
55
51
52
76
66
45
7
7
20
4
56
46
43
42
38
42
11
12
9
22
17
11
15
11
36
32
31
31
27
30
20
15
14
16
10
15
11
15
18
24
33
25
23
25
27
18
15
20
22
32
26
41
32
25
46
42
18
16
31
15
8
78
37
39
33
43
55
39
25
29
30
28
31
9
11
39
34
15
9
23
7
6
15
55
26
30
13
22
21
20
10
10
6
8
10
7
4
54
58
31
37
39
22
5
16
39
28
55
27
20
13
16
18
11
13
16
15
33
43
37
44
35
41
27
15
7
17
31
19
14
27
35
24
42
28
19
29
19
15
11
24
32
37
35
22
17
24
23
31
20
21
16
37
34
32
31
28
9
12
13
12
10
9
3
3
6
4
4
33
25
23
46
16
35
39
46
31
22
36
23
8
17
11
16
23
14
17
14
16
27
42
39
30
39
26
23
42
26
29
10
9
11
9
7
9
4
3
11
4
6
6
42
48
49
41
39
35
41
47
41
15
7
12
27
16
19
15
22
14
21
14
14
