 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1324,683,405,1722,9390,1.227,556,80,6.833
2,24,11,10,34,188,1.187,8,2,6.370
3,1,0,2,0,1,0.475,0,0,0.475
4,1,0,2,0,9,0.927,0,0,0.927
5,1,0,2,0,14,1.647,0,0,1.647
6,3,1,3,3,15,0.744,1,0,1.609
7,3,1,3,1,25,1.028,1,0,1.661
8,1,0,2,0,42,3.750,0,0,3.750
9,7,3,5,7,77,1.790,3,0,3.356
10,1,0,2,0,9,0.610,0,0,0.610
11,1,0,2,0,9,0.550,0,0,0.550
12,17,7,8,19,101,1.256,4,2,3.303
13,1,0,2,0,7,1.183,0,0,1.183
14,1,0,2,0,24,2.588,0,0,2.588
15,3,1,3,3,15,0.611,1,0,0.789
16,1,0,2,0,0,0.049,0,0,0.049
17,1,0,2,0,10,0.996,0,0,0.996
18,0,0,1,0,0,0.000,0,0,0.000
19,9,4,6,8,29,0.777,4,0,0.979
20,1,0,2,0,13,1.914,0,0,1.914
21,3,1,3,1,14,0.673,1,0,0.996
22,3,1,3,3,16,0.759,1,0,1.094
23,1,0,2,0,14,0.814,0,0,0.814
24,14,7,6,12,111,1.085,6,1,3.152
25,1,0,2,0,21,1.655,0,0,1.655
26,1,0,2,0,7,0.786,0,0,0.786
27,3,1,3,1,12,0.878,1,0,0.976
28,4,2,2,4,39,1.196,2,0,1.825
29,3,1,3,3,11,0.677,1,0,0.944
30,1,0,2,0,1,0.098,0,0,0.098
31,3,1,3,1,28,1.290,1,0,2.242
32,1,0,2,0,10,1.310,0,0,1.310
33,3,1,3,3,25,1.623,1,0,2.312
34,3,1,3,3,14,0.832,1,0,0.947
35,2,1,1,1,42,2.616,1,0,4.476
36,3,1,3,1,15,0.802,1,0,1.646
37,1,0,2,0,12,1.471,0,0,1.471
38,5,2,4,2,11,0.462,2,0,1.146
39,3,1,3,1,23,0.840,1,0,1.761
40,1,0,2,0,18,1.860,0,0,1.860
41,1,0,2,0,13,0.846,0,0,0.846
42,1,0,2,0,15,1.197,0,0,1.197
43,1,0,2,0,22,2.294,0,0,2.294
44,3,1,3,1,2,0.349,1,0,0.455
45,1,0,2,0,26,3.241,0,0,3.241
46,1,0,2,0,4,0.622,0,0,0.622
