 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,3X_44_largestArea.tif,1.268,7.272,2.834,0.570,85.678,0.301,4.972,0.201,0.615,462,192
2,3X_44_largestArea.tif,1.033,6.960,3.011,0.437,142.832,0.268,6.891,0.145,0.669,349,194
3,3X_44_largestArea.tif,5.931,36.238,5.286,1.429,50.745,0.057,3.700,0.270,0.477,284,214
4,3X_44_largestArea.tif,0.172,1.774,0.703,0.311,51.092,0.687,2.257,0.443,0.860,236,219
5,3X_44_largestArea.tif,2.846,16.372,3.457,1.048,59.435,0.133,3.298,0.303,0.541,192,228
6,3X_44_largestArea.tif,1.022,5.869,2.038,0.639,86.121,0.373,3.190,0.313,0.750,372,234
7,3X_44_largestArea.tif,0.036,0.687,0.260,0.177,35.210,0.965,1.465,0.683,0.833,219,236
8,3X_44_largestArea.tif,0.302,2.865,1.182,0.325,86.208,0.463,3.631,0.275,0.741,361,244
9,3X_44_largestArea.tif,1.348,8.579,3.615,0.475,76.131,0.230,7.614,0.131,0.666,423,244
10,3X_44_largestArea.tif,1.234,7.072,2.056,0.764,36.342,0.310,2.691,0.372,0.609,329,254
11,3X_44_largestArea.tif,0.326,3.241,1.205,0.344,161.939,0.390,3.504,0.285,0.699,247,262
12,3X_44_largestArea.tif,0.995,6.076,1.436,0.883,13.044,0.339,1.627,0.615,0.631,286,267
13,3X_44_largestArea.tif,6.085,36.423,3.267,2.371,10.321,0.058,1.378,0.726,0.384,332,290
14,3X_44_largestArea.tif,0.651,3.672,1.470,0.564,155.920,0.607,2.606,0.384,0.818,307,299
15,3X_44_largestArea.tif,0.100,1.147,0.391,0.324,67.913,0.950,1.209,0.827,0.902,394,314
16,3X_44_largestArea.tif,0.038,0.687,0.232,0.208,75.964,1.000,1.116,0.896,0.857,393,328
17,3X_44_largestArea.tif,0.058,0.917,0.387,0.191,47.164,0.865,2.029,0.493,0.889,151,333
18,3X_44_largestArea.tif,0.043,0.747,0.246,0.224,25.402,0.978,1.098,0.911,0.828,197,333
19,3X_44_largestArea.tif,0.990,5.218,2.340,0.538,13.922,0.457,4.347,0.230,0.880,243,334
20,3X_44_largestArea.tif,0.118,1.353,0.450,0.332,70.777,0.808,1.355,0.738,0.867,333,337
21,3X_44_largestArea.tif,0.109,1.207,0.381,0.363,79.980,0.936,1.051,0.951,0.882,391,343
22,3X_44_largestArea.tif,0.031,0.626,0.218,0.180,152.935,0.985,1.209,0.827,0.829,324,348
23,3X_44_largestArea.tif,0.031,0.626,0.229,0.171,149.930,0.985,1.343,0.744,0.829,287,353
24,3X_44_largestArea.tif,0.564,3.906,1.654,0.434,170.851,0.465,3.808,0.263,0.785,227,356
25,3X_44_largestArea.tif,0.266,2.019,0.774,0.437,12.459,0.820,1.769,0.565,0.922,424,358
26,3X_44_largestArea.tif,0.175,1.989,0.816,0.274,42.669,0.557,2.982,0.335,0.752,404,360
27,3X_44_largestArea.tif,0.335,2.585,1.100,0.387,24.599,0.630,2.838,0.352,0.867,279,371
28,3X_44_largestArea.tif,0.297,2.104,0.797,0.474,101.468,0.843,1.680,0.595,0.919,399,401
29,3X_44_largestArea.tif,2.388,13.204,2.702,1.125,100.530,0.172,2.401,0.416,0.433,470,406
