 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,3X_49_largestArea.tif,0.219,2.871,1.079,0.258,122.872,0.334,4.176,0.239,0.607,183,65
2,3X_49_largestArea.tif,0.177,1.948,0.828,0.273,98.220,0.587,3.034,0.330,0.845,180,82
3,3X_49_largestArea.tif,0.715,5.404,1.840,0.495,149.062,0.307,3.720,0.269,0.602,88,149
4,3X_49_largestArea.tif,0.132,1.413,0.527,0.319,89.986,0.832,1.649,0.606,0.869,142,153
5,3X_49_largestArea.tif,0.541,4.176,1.839,0.375,87.755,0.390,4.908,0.204,0.764,134,203
6,3X_49_largestArea.tif,0.174,1.693,0.694,0.319,100.626,0.762,2.179,0.459,0.906,149,213
7,3X_49_largestArea.tif,0.995,7.197,1.483,0.855,109.240,0.241,1.735,0.576,0.475,163,250
8,3X_49_largestArea.tif,1.746,15.128,2.570,0.865,155.696,0.096,2.971,0.337,0.273,185,270
9,3X_49_largestArea.tif,0.121,1.257,0.409,0.377,110.947,0.964,1.083,0.923,0.924,139,285
10,3X_49_largestArea.tif,0.554,4.969,1.546,0.456,125.901,0.282,3.391,0.295,0.503,250,289
11,3X_49_largestArea.tif,0.331,2.614,1.160,0.363,175.570,0.609,3.193,0.313,0.917,301,291
12,3X_49_largestArea.tif,0.353,3.321,1.208,0.372,158.612,0.402,3.250,0.308,0.690,198,308
13,3X_49_largestArea.tif,0.170,1.618,0.589,0.368,84.572,0.816,1.599,0.625,0.883,278,308
14,3X_49_largestArea.tif,0.147,1.668,0.677,0.276,162.741,0.662,2.457,0.407,0.866,317,318
15,3X_49_largestArea.tif,0.355,2.850,0.968,0.467,16.268,0.548,2.073,0.482,0.772,164,319
16,3X_49_largestArea.tif,0.384,4.514,1.755,0.278,54.120,0.237,6.309,0.159,0.562,228,319
17,3X_49_largestArea.tif,0.914,7.844,1.327,0.877,42.395,0.187,1.513,0.661,0.421,309,327
18,3X_49_largestArea.tif,0.116,1.317,0.499,0.295,3.027,0.838,1.690,0.592,0.908,259,330
19,3X_49_largestArea.tif,0.054,0.857,0.276,0.251,22.547,0.929,1.101,0.909,0.857,271,340
20,3X_49_largestArea.tif,0.266,2.890,1.109,0.305,83.077,0.400,3.632,0.275,0.679,158,341
21,3X_49_largestArea.tif,0.233,1.884,0.681,0.437,89.812,0.827,1.559,0.641,0.893,303,345
22,3X_49_largestArea.tif,0.065,0.942,0.329,0.252,96.507,0.923,1.309,0.764,0.878,233,346
23,3X_49_largestArea.tif,0.156,2.043,0.828,0.239,68.630,0.468,3.461,0.289,0.720,318,346
24,3X_49_largestArea.tif,0.405,3.467,1.293,0.399,68.033,0.424,3.238,0.309,0.687,260,348
25,3X_49_largestArea.tif,1.346,7.935,2.444,0.701,74.273,0.269,3.485,0.287,0.597,324,355
26,3X_49_largestArea.tif,0.380,2.940,1.183,0.409,4.944,0.552,2.891,0.346,0.845,236,359
27,3X_49_largestArea.tif,0.378,3.668,1.676,0.287,147.340,0.353,5.834,0.171,0.694,209,369
28,3X_49_largestArea.tif,0.072,0.977,0.349,0.264,23.630,0.953,1.320,0.758,0.879,302,373
29,3X_49_largestArea.tif,0.150,1.413,0.459,0.417,1.742,0.946,1.102,0.907,0.907,278,378
30,3X_49_largestArea.tif,0.239,1.873,0.741,0.410,159.209,0.855,1.808,0.553,0.930,257,385
31,3X_49_largestArea.tif,0.369,3.697,1.320,0.356,105.191,0.339,3.709,0.270,0.577,289,391
32,3X_49_largestArea.tif,0.094,1.243,0.470,0.255,28.964,0.766,1.843,0.542,0.819,251,400
33,3X_49_largestArea.tif,1.780,13.485,2.259,1.003,165.288,0.123,2.252,0.444,0.469,272,401
34,3X_49_largestArea.tif,0.110,1.218,0.393,0.357,68.652,0.935,1.101,0.908,0.865,191,408
35,3X_49_largestArea.tif,0.186,1.703,0.656,0.362,107.767,0.807,1.813,0.552,0.888,277,447
36,3X_49_largestArea.tif,0.128,1.388,0.561,0.292,130.138,0.838,1.922,0.520,0.893,249,456
