 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,1X_01_largestArea.tif,0.839,7.298,2.637,0.405,27.380,0.198,6.505,0.154,0.499,406,36
2,1X_01_largestArea.tif,2.491,17.364,3.153,1.006,169.975,0.104,3.134,0.319,0.380,442,41
3,1X_01_largestArea.tif,0.147,1.448,0.528,0.353,1.052,0.878,1.494,0.669,0.880,503,81
4,1X_01_largestArea.tif,0.422,3.091,1.306,0.411,147.298,0.554,3.179,0.315,0.843,511,96
5,1X_01_largestArea.tif,0.277,2.489,1.075,0.328,22.347,0.561,3.279,0.305,0.872,624,104
6,1X_01_largestArea.tif,0.309,2.624,1.148,0.343,76.908,0.564,3.345,0.299,0.812,639,104
7,1X_01_largestArea.tif,4.377,23.790,3.991,1.396,66.460,0.097,2.859,0.350,0.467,539,118
8,1X_01_largestArea.tif,0.291,2.740,0.978,0.379,166.126,0.487,2.579,0.388,0.716,641,138
9,1X_01_largestArea.tif,0.387,3.942,1.677,0.294,73.603,0.313,5.708,0.175,0.660,657,157
10,1X_01_largestArea.tif,0.251,1.838,0.620,0.517,71.919,0.935,1.199,0.834,0.936,612,171
11,1X_01_largestArea.tif,0.076,0.977,0.334,0.289,122.658,1.000,1.155,0.866,0.884,548,173
12,1X_01_largestArea.tif,0.474,3.823,1.110,0.544,81.911,0.408,2.040,0.490,0.613,490,183
13,1X_01_largestArea.tif,0.711,5.195,1.356,0.668,82.047,0.331,2.032,0.492,0.550,478,194
14,1X_01_largestArea.tif,2.907,17.571,2.562,1.445,7.336,0.118,1.773,0.564,0.450,319,197
15,1X_01_largestArea.tif,0.110,1.218,0.403,0.349,5.607,0.935,1.156,0.865,0.871,555,200
16,1X_01_largestArea.tif,0.465,3.913,1.562,0.379,21.139,0.382,4.122,0.243,0.699,562,214
17,1X_01_largestArea.tif,0.221,2.089,0.904,0.311,27.996,0.636,2.909,0.344,0.859,588,215
18,1X_01_largestArea.tif,0.165,1.498,0.493,0.425,141.019,0.922,1.161,0.861,0.901,389,217
19,1X_01_largestArea.tif,0.633,5.224,1.231,0.655,46.806,0.292,1.880,0.532,0.626,524,218
20,1X_01_largestArea.tif,0.302,2.726,1.165,0.330,40.393,0.511,3.527,0.283,0.823,291,225
21,1X_01_largestArea.tif,1.288,9.904,2.063,0.795,132.953,0.165,2.596,0.385,0.562,339,229
22,1X_01_largestArea.tif,0.201,1.643,0.558,0.458,165.681,0.935,1.218,0.821,0.917,420,230
23,1X_01_largestArea.tif,0.033,0.651,0.246,0.169,53.392,0.965,1.460,0.685,0.857,455,230
24,1X_01_largestArea.tif,0.592,4.668,1.707,0.441,1.051,0.341,3.868,0.259,0.674,599,237
25,1X_01_largestArea.tif,1.666,12.489,2.603,0.815,23.603,0.134,3.194,0.313,0.375,452,238
26,1X_01_largestArea.tif,4.013,25.517,3.091,1.653,16.868,0.077,1.870,0.535,0.393,336,239
27,1X_01_largestArea.tif,0.163,1.618,0.624,0.332,68.065,0.782,1.879,0.532,0.874,610,241
28,1X_01_largestArea.tif,0.224,1.799,0.618,0.462,21.983,0.872,1.336,0.749,0.895,389,243
29,1X_01_largestArea.tif,0.814,5.682,2.171,0.477,33.179,0.317,4.547,0.220,0.699,503,248
30,1X_01_largestArea.tif,0.264,1.884,0.645,0.521,66.589,0.936,1.238,0.808,0.921,536,248
31,1X_01_largestArea.tif,0.029,0.602,0.199,0.185,150.767,1.000,1.076,0.929,0.821,417,255
32,1X_01_largestArea.tif,0.145,1.398,0.441,0.418,95.436,0.930,1.055,0.947,0.879,572,258
33,1X_01_largestArea.tif,0.116,1.257,0.429,0.344,75.214,0.921,1.247,0.802,0.908,558,264
34,1X_01_largestArea.tif,0.251,1.848,0.674,0.475,168.041,0.925,1.419,0.704,0.933,519,273
35,1X_01_largestArea.tif,1.540,11.912,2.103,0.932,28.399,0.136,2.255,0.443,0.495,241,286
36,1X_01_largestArea.tif,0.179,1.568,0.551,0.414,92.375,0.915,1.329,0.752,0.900,151,299
37,1X_01_largestArea.tif,0.141,1.658,0.694,0.259,5.810,0.645,2.681,0.373,0.857,459,301
38,1X_01_largestArea.tif,0.201,1.633,0.534,0.479,67.547,0.947,1.115,0.897,0.937,384,303
39,1X_01_largestArea.tif,0.577,4.002,1.732,0.424,71.329,0.453,4.083,0.245,0.818,164,312
40,1X_01_largestArea.tif,0.080,1.197,0.521,0.195,20.291,0.698,2.678,0.373,0.880,238,319
41,1X_01_largestArea.tif,0.096,1.097,0.373,0.327,17.456,1.000,1.139,0.878,0.891,362,320
42,1X_01_largestArea.tif,0.121,1.243,0.440,0.351,28.293,0.987,1.253,0.798,0.905,248,324
43,1X_01_largestArea.tif,0.197,1.658,0.629,0.399,8.926,0.902,1.575,0.635,0.952,127,327
44,1X_01_largestArea.tif,0.266,2.655,0.987,0.343,51.942,0.474,2.876,0.348,0.721,181,328
45,1X_01_largestArea.tif,0.271,3.427,0.727,0.475,171.997,0.290,1.531,0.653,0.530,213,330
46,1X_01_largestArea.tif,3.050,20.699,3.009,1.291,23.505,0.089,2.332,0.429,0.306,261,335
47,1X_01_largestArea.tif,0.087,1.027,0.350,0.316,109.994,1.000,1.106,0.905,0.932,220,345
48,1X_01_largestArea.tif,0.132,1.363,0.513,0.328,51.820,0.894,1.563,0.640,0.890,365,345
49,1X_01_largestArea.tif,0.159,2.139,0.863,0.235,76.399,0.437,3.676,0.272,0.677,198,347
50,1X_01_largestArea.tif,1.487,11.526,2.038,0.929,6.710,0.141,2.193,0.456,0.466,159,349
51,1X_01_largestArea.tif,0.025,0.531,0.190,0.169,180.000,1.000,1.125,0.889,0.933,129,351
52,1X_01_largestArea.tif,0.914,7.570,2.785,0.418,32.190,0.200,6.667,0.150,0.527,212,357
53,1X_01_largestArea.tif,0.311,2.595,1.071,0.370,126.993,0.581,2.894,0.346,0.794,245,370
54,1X_01_largestArea.tif,0.329,2.991,1.139,0.368,32.386,0.462,3.094,0.323,0.731,101,371
55,1X_01_largestArea.tif,0.168,1.558,0.529,0.405,70.509,0.871,1.308,0.764,0.899,116,376
56,1X_01_largestArea.tif,0.179,1.958,0.791,0.288,165.248,0.587,2.744,0.364,0.780,139,377
57,1X_01_largestArea.tif,1.619,9.026,2.215,0.931,19.436,0.250,2.379,0.420,0.524,131,386
58,1X_01_largestArea.tif,0.508,4.809,1.769,0.366,17.568,0.276,4.836,0.207,0.653,113,392
59,1X_01_largestArea.tif,0.539,4.359,1.870,0.367,36.016,0.357,5.092,0.196,0.704,170,402
60,1X_01_largestArea.tif,0.159,1.523,0.567,0.358,81.676,0.863,1.584,0.631,0.893,228,404
61,1X_01_largestArea.tif,0.358,2.819,1.265,0.361,1.249,0.566,3.508,0.285,0.882,166,421
62,1X_01_largestArea.tif,0.403,3.693,1.184,0.434,27.476,0.372,2.727,0.367,0.674,104,426
63,1X_01_largestArea.tif,0.049,0.832,0.329,0.189,27.738,0.887,1.736,0.576,0.844,79,435
