 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,1X_05_largestArea.tif,0.405,2.751,1.179,0.438,126.397,0.673,2.693,0.371,0.891,118,102
2,1X_05_largestArea.tif,0.056,0.977,0.406,0.176,166.208,0.738,2.303,0.434,0.816,152,105
3,1X_05_largestArea.tif,0.289,1.979,0.668,0.551,50.152,0.929,1.212,0.825,0.920,175,111
4,1X_05_largestArea.tif,1.487,8.145,1.814,1.044,27.371,0.282,1.739,0.575,0.570,152,118
5,1X_05_largestArea.tif,0.170,1.498,0.509,0.425,168.820,0.953,1.197,0.836,0.917,210,128
6,1X_05_largestArea.tif,1.053,5.912,2.553,0.525,37.789,0.379,4.860,0.206,0.703,182,134
7,1X_05_largestArea.tif,0.474,3.496,1.418,0.426,93.447,0.487,3.333,0.300,0.771,146,185
8,1X_05_largestArea.tif,5.518,22.263,3.376,2.081,91.301,0.140,1.622,0.616,0.469,400,205
9,1X_05_largestArea.tif,0.177,1.558,0.558,0.404,147.824,0.918,1.380,0.725,0.916,502,234
10,1X_05_largestArea.tif,0.429,3.120,1.297,0.421,98.410,0.553,3.080,0.325,0.827,465,243
11,1X_05_largestArea.tif,0.259,2.074,0.773,0.426,121.423,0.756,1.816,0.551,0.867,165,248
12,1X_05_largestArea.tif,0.058,0.857,0.296,0.249,90.000,0.991,1.187,0.843,0.889,387,253
13,1X_05_largestArea.tif,0.602,5.158,2.377,0.323,84.168,0.285,7.366,0.136,0.701,526,270
14,1X_05_largestArea.tif,1.013,6.066,2.638,0.489,117.037,0.346,5.395,0.185,0.722,193,290
15,1X_05_largestArea.tif,0.179,1.668,0.651,0.350,106.738,0.809,1.860,0.538,0.921,420,303
16,1X_05_largestArea.tif,0.376,2.550,1.042,0.460,168.598,0.727,2.264,0.442,0.920,395,304
17,1X_05_largestArea.tif,1.373,9.147,2.656,0.658,144.239,0.206,4.035,0.248,0.500,225,320
18,1X_05_largestArea.tif,0.224,1.738,0.594,0.481,25.683,0.933,1.237,0.808,0.915,304,320
19,1X_05_largestArea.tif,0.150,1.483,0.528,0.362,135.146,0.858,1.461,0.685,0.878,521,328
20,1X_05_largestArea.tif,0.058,0.867,0.307,0.240,141.707,0.968,1.278,0.782,0.842,369,333
21,1X_05_largestArea.tif,0.069,1.037,0.435,0.201,156.483,0.803,2.167,0.462,0.864,240,343
22,1X_05_largestArea.tif,0.516,3.346,1.268,0.518,23.178,0.579,2.450,0.408,0.803,442,345
23,1X_05_largestArea.tif,0.163,1.678,0.627,0.331,21.663,0.726,1.896,0.527,0.865,341,346
24,1X_05_largestArea.tif,0.043,0.736,0.268,0.206,104.305,1.000,1.299,0.770,0.889,229,350
25,1X_05_largestArea.tif,1.484,8.010,2.573,0.734,104.066,0.291,3.505,0.285,0.618,242,354
26,1X_05_largestArea.tif,2.746,19.419,2.261,1.547,96.644,0.092,1.462,0.684,0.347,494,355
27,1X_05_largestArea.tif,1.509,9.203,1.982,0.969,28.793,0.224,2.045,0.489,0.521,356,356
28,1X_05_largestArea.tif,0.250,1.944,0.715,0.445,112.258,0.830,1.608,0.622,0.879,457,360
29,1X_05_largestArea.tif,0.637,3.581,1.547,0.524,102.692,0.624,2.952,0.339,0.903,280,372
30,1X_05_largestArea.tif,0.239,1.788,0.593,0.513,176.059,0.938,1.155,0.866,0.923,374,374
31,1X_05_largestArea.tif,0.233,2.189,0.876,0.339,7.931,0.612,2.580,0.388,0.860,398,376
32,1X_05_largestArea.tif,3.939,25.031,2.527,1.984,128.759,0.079,1.274,0.785,0.404,425,377
33,1X_05_largestArea.tif,0.208,1.678,0.600,0.442,161.476,0.928,1.358,0.736,0.913,300,386
34,1X_05_largestArea.tif,1.616,8.506,1.964,1.047,90.634,0.281,1.876,0.533,0.631,370,387
35,1X_05_largestArea.tif,0.320,2.560,0.735,0.555,125.542,0.614,1.325,0.755,0.803,396,400
36,1X_05_largestArea.tif,1.565,9.813,2.206,0.903,96.463,0.204,2.441,0.410,0.555,545,402
37,1X_05_largestArea.tif,0.365,3.166,1.424,0.327,111.931,0.458,4.358,0.229,0.835,275,413
38,1X_05_largestArea.tif,0.472,2.780,1.038,0.579,1.558,0.768,1.793,0.558,0.902,424,413
39,1X_05_largestArea.tif,1.630,10.665,1.885,1.101,158.582,0.180,1.711,0.584,0.488,329,416
40,1X_05_largestArea.tif,0.185,1.628,0.597,0.394,34.295,0.875,1.517,0.659,0.903,345,418
41,1X_05_largestArea.tif,0.246,2.029,0.773,0.405,148.023,0.751,1.907,0.525,0.898,308,423
42,1X_05_largestArea.tif,0.071,1.027,0.398,0.226,154.318,0.841,1.763,0.567,0.907,386,442
43,1X_05_largestArea.tif,0.261,2.089,0.817,0.406,61.383,0.750,2.014,0.497,0.889,377,447
44,1X_05_largestArea.tif,0.139,1.498,0.617,0.288,164.693,0.780,2.144,0.466,0.880,397,448
45,1X_05_largestArea.tif,0.215,1.728,0.586,0.468,57.601,0.906,1.254,0.798,0.912,414,470
46,1X_05_largestArea.tif,0.197,1.643,0.593,0.424,175.188,0.918,1.399,0.715,0.920,341,475
47,1X_05_largestArea.tif,0.554,4.342,1.408,0.501,145.116,0.369,2.811,0.356,0.604,378,479
