 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,6X_54_largestArea.tif,1.031,5.672,2.393,0.549,51.221,0.403,4.362,0.229,0.694,233,81
2,6X_54_largestArea.tif,0.230,1.788,0.622,0.470,107.997,0.903,1.323,0.756,0.937,276,107
3,6X_54_largestArea.tif,0.163,1.473,0.463,0.447,111.782,0.943,1.035,0.966,0.900,259,110
4,6X_54_largestArea.tif,0.154,1.423,0.481,0.407,167.247,0.954,1.184,0.845,0.895,137,115
5,6X_54_largestArea.tif,4.161,15.569,3.416,1.551,119.542,0.216,2.203,0.454,0.555,345,126
6,6X_54_largestArea.tif,0.170,1.583,0.590,0.367,100.024,0.853,1.606,0.623,0.917,81,129
7,6X_54_largestArea.tif,3.915,25.490,5.007,0.996,62.762,0.076,5.028,0.199,0.365,294,129
8,6X_54_largestArea.tif,0.554,4.800,1.980,0.356,134.467,0.302,5.561,0.180,0.673,374,140
9,6X_54_largestArea.tif,0.114,1.292,0.454,0.320,87.622,0.858,1.421,0.704,0.900,118,148
10,6X_54_largestArea.tif,0.313,2.164,0.820,0.486,98.033,0.840,1.685,0.593,0.918,201,149
11,6X_54_largestArea.tif,0.119,1.292,0.454,0.335,164.732,0.898,1.358,0.736,0.904,291,162
12,6X_54_largestArea.tif,0.080,1.037,0.318,0.318,0.000,0.930,1.000,1.000,0.846,146,163
13,6X_54_largestArea.tif,0.080,1.037,0.369,0.275,108.122,0.930,1.344,0.744,0.880,118,171
14,6X_54_largestArea.tif,0.282,2.315,1.026,0.350,132.463,0.662,2.928,0.342,0.884,420,181
15,6X_54_largestArea.tif,1.974,10.755,2.295,1.095,96.694,0.214,2.096,0.477,0.463,165,188
16,6X_54_largestArea.tif,0.722,4.919,1.829,0.503,165.675,0.375,3.640,0.275,0.659,398,196
17,6X_54_largestArea.tif,0.210,1.763,0.669,0.399,67.102,0.848,1.675,0.597,0.910,145,209
18,6X_54_largestArea.tif,0.034,0.626,0.225,0.194,135.000,1.000,1.161,0.861,0.884,117,215
19,6X_54_largestArea.tif,0.112,1.292,0.491,0.291,87.047,0.844,1.687,0.593,0.892,420,222
20,6X_54_largestArea.tif,0.103,1.218,0.471,0.279,140.823,0.874,1.688,0.592,0.864,144,229
21,6X_54_largestArea.tif,1.446,8.549,3.103,0.593,100.706,0.249,5.231,0.191,0.615,170,237
22,6X_54_largestArea.tif,0.166,1.498,0.492,0.431,51.682,0.932,1.140,0.877,0.906,129,250
23,6X_54_largestArea.tif,0.197,1.618,0.534,0.470,49.611,0.946,1.135,0.881,0.912,425,250
24,6X_54_largestArea.tif,0.134,1.689,0.747,0.228,50.634,0.590,3.272,0.306,0.809,156,253
25,6X_54_largestArea.tif,0.110,1.207,0.423,0.332,69.522,0.951,1.275,0.784,0.904,409,259
26,6X_54_largestArea.tif,0.327,2.139,0.709,0.588,159.203,0.900,1.204,0.830,0.926,327,264
27,6X_54_largestArea.tif,0.230,1.909,0.607,0.482,88.848,0.793,1.258,0.795,0.879,243,274
28,6X_54_largestArea.tif,0.110,1.353,0.563,0.250,26.384,0.758,2.255,0.443,0.878,137,277
29,6X_54_largestArea.tif,0.166,1.533,0.516,0.410,132.286,0.890,1.259,0.794,0.893,218,288
30,6X_54_largestArea.tif,0.185,1.658,0.581,0.404,57.885,0.844,1.437,0.696,0.915,235,290
31,6X_54_largestArea.tif,0.255,1.823,0.632,0.514,165.276,0.964,1.230,0.813,0.931,206,299
32,6X_54_largestArea.tif,0.702,4.595,2.039,0.438,139.213,0.418,4.651,0.215,0.798,143,306
33,6X_54_largestArea.tif,0.982,5.336,2.171,0.576,151.821,0.434,3.769,0.265,0.727,266,311
34,6X_54_largestArea.tif,0.637,3.896,1.716,0.473,11.283,0.527,3.632,0.275,0.836,345,322
35,6X_54_largestArea.tif,0.304,2.701,1.218,0.318,143.843,0.524,3.836,0.261,0.792,148,326
36,6X_54_largestArea.tif,0.228,1.763,0.659,0.440,158.243,0.921,1.498,0.667,0.926,245,329
37,6X_54_largestArea.tif,0.532,3.717,1.635,0.414,44.988,0.484,3.946,0.253,0.792,338,342
38,6X_54_largestArea.tif,2.088,10.284,1.934,1.374,12.366,0.248,1.407,0.711,0.569,311,345
39,6X_54_largestArea.tif,0.069,0.952,0.312,0.280,107.553,0.953,1.115,0.896,0.844,236,347
40,6X_54_largestArea.tif,0.955,5.811,1.773,0.686,73.054,0.356,2.585,0.387,0.652,228,358
41,6X_54_largestArea.tif,0.042,0.736,0.249,0.212,77.344,0.964,1.174,0.852,0.885,316,372
42,6X_54_largestArea.tif,0.839,5.305,1.419,0.753,70.359,0.375,1.885,0.531,0.603,193,375
43,6X_54_largestArea.tif,0.067,0.952,0.317,0.269,54.596,0.928,1.180,0.847,0.841,297,396
44,6X_54_largestArea.tif,2.365,13.369,3.010,1.000,86.715,0.166,3.008,0.332,0.425,230,406
