 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
70,0.915,255.000,255,255,5.850,2.286,0.510,8.024,0.336,4.484,0.223,0.711,667,783
71,1.082,255.000,255,255,4.788,2.065,0.667,68.986,0.593,3.097,0.323,0.893,1053,783
72,3.823,255.000,255,255,18.389,5.005,0.973,37.682,0.142,5.146,0.194,0.468,678,797
73,2.006,255.000,255,255,7.834,2.854,0.895,51.836,0.411,3.187,0.314,0.712,255,799
74,3.892,255.000,255,255,19.137,4.021,1.232,30.783,0.134,3.263,0.306,0.484,288,844
75,1.730,255.000,255,255,6.626,2.497,0.882,100.054,0.495,2.831,0.353,0.816,1047,845
76,5.062,255.000,255,255,23.316,3.850,1.674,60.179,0.117,2.300,0.435,0.414,433,849
77,1.449,255.000,255,255,5.456,2.199,0.839,32.811,0.612,2.621,0.382,0.865,121,850
78,0.441,255.000,255,255,2.440,0.878,0.640,83.399,0.932,1.372,0.729,0.944,310,852
79,0.666,255.000,255,255,5.303,2.188,0.387,176.397,0.298,5.646,0.177,0.738,459,853
80,0.803,255.000,255,255,4.593,1.749,0.585,78.707,0.479,2.992,0.334,0.845,645,859
81,0.456,253.988,0,255,3.085,1.258,0.461,1.974,0.602,2.728,0.367,0.880,519,896
82,1.585,255.000,255,255,7.294,3.059,0.660,151.964,0.374,4.638,0.216,0.825,550,901
83,1.163,255.000,255,255,7.163,1.608,0.921,62.662,0.285,1.747,0.573,0.593,285,912
84,0.358,255.000,255,255,2.224,0.702,0.650,77.546,0.910,1.080,0.926,0.932,550,924
85,1.196,255.000,255,255,5.865,2.295,0.664,2.606,0.437,3.459,0.289,0.749,953,927
86,0.955,255.000,255,255,4.253,1.667,0.730,28.490,0.664,2.284,0.438,0.868,197,933
87,0.335,255.000,255,255,2.620,0.877,0.486,62.530,0.613,1.806,0.554,0.824,322,933
88,1.002,255.000,255,255,5.916,2.288,0.558,133.225,0.360,4.103,0.244,0.669,644,942
89,0.223,255.000,255,255,1.788,0.633,0.448,161.325,0.874,1.412,0.708,0.914,903,945
90,6.331,255.000,255,255,26.681,3.477,2.318,117.700,0.112,1.500,0.667,0.419,798,955
91,3.951,255.000,255,255,18.320,2.963,1.698,50.762,0.148,1.745,0.573,0.458,315,957
92,0.921,255.000,255,255,4.016,1.671,0.702,10.639,0.717,2.383,0.420,0.931,858,959
93,2.133,255.000,255,255,9.493,2.451,1.108,127.151,0.297,2.213,0.452,0.714,482,964
94,1.572,255.000,255,255,6.983,2.197,0.911,168.956,0.405,2.412,0.415,0.778,555,966
95,0.579,255.000,255,255,2.875,0.939,0.785,17.926,0.880,1.195,0.837,0.936,821,982
96,0.242,255.000,255,255,1.954,0.778,0.397,137.029,0.798,1.961,0.510,0.887,881,985
97,0.420,255.000,255,255,2.440,0.830,0.644,115.872,0.886,1.289,0.776,0.932,770,988
98,0.704,255.000,255,255,3.371,1.278,0.701,110.911,0.778,1.824,0.548,0.910,654,990
99,0.523,255.000,255,255,2.985,1.162,0.573,104.798,0.737,2.029,0.493,0.884,442,998
100,0.536,255.000,255,255,3.131,1.132,0.602,166.039,0.687,1.878,0.532,0.874,682,1020
101,0.968,255.000,255,255,3.913,1.389,0.887,108.217,0.795,1.566,0.639,0.921,946,1023
102,0.642,255.000,255,255,3.361,1.322,0.619,155.495,0.715,2.136,0.468,0.902,611,1024
103,1.185,255.000,255,255,7.294,3.054,0.494,28.208,0.280,6.180,0.162,0.638,362,1025
104,4.722,254.902,0,255,21.961,3.516,1.710,59.870,0.123,2.057,0.486,0.450,513,1028
105,1.959,255.000,255,255,9.887,3.267,0.764,0.323,0.252,4.277,0.234,0.557,560,1043
106,1.281,255.000,255,255,4.674,1.869,0.872,28.192,0.737,2.143,0.467,0.919,245,1055
107,0.868,255.000,255,255,4.193,1.756,0.630,158.817,0.621,2.788,0.359,0.898,408,1062
108,0.856,255.000,255,255,4.234,1.717,0.635,130.899,0.600,2.706,0.370,0.887,744,1064
109,0.543,255.000,255,255,3.481,1.158,0.597,67.341,0.563,1.940,0.516,0.837,550,1073
110,2.229,254.586,0,255,10.064,2.959,0.959,113.191,0.277,3.086,0.324,0.565,153,1076
111,0.811,255.000,255,255,3.817,1.287,0.802,127.218,0.699,1.605,0.623,0.853,621,1078
112,0.213,255.000,255,255,1.799,0.659,0.412,3.306,0.829,1.599,0.625,0.897,236,1085
113,0.952,255.000,255,255,4.873,2.146,0.565,110.606,0.504,3.801,0.263,0.861,363,1088
114,0.351,255.000,255,255,2.224,0.769,0.581,29.437,0.892,1.322,0.756,0.924,715,1090
115,0.644,255.000,255,255,3.016,0.949,0.864,165.860,0.890,1.098,0.911,0.928,955,1091
116,0.324,255.000,255,255,2.184,0.712,0.579,24.289,0.853,1.229,0.813,0.897,844,1099
117,0.637,255.000,255,255,3.031,1.061,0.764,52.556,0.871,1.388,0.720,0.930,745,1106
118,0.651,255.000,255,255,3.045,1.138,0.728,32.799,0.882,1.563,0.640,0.950,911,1121
119,5.035,255.000,255,255,20.501,2.809,2.282,111.056,0.151,1.231,0.812,0.396,273,1125
120,0.219,255.000,255,255,1.738,0.589,0.473,83.935,0.910,1.243,0.804,0.927,419,1137
121,1.981,255.000,255,255,8.391,2.588,0.975,165.304,0.354,2.655,0.377,0.595,122,1140
122,1.058,255.000,255,255,4.578,1.893,0.712,20.648,0.634,2.659,0.376,0.904,870,1173
123,0.499,255.000,255,255,2.765,1.059,0.600,62.848,0.821,1.764,0.567,0.932,314,1182
124,0.436,255.000,255,255,2.971,1.147,0.484,35.723,0.621,2.370,0.422,0.884,263,1204
125,1.040,255.000,255,255,4.998,2.136,0.620,171.088,0.523,3.446,0.290,0.846,49,1210
126,1.066,255.000,255,255,5.010,2.099,0.646,130.253,0.534,3.248,0.308,0.843,252,1224
127,5.406,255.000,255,255,22.995,7.843,0.878,1.813,0.128,8.936,0.112,0.493,542,1239
128,2.113,255.000,255,255,8.557,1.790,1.503,24.776,0.363,1.191,0.839,0.629,403,1263
129,0.642,255.000,255,255,3.010,1.111,0.736,56.861,0.891,1.509,0.663,0.954,454,1284
130,0.262,255.000,255,255,1.933,0.695,0.481,167.999,0.882,1.446,0.692,0.915,506,1329
